School Name,CanopyID,Formatted disclosable nominator list,Displayed in Portal?,Reason for nominating (from Nominations)
Dolores Huerta Middle School,653,KnowledgeWorks,"Spring 2023,Spring 2024","Using a collaborative and diverse representation of stakeholders for establishing lead design team(s) to create their equity and student-centered instructional framework aligned to their guiding principles, beliefs, and the district's portrait."
Colchester High School,654,Vermont Agency of Education,"Spring 2023,Spring 2024","At Colchester High School academic credit is awarded upon demonstration of proficiency in learning experiences through courses and other non-traditional learning experiences. In courses, students have the opportunity to demonstrate the knowledge and skills for proficiency through a variety of learning experiences and assessments. Each department has delineated two to eight discipline-specific proficiencies that a student is required to meet for graduation. When a student receives credit for a particular course that is an indication that the proficiencies have been met. Taken together, the proficiencies or credits gained will provide a cumulative body of evidence that students have met overall school-wide and discipline-specific graduation expectations and are ready to graduate. 
 

 All students at CHS develop a Personalized Learning Plan. This plan documents a CHS student’s journey. The options for students include but are not limited to, community service, outside coursework, student aide assignments, work-study, independent study, online learning, Advanced Placement courses, Technical Centers, Dual-Enrollment courses, Early College, and internships. In addition, students may apply to Target Graduation, an outcomes-based graduation program, or may apply to attend Colchester Alternative Program (CAP) a smaller learning environment.
 

 The work of educators at Colchester High School is guided by the following Core Beliefs:
 ● We engage in diverse learning experiences rooted in relationships, relevance, rigor, and shared responsibility.
 ● We work together to build on one another's strengths and perspectives.
 ● We cultivate a strong and connected community that respects and celebrates all Lakers.
 ● We demonstrate respect and compassion for ourselves, one another, and our school.
 ● We create safe spaces where all Lakers can thrive.
 ● We empower all Lakers to use their voice, pursue their aspirations, and be active and engaged members of our community.
 

 Educational decisions are guided by the belief that proficiency-based learning practices in an environment of strong support for students’ social and emotional needs will enable them to meet these expectations."
Kilombo Academic and Cultural Institute,655,Disruptive Partners,"Spring 2023,Spring 2024",The entire model is designed to nurture the natural born genius of Black children. This significantly Disrupts the traditional K12 narrative that leads with the deficit of Black children.
Lucama Elementary,656,Public Impact,"Spring 2023,Spring 2024","Lucama Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. Under Principal April Shackleford, Lucama dramatically “exceeded growth” in 2021–22 under the state definition. The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, or MCL—an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. Under Shackleford, Lucama creatively used resources to take this role and other team teaching roles schoolwide in its second Opportunity Culture year to shift student learning and school culture, and to involve as many teachers, paraprofessionals, and retired teachers serving as paid tutors as possible in providing small-group instruction, to give students in this Title I school equitable access to tutoring during and after school."
David H. Petree Elementary,657,Public Impact,"Spring 2023,Spring 2024","Petree Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. Petree went from failing to meet state expectations for student learning growth in 2018 to exceeding growth in 2022, and was removed from the state’s list of low-performing schools. The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, or MCL, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. Petree creatively used resources to implement this and other team teaching roles to reach more students with excellent instruction, and is continuing to use resources carefully to expand those roles despite the lowered funding that comes as a consequence of being removed from the low-performing list, so that students can continue to make strong growth."
Ross Elementary,658,Public Impact,"Spring 2023,Spring 2024","Ross Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. Under Principal Susan Hendricks, Ross moved from being an “F” school in 2019 to receiving a “C” overall and a “B” for growth in 2021–22. The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, or MCL, an excellent who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. Under Hendricks, Ross creatively used resources to take this role schoolwide and give MCL teaching teams the support of advanced, higher-paid paraprofessionals, to provide more small-group instruction. The school culture has shifted as well, leading to strong teacher retention rates after the school previously had very high turnover—all helping to provide students with greater access to excellent instruction."
St. Patrick Catholic School,659,Alliance for Catholic Education,"Spring 2023,Spring 2024",St. Patrick's is transforming its instructional core to be aligned with Blended Learning Practices.
One World Middle School,660,Deeper Learning Equity Fellowship,"Spring 2023,Spring 2024","As a school community, One World Middle School has reimagined the learning of what education looks like in how students experience school as a whole. At the foundational core, they believe that students have the right to a quality and innovative standards-based education, the right to know and be known in a safe and welcoming environment, and the right to be acknowledged as unique individuals who learn differently. These core beliefs promote and advance equity and student-centered learning throughout the school. It is evident upon walking through the halls, the classrooms, and interacting with the students that their core beliefs live and breathe through how they view the purpose of education and the instructional core, and the structures they deem important.
 

 One World Middle School has proven that in order to have a reimagined equitable learning environment, two components must be in place: a safe learning environment and a staff that knows who the children are and their individual needs. To support this idea they have implemented practices and events such as Ambassador Day, Unit 0, and Developing the Whole Child Meeting (DWC). Ambassador Day is quite the experience as students across all grades are given the opportunity to select their mentors for the year. During this particular day, students engage in community-building activities by spending the entire day in small groups with their teacher mentor discussing their commonalities and differences and learning to embrace each other diversity and strengths. Throughout the year the mentors meet weekly to plan and conduct themed-based activities. For example, in November and December, mentor groups coordinate events and activities around gratitude and acts of kindness respectively. These student-led initiatives have taken different forms over the years from groups creating donation drives, reading to students at neighborhood elementary schools, making edible treats that are distributed to fellow peers, volunteering at Senior Health Centers to simply redesigning a classroom space. 
 

 In thinking about how to continually engage students and to make sure all learners see themselves in the curriculum, One World Middle School acknowledges and celebrates the various cultural, racial, ethnic, and gender diversity that comprises the school community through their first unit of the year. One World Middle School in all grades and content areas uses the first unit of the year which is called Unit 0 to focus on student identity and understanding the child. In addition, there are weekly meetings programmed called Developing the Whole Child (DWC) where teacher teams create action plans for ambassadors who may need support academically, socially, or emotionally. These strategies are often grounded in the Pre-referral Intervention Manual (PRIM) or Adaptation for Adolescents with Autism and Asperger's manual (A-5) to tailor the support to effectively meet the needs of the student. The teams continually discuss the outcomes of the strategy with each other as well including the student for their input. Teams reflect on progress as they monitor the impact on student learning.  
 

 At One World it is evident that they are thoughtful about the language they use with their students and in their space. It is a common belief that the process for creating an atmosphere of mutual respect and trust that equitably supports the academic and personal growth of students and adults begins with language which is clearly intertwined in the fabric of the school. The school truly believes that the words students encounter on daily basis, they will in turn embody. Thus, students are addressed as ambassadors because they are encouraged and provided with opportunities to be agents of change. The word ambassador coincides with the school's construction as they operate under a United Nations model where ambassador voices are influential in the way the school functions and the changes that occur. An example of a system in place is the school's embassy delegates which include members from all grades that meet biweekly with the principal. These meetings range from discussing issues and making suggestions, to planning events such as LGBTQ Coming Out Day, Autism Awareness Day, or Breast Cancer Awareness Day which is driven by the consensus of the student body. These student-centered planned events foster a level of self and others. Every morning during morning assembly the school gathers together to proclaim as one voice, ""I want today to be one of the greatest days of my life"" to establish a positive feeling and tone for the day. As a mantra, to work and live by, the school leadership believes and promotes that each year they must create a learning environment and community that is more impactful than the previous year. 
 

 It is without a doubt, that the ambassador's academic outcome is at the core of One World Middle School's instructional focuses and practices. They have demonstrated that ambassadors learn best when they have an opportunity to collaborate with peers and then make their thinking visible. Practices in place to support that students constantly engage with other students start with the structure of how the room is designed. At One World all classes are designed to accommodate a variety of grouping configurations. These configurations support opportunities over the course of a lesson for ambassadors to engage in turn and share and work on group assignments as well as projects in a seamless manner. Teachers have collaborated on phased protocols to promote partner discussions. As a best practice, all classrooms are equipped with two certified teachers to ensure that on a daily basis all needs of their children are met. Teachers take a less active role in talking in the classroom being mindful of the fact that the one that is speaking, is the one doing most of the learning. Therefore, in a One World classroom ambassadors are often engaged in discussions about the planned tasks, and activities in an effort to meet the day's objective where the teachers utilize a series of questions or prompt to cognitively challenge students thinking to either spark ambassador questions or to promote metacognition. 
 

 Ambassadors making connections and providing opportunities is an extremely critical component of the school. For example, the entire student body annually engages in Science Day where ambassadors take their learning to design experiments and projects. Additionally, all students participate in a school-wide dissection that is tiered by grade to investigate the systems, and scientific benefits to society and to ponder the ethical consequences. All ambassadors in the 8th grade take high-school level courses (Living Environment, US History, English 11, Algebra). As a result, 8th graders start their high school careers a grade ahead which allows them to have access to a college course for free or graduate a year early. Students at One World have the opportunity to visit colleges they have expressed interest in that are located locally and across state lines. Some of the colleges toured include Boston College, Harvard, Yale, SUNY Oneota, Howard, and many others. From touring colleges students who have graduated have enrolled in colleges such as Boston College and other SUNY programs. Through their expeditionary trips to monumental sites in history, like Selma, Gettysburg, and The Capitol ambassadors have been able to make connections to topics discussed in their classes.
 

 Other practices that are embedded at One World include a dedicated department and common planning time for teachers to meet, plan and revise units that are tailored specifically for the students they teach. Student-initiated clubs and student electives where ambassadors get an opportunity to express their interests and preferences for electives in a series of exit interviews."
Capitol Learning Academy,662,4.0 Schools,"Spring 2023,Spring 2024","At Capitol Learning Academy, all students receive a personalized curriculum focused on the mindsets and technology needed to be adaptable lifelong learners. They have a vision for CLA acting as a lab school for innovative practices that can be shared and scaled to DC public and charter schools."
Global Citizens Public Charter School,663,"4.0 Schools, NewSchools Venture Fund","Spring 2023,Spring 2024","DC's first dual immersion public charter, Global Citizens offer Spanish and Mandarin. Located in Ward 7, GCPCS pairs language immersion with a focus on social justice and whole child wellness, to equip children to become empathetic, globally competent, and socially-minded leaders., Global Citizens Public Charter School is the first dual language immersion elementary school in Washington, DC, to offer language immersion in both Mandarin and Spanish pathways - exposing students to the top three languages spoken in the world."
Capital Experience Lab,665,4.0 Schools,"Spring 2023,Spring 2024","The Capital Experience Lab makes use of all the resources DC has to offer, while closing the opportunity/access gap for local students. Their model helps students apply their learning and use their creativity in contexts beyond the classroom."
I Dream Public Charter School,666,"4.0 Schools, NewSchools Venture Fund","Spring 2023,Spring 2024","I Dream goes beyond their bold vision and mission, which were co-designed with their community. Student-led learning is at the heart of the school, which offers a customized, culturally-responsive curriculum that inclused SEL. Learners are encouraged to dream, collaborate, and produce meaningful work., I Dream Public Charter School co-designs purposeful, self-directed learning with children and families, so they have voice and choice on the path to discovering and pursuing their dreams., I Dream Public Charter School co-designs purposeful, self-directed learning with children and families, so they have voice and choice on the path to discovering and pursuing their dreams."
Heartwood Agile Learning Center,668,an anonymous organization,"Spring 2023,Spring 2024","Heartwood Agile Learning Center is a K-12 independent school that facilitates Self-Directed Education. We use adaptable tools and practices borrowed from the Agile Management/Software world and consent-based decision-making to help students individualize their learning within the context of a collaborative and intentional community.
 

 Heartwood ALC is committed to amplifying the sense of agency and the social conscience of our young people. We encourage them to explore their passions and curiosities to help them simultaneously discover and create their path in life. At Heartwood, relationship is one of our biggest values because we take a whole community approach to helping our students self-actualize. Facilitators, parents, and students all work together to feed and maintain a healthy school culture.
 

 We also have a special focus on equity and social justice to ensure that self-directed education is accessible and empowering for all people, especially populations that have been historically disenfranchised."
Batesburg-Leesville Primary School,669,KnowledgeWorks,"Spring 2023,Spring 2024","For the last 4 years, Batesburg-Leesville Elementary School has been on a journey to grow and sustain a personalized learning system. With a focus on an instructional shift to a more student-centered environment, flexible seating, choice boards, and student interests were targeted strategies. With the COVID pandemic in 2020, BLPS soon realized they would need to dig deeper into the development and implementation of learning pathways to support all learners. Concerned about learning loss when virtual school was the only option, teachers engaged in professional collaboration to address those learning gaps. Prioritizing standards in ELA and Mathematics was a first step in the construction of an equitable viable Learning Continuum, where progressions of learning and readiness assessments were developed for the standards. As teachers continued to collaborate in both grade level and vertical teams, it was clear the curriculum work they had done served a larger purpose than addressing learning gaps – it had in fact provided an opportunity to foster agency in all learners! Date tracking and goal setting soon belonged to the 4- and 5-year-old kindergartners, first and second graders, and progress monitoring and celebrations of learning soon followed, where the outcome was student ownership of the learning! Generative curriculum, where the youngest of learners bring ideas to school about what they want to learn taps into curiosity and has made room for projects that are truly learner-centered at BLPS. The school’s personalized learning footprint is strong and has informed district systems shifts across the K-12 system."
Tapestry Public Charter School,672,The Center for Learner Equity,"Spring 2023,Spring 2024","Tapestry was founded eight years ago by parents of kids on the autism spectrum, and about half of the students enrolled in the school are students with disabilities. Students with disabilities and their neurotypical peers learn side by side in a fully-inclusive environment. The school utilizes technology to provide innovative and individualized education for all of its students."
Fenway High School,674,The Center for Learner Equity,"Spring 2023,Spring 2024","Fenway High School was founded to focus on social justice and views meaningful inclusion as a natural extension of the school’s pursuit of social justice. At Fenway, all teachers are working to become dual-certified in special education. The school uses a cohort model, through which teachers loop to continue working with the same students over time to build deeper relationships. "
Antrim Elementary School,676,The Center for Learner Equity,"Spring 2023,Spring 2024","The Universal Design for Learning (UDL) framework is the foundation of the school’s approach to meaningful inclusion. Teachers regularly receive training in UDL, earning different levels of certification as they progress. Many participate in an optional UDL book club."
Creative Minds International,678,The Center for Learner Equity,"Spring 2023,Spring 2024","Creative Minds supports students with disabilities, and others with diverse learning needs, through the use of evidence-based practices and building staff capacity to use these practices. The school provides ongoing high-quality professional learning opportunities from the Director of Inclusion and through a team of instructional coaches."
Ruby Bridges Elementary School,679,The Center for Learner Equity,"Spring 2023,Spring 2024","Ruby Bridges is a school that focuses on disrupting ableism and promoting inclusivity and its practices and among its staff. The school utilizes flexible staffing, scheduling, and use of physical space to provide individualized yet fully-inclusive learning experiences to all students."
Bennett Day School,680,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Windham Woods School,681,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Lighthouse Holyoke,683,"Mastery Transcript Consortium, Center on Reinventing Public Education","Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., Lighthouse offers personalized learning for grades 6-12. Classes are somewhat unvonventional compared to traditional school subjects in that teachers create personalized curriculum based on their expertise; classes are often not restricted to particular grade levels. In addition to small learning spaces, Lighthouse offers an open area for self-directed learning, a recording studio, and a maker space. Although Lighthouse largely operates on tuition-based enrollment, the school has a partnership with the nearby local public school, allowing students who may not otherwise have the opportunity to enroll in a small-group learning envirnment to do so., This school has implemented a competency-based learning model and are publishing Mastery Transcripts as summative records for some or all graduates."
Innovation Lab High School,685,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Alabama Aerospace and Aviation High School,688,NewSchools Venture Fund,"Spring 2023,Spring 2024","At AAHS, we’re creating the aviation and aerospace leaders of tomorrow. Through our rigorous, immersive and industry-aligned instruction, we’re giving our students the skills, curiosity and inspiration to pursue real-life careers that will challenge and reward them professionally and personally."
Altura Preparatory School,690,NewSchools Venture Fund,"Spring 2023,Spring 2024","Altura Prep uses a teacher specialization model in which teachers focus on 1-2 core subject areas, Math, ELA, STEAM, and students rotate classrooms through out the day. In class, small group/individualized instruction supersedes whole group instruction for the majority of the class period. ALL students have STEAM class (Science, Technology, Engineering, Arts, and Math) as part of their regular core schedule."
Aventura Community School,691,NewSchools Venture Fund,"Spring 2023,Spring 2024",Aventura Community School offers a bilingual project-based learning approach and a focus on global competence.
BELIEVE Circle City High School,693,NewSchools Venture Fund,"Spring 2023,Spring 2024","BELIEVE Circle City High School is a public college and career preparatory high school dedicated to the achievement of students in the Indianapolis area. Our mission is to develop students into leaders through a community that fosters their agency, autonomy, and acceleration— providing a foundation for future independence and success., Believe Circle City High School is an early college and career preparatory high school focused on its the guiding principles of fostering academic achievement through autonomy, agency, and acceleration. Believe students are provided autonomy (self-government) with a discipline culture system and flexible schedules; agency (free choice) with access to a life coach, purpose path, and soft skills; and acceleration (increased rate) through early college and career planning and exposure to experiential learning. 
Believe Circle City educates historically underrepresented youth in the Indianapolis community and equips them with the skills necessary to become well-adjusted, civically engaged, and financially stable adults."
Bostonia Global K-14,694,NewSchools Venture Fund,"Spring 2023,Spring 2024","Mission: Empower young people to live lives of their own design. 
Vision: Happy Kids, Engaged in Healthy Relationships, on a Path to Gainful Employment. 
Our Approach: 
Signature design elements at all grade levels will serve as a catalyst for creating interest-based, authentic learning opportunities unique to each student. 
"
BRICK Achieve Middle School,697,NewSchools Venture Fund,"Spring 2023,Spring 2024","We believe that students will achieve their full potential when students are given access to rigorous grade-level instruction, strong focus on relationships and social-emotional learning, and wrap-around-community supports where needed."
Building 21 Allentown,699,NewSchools Venture Fund,"Spring 2023,Spring 2024","Building 21 Allentown is a non-selective competency-based high school in the Allentown School District. It is a new secondary model that seeks to facilitate an authentic learning experience that will address the unique social and academic needs of all learners.The Building 21 Allentown team will work closely with members of the local and school communities to carefully construct a robust network of online, offline, individual, small group, large group, skills-based, and applied learning opportunities to more effectively serve students of all types. Most importantly, the Building 21 model will develop teachers as guides and students as designers of their own pathways to graduation by giving them choice and voice about how, what, and where they learn."
Catalyst: Bremerton,703,NewSchools Venture Fund,"Spring 2023,Spring 2024","We support our diverse scholars to live full lives and to succeed in college, career, and life.  Scholars will find their purpose and passion so that they can cultivate the critical hope, optimism and leadership essential to be catalysts in their community and world."
Empower Community School,707,NewSchools Venture Fund,"Spring 2023,Spring 2024","Empower's model focuses on personalized learning, comprehensive social and emotional support, and targeted intervention and acceleration."
Endazhi-Nitaawiging Charter School,708,NewSchools Venture Fund,"Spring 2023,Spring 2024","At Endazhi-Nitaawiging, our highest goal is student success. We envision students who are healthy and well, and whose success in western academic subjects is bolstered by a deep understanding of Ojibwe cultural values and a relationship with the land through land-based and experiential learning. This way they grow to hold a holistic understanding of the environment and the responsibilities of citizenship."
Growth Public Schools,710,NewSchools Venture Fund,"Spring 2023,Spring 2024","GPS prepares all students to learn, think, and solve problems—as well as practice empathy, embrace differences, resolve conflicts, and act with integrity. Our students develop a deep understanding of themselves, others, and the world around them."
High School of Commerce,712,NewSchools Venture Fund,"Spring 2023,Spring 2024","The Mission of the High School of Commerce is to cultivate an inclusive environment free from racism which empowers student-voice, values academic success, and encourages the development of mutually respectful and caring relationships among all members of our learning community.  Teachers, scholars, families, and community stakeholders will work collaboratively to engage in practices that develop a passion for lifelong learning and self advocacy."
Kansas City Girls Prep Academy,714,NewSchools Venture Fund,"Spring 2023,Spring 2024","Our mission is to prepare young women to use their voices, to succeed in college, and to lead impactful meaningful lives. We do this by providing access to quality education for students in Kansas City’s historically underserved communities., Kansas City Girls Prep is a public all-girls school intentionally situated in a community with a rich history and strong local support. They prioritize social-emotional wellness, community, and an environment where love is felt, for both students and adults, and they implement the Compass model to help them achieve that."
Las Américas ASPIRA Academy,715,NewSchools Venture Fund,"Spring 2023,Spring 2024",Our model is a biliteracy pathway with dual language immersion in grades K-5 and language continuation in grades 6-12.
Montessori Elementary at Highland Park,720,NewSchools Venture Fund,"Spring 2023,Spring 2024",Our school model is to provide an authentic Montessori education. MEHP works with Project Based Learning and STREAM to incorporate an early childhood hands on learning model with the scientific method in elementary classrooms.
Phalen Leadership Academy @ 103,724,NewSchools Venture Fund,"Spring 2023,Spring 2024","Our ultimate vision is that our scholars master key academic skills, and demonstrate strong character, as exhibited by: honesty, service to others, a superior work ethic, and a strong vision for and belief in their futures. We believe that with the right education, all children can ​fulfill their ​tremendous ​innate potential​."
Rodriguez Elementary,727,NewSchools Venture Fund,"Spring 2023,Spring 2024","Project-based personalized learning is the foundation for all learning at Rodriguez Elementary. Driving pillars of the model include equity through individualized learning, inclusion for all students, and justice through honoring and building upon cultures, heritages, and family values represented in the student body. "
Solar Preparatory School for Boys,729,NewSchools Venture Fund,"Spring 2023,Spring 2024","Solar Preparatory School for Boys is an all boys campus that incorporates hands on experience in an environment that is conducive to the ways that boys learn.  We have a focus on developing intellectual, social, and emotional leadership skills in all of our boys."
URBAN ACT Academy,731,"NewSchools Venture Fund, Mindcatcher","Spring 2023,Spring 2024","URBAN ACT Academy utilizes place-based instruction to meet scholars where they live.  Through place-based learning, students learn the skills and knowledge by studying their surroundings., Urban Act's educational model centers ""place-based"" instruction - students learning in connection with their community.  Place-based learning has resulted in greater academic and civic engagement,  awareness of local issues, increased student agency and strong relationships with community partners and neighbors. Nearly 100% of students have participated in a place-based service learning project. Additionally, identity affirmation is at the core of the school's culture. Educators prioritize celebrating student identity, relationship building, and JOY (justice, opportunity, and growth) as the foundation of their school culture design. The school's leadership also prioritizes team wellness in their professional development and the design of their school space. They even have a wellness room for team members to use for yoga, meditation, sleep, and other forms of rest. Their school culture is among the strongest I've observed in my 10+ years as an educator."
Impact | Commencement Bay Elementary,739,NewSchools Venture Fund,"Spring 2023,Spring 2024","The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL)."
Impact | Salish Sea Elementary,740,NewSchools Venture Fund,"Spring 2023,Spring 2024","The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL)."
KIPP Beyond Middle School,743,an anonymous organization,"Spring 2023,Spring 2024","At KIPP Beyond Middle School, we believe that we are better together. In our increasingly diverse, but deeply divided city and country, we believe that there are no better people than our city’s children to lead the way, and no better place to bring together children of different backgrounds than in school. A rigorous body of research has demonstrated the significant benefits to all students educated in racially and socioeconomically integrated settings, including higher academic achievement and higher academic growth; more critical and flexible thinking by being exposed to different perspectives; greater likelihood to enroll in college, report higher earnings, and demonstrate better long-term health outcomes; and increased empathy and reduced racial bias. KIPP Beyond incorporates engaging, rigorous, and relevant academics; a robust enrichment program; consistent physical conditioning; a focus on identity, relationships, and belonging; and regular practice of meditation – all informed by the research base on adolescent development."
Chelsea Opportunity Academy,745,Barr Foundation,"Spring 2023,Spring 2024","Project-based learning with transformative learning experiences
Primary person model with academic counseling
Post secondary success planning with students
Work to credit program"
Opportunity Academy at Holyoke High School,746,"Barr Foundation, Center on Reinventing Public Education","Spring 2023,Spring 2024","Project-based learning with transformative learning experiences
Primary person model
Post secondary success planning with students, Students enrolled at Opportunity Academy are presented with three different pathways to finish their high school degree: competency-based learning provided in house at Success Center, a dual enrollment program at the local community college, and personalized learning experiences through a partnership with a local private institution. Opportunity Academy is re-thinking the alternative education space by providing multiple learning pathways to meet every student's individual needs."
Nowell Academy,747,"Center on Reinventing Public Education, Barr Foundation","Spring 2023,Spring 2024","Nowell is a student-first environment that offers several supports to students, including but not limited to on-campus daycare services for students with children and a primary person model that creates strong adult-student mentorship and relationships. The school rethinks traditional credit recovery opportunities through its transformative learning experiences, which are indterdisciplinary classes that give students double credits in subjects (e.g., Nowell's food revolution class gives students history and science credits). These classes also connect students to outside-school experiences (e.g., the social justice class visits the local court house and partners with lawyers from a local university, the food history class travels into local neighborhoods to map out food deserts to include a newsletter made available to students campus-wide). , Project-based learning with transformative learning experiences
Primary person model with academic counseling
Post secondary success planning with students"
Zeta Inwood,748,NewSchools Venture Fund,"Spring 2023,Spring 2024","Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade."
Zeta Mount Eden,749,NewSchools Venture Fund,"Spring 2023,Spring 2024","Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade."
The Leadership School,752,NewSchools Venture Fund,"Spring 2023,Spring 2024","The Leadership School exists to grow our students’ leadership capacity through earnest engagement in an academically rigorous, culturally relevant, and relationship-oriented environment. We are a new educational option that prepares students to be in the driver’s seat of their own learning and to navigate a path toward the lives they imagine for themselves."
University High School,753,NewSchools Venture Fund,"Spring 2023,Spring 2024","University High School prepares a diverse body of students with the knowledge, skills, and mindsets needed to thrive in the 21st century global community, through innovative and inclusive practices, transformational partnerships, and equitable access to opportunities that lead to success in college and in life."
Rio Rico High School,754,KnowledgeWorks,"Spring 2023,Spring 2024","At Rio Rico High School, located in the Santa Cruz Valley Unified School District No 35, in Rio Rico, Arizona, students and staff all know how to ""REP”.  Based on the core values of Relationships, Excellence, and Pride the faculty embraces creating the best learning environments possible for their students.  Three years ago, as the school began thinking more critically about equitable outcomes for all learners, they expanded and deepened opportunities for students to own their learning.  Flexibility with time resulted in RRHS allowing students to build individualized learning schedules depending on their interests and situation. All grade levels offer three distinct options - face to face instruction, distance learning, and flex-scheduling - to provide students agency when deciding on the environment that best meets their needs. Wednesdays provide intervention and enrichment services for students and personalized professional development for staff.
 
In anticipation of transitioning to a standards-based system for reporting on learning, the principal facilitated a voluntary book study on Grading for Equity, by Joe Feldman.  Avant-garde teachers now implement more equitable grading practices to their level of comfort and understanding.  This behavior has grown the network of interested teachers and expanded the grass roots of implementation in advance of a full transition in SY24.  

Administration also emphasizes student voice.  Beyond creative student scheduling, a student senate meets regularly to offer insight and guidance on decision-making, student artwork beautifies the campus in multiple areas, and a student cheering section actively drives school spirit!  Through the combination of voice and choice, the students REP in palpable ways.
 
With a focus on an instructional shift to a more student-centered environment, flexible seating, distance/flex scheduling, SOPs, and student voice remain the primary strategies advancing the school-wide mantra ""We REP!"" 
"
Cibola High School,756,KnowledgeWorks,"Spring 2023,Spring 2024","For the past four years, Cibola High School, one of six high schools in Yuma Union High School district, has been reimagining education by putting systems in place to support learner-centered practices. Key in the shift is a focus on mastery learning and an expectation of student success – no matter what it takes. Three years ago, a small group of teachers and the principal began studying and applying standards-based grading principles. Today, over 60 percent of the staff participate. The shift has evolved into equitable systems of grading and assessment across the campus, resulting in student agency and ownership of the learning. Students know the vision is for them to attain the highest level of proficiency/mastery. If they don’t succeed on the first attempt, they’ll have choice and opportunity to reassess. The staff believes that all students can succeed, and they insist on rigor by not allowing them to fail. Students own their learning and share their data with parents in regular emails. Collaboration, project-based learning, and flexible seating environment enable learners to flourish academically. 

Developing leadership and ensuring voice are critical at Cibola. The Courtesy Corps of student leaders in each classroom greet visitors and explain the focus of the day’s learning. Administration ensures student voice shapes the school culture. For example, a student focus group will roll out the new Portrait of a Graduate to the student body and provide ideas on systems to embed the POG in Cibola daily life. Adult agency has grown from teachers learning from teachers (TLFT). Teachers lead professional learning opportunities, participate in peer-to-peer classroom observations and feedback loops, and choose their personal learning pathways to grow their practice. Leaders provide time and support for the adult learning; as a result, teachers completed 82 digital PCBL learning modules in November. The Culture and Climate at Cibola High School has purposefully shifted. Staff believes that all students can succeed, and the focus is on developing the “whole student”, with student growth being the priority.  
"
