"nominator","school_id","year","nominator_reason_n"
"Diverse Charter Schools Coalition",440,2021,"The mission of The Museum School of Avondale Estates is to inspire students, teachers and the community to collaborate to develop strong critical thinking, interpersonal and academic skills in our students, which will prepare them for real-world success. The Museum School recently became members of the Diverse Charter Schools Coalition, expressing a desire to make their school more diverse, equitable, and inclusive. They have doubled their efforts in DEI work by, for example, launching a board of directors diversity committee and updating their strategic plan to include new initiatives such as the ones described here: https://themuseumschool.org/school-spotlight-diversity-inclusiveness-equity/"
"Branching Minds",441,2021,"Clearmont Elementary School deserves recognition for their innovative efforts related to building community at their school. Not only did they have the highest ratings in their district on student perception ratings in the area of sense of belonging (80% of students feel that they are valued members of their school community) but they also showed positive growth in those ratings from 2018-2019 despite starting with such high ratings.  The Clearmont Staff put a great effort into building a welcoming community by ensuring each student could identify a staff member they feel connected to."
"Anonymous",442,2021,"As an early adopter of elearning in Indiana, Noblesville HS has innovated and adjusted to remote and hybrid learning environments in a way that has provided choice and relevance in trying times.  The existing offerings allow for students to achieve dual credits and take part in opportunities that set students up for success beyond their days in the HS building.  They deviate from the previously mandated traditional structure while maintaining traditional options for students and families that work best within that format."
"Anonymous",443,2024,"Rooted School Indianapolis is dedicated to equipping students with the skills for success after high school, offering a rigorous academic program that equally emphasizes college and career readiness, along with the opportunity to earn industry-based certifications while in school. Its small school size fosters a student-centered and equity-focused culture, further enhanced by numerous student organizations and clubs. Serving grades 7-12, Rooted Indianapolis is deeply embedded in the Indianapolis community, located at Eastern Star Church, creating an environment where every student can find their community and promoting a holistic approach to education."
"NewSchools Venture Fund",444,2023,"pilotED empowers the way students see themselves and the world around them using a model stepped in identity development, civic engagement, and academic excellence."
"Anonymous",445,2021,"Lewisburg Elementary School has a laser focus on creating a learning environment that is learner-centered with equity for all kids and a vision to prepare students for what's next by creating a whole child model with a profile of a learner (including skills and dispositions in addition to academic content) at its core."
"Anonymous",446,2021,"Simply put, Eminence desires to be the Disney World of education. They want their students and teachers to have a """"Yes, and"""" attitude that learning is the goal and any opportunity to creating a positive learning environment should be taken. They are the first school in Kentucky to have a set of graduate competencies (profile of a graduate. In addition, almost 100% of their junior and senior classes have half of their schedule occuring at a nearby university three days a week."
"Anonymous",447,2021,"Culturally Relevant Assessment Community and Hawaiian focus """"Our founders, Nainoa Thompson and Robert Witt envisioned a school whose mission was to create leaders who embodied the attributes of The Mind of the Navigator and the values of the World Wide Voyage. Developing of the Mind of the Navigator will be achieved through place based, project based authentic learning experiences. Guided by our Core Values and keeping students at the core of our decision-making, we strive to develop learners who can set, plot, and successfully navigate the many voyages they will have in life while being grounded and confident in their cultural identity. We want our learners to persevere and know that if they take a wrong turn, they can right their waÊ»a and accomplish what they set out to do. We prioritize Ê»ohana and community involvement and strive to create a school where as a â€œvillageâ€ we lead, learn and act with compassion, continuously educating our selves while facilitating the education of our keiki.""""   - from their website"
"Anonymous",448,2021,"Culturally Relevant Assessments NÄ Ala Hoâ€˜okele (Guiding Principles) Ma o ka â€˜Ålelo Hawaiâ€˜i e ola ai nÄ iwi o nÄ kÅ«puna.  â€˜O ke Kumu Honua Mauli Ola ka pou hale o kÄkou. E lei â€˜ia ana nÄ â€˜ano aâ€˜o a pau i ka lanakila ma o ka â€˜ike kino. â€˜O nÄ â€˜ohana ke kula, ke kaiaulu nÄ kÅkoâ€˜okolu e kÄkoâ€˜o ai ka hale. Translation: The Hawaiian language is our foundation that enables us to honor our ancestors and perpetuate our traditions, The principles of Kumu Honua Mauli Ola, the Hawaiian Educational philosophy, form the support structure of our school. All learning styles will be supported so that our children will attain equitable success. Families, school and community are equal partners of our success."
"Anonymous",449,2021,"This is a Hawaiian medium school.  All instruction and business is conducted in the Hawaiian language."
"Diverse Charter Schools Coalition",450,2021,"Lycee Francais is a french language immersion school and member of the Diverse Charter Schools Coalition. Just prior to Covid, they created a new strategic plan that centers DEI, diversifying the board, and recruiting a diverse group of teachers and students."
"NewSchools Venture Fund",451,2023,"Bricolage advances educational equity by preparing students from diverse backgrounds to be innovators who change the world."
"Center on Reinventing Public Education",452,2023,"Nokomis has dedicated over ten years to transforming its instructional model  to immerse students in meaningful learning experiences that relate to their interests and passions. Students learn through project-based learning, interdisciplinary courses, and career exploration units. Staff are encouraged to bring their expertise and interest into classes, and several have collaborated with each other to create interdisciplinary classes. "
"Anonymous",453,2021,"This school staff works to provide a safety net for students in their community by supporting all areas of student life in a variety of ways.  The guidance office has a closet of clothes, the physical education teacher has extra shoes and outside gear, the school has a food pantry, and staff work as a cohesive unit to help connect students and families to the resources they need.  During the holiday season, the staff takes the time to purchase items for families in need so all students get the chance to have a positive holiday experience."
"Anonymous",454,2021,"This school has worked tirelessly to develop a response to intervention model where teachers make data based decisions to determine the instructional needs of students.  They then offer opportunities to support emotional health with a kindness celebration and other methods to remind students to always be kind to each other.  In normal years, they raise money for oil fund for families that need oil and provide food for families with an in-school food pantry."
"The Learning Accelerator",455,2021,"The school has an extensive engineering program that provides application of STEM skills with career paths"
"Fielding International",456,2021,"High School for Recording Arts starts with relationships. They understand that the students they serve have mostly had negative schools experiences and many live in adverse life conditions. They have a truly unique public-private partnership with Studio 4, a premier professional recording studio in the Midwest, to get kids excited to tell their stories and discover who they are through hip hop. The school is truly designed to meet the holistic needs of its students, with social & emotion learning and a commitment to equity at its core. Its for these reasons I am excited to nominate High School for Recording Arts to the Canopy Project."
"NACA Inspired Schools Network",457,2021,"Dzil Ditl'ooi School of Empowerment, Action and Perseverance (DEAP) is a community-based, Common Core-aligned state charter school committed to improving academic and cultural achievement opportunities for Native youth. In Navajo, New Mexico where DEAP is located, the area is rich with Native history, culture, land, and natural water sources. The mission of DEAP is to help students develop a sense of place, tradition, and wellbeing, preparing and empowering youth to take action in transforming their community and the world around them. DEAP offers equitable and culturally relevant learning environments and instructional material; maintenance of DinÃ© (Navajo) language; and opportunities for engagement with the local community. DEAP provides a strong, Indigenous curricula designed to be culturally relevant for a 100% Navajo student body by drawing on the rich cultural and social resources in the community that are often absent from traditional schools. DEAP's educational model rebuilds student' relationships with their culture and sovereign status, helping students reclaim pride in their history and community. For example, DEAP's classroom climate includes coursework that is accompanied by experiential opportunities, such as 6th-9th grade students working through a traditional KinaaldÃ¡ rite of passage ceremony, celebrating the transition from child to adult within the tribe. Students work together in planting a community garden with traditional seeds and plants. The DinÃ© language is closely interwoven into academic and experiential activities. This promotes comprehensive, hands-on learning, encountering language's role in describing traditional activities, and studying the etymology of language over time (such as the influence of Spanish and English). Student learning opportunities are connected to real life, their culture, and their community through service orientated projects. At a macro-level, this establishes a school culture and environment that embraces its Indigenous roots as well as the strengths that are abundant within the community."
"Center on Reinventing Public Education",458,2023,"This school is not only serving a unique student population but is a communication school rewriting the structures of education. The bilingual ASL-English environment is one of a kind and they've partnered with the university to train educators to fit their community needs."
"Anonymous",459,2021,"What stands out for me is that they are in their 4th year of implementing a career related graduation requirement."
"Anonymous",460,2021,"Their equitable approach to career opportunities for students. I am excited abotu their innovative work in ensuring that there are meaningful experiences with work prior to students graduating from Salem High School."
"Anonymous",461,2021,"This is a small, rural, PK-8 district near one of Montana's Indian Reservations.  Technology, community engagement, and smart use of data make this a highly effective school and a standout among Montana's rural schools."
"Minnesota Learner-Centered Network",462,2021,"Spring Grove stands out form other schools because the adults in the system are committed to and sustaining their focus on true innovation, instead of only improving the industrial model of education.  The leaders within this small K-12 school are creating the conditions for the teacher leaders to develop the agency to flip a conventional system on its head to become a student-centered learning environment. They are redefining the roles for students, teachers and positional leadership.  Students are invited to the governing table of the school. Students are co-creating their learning experience with the adults. Students have a voice and are given opportunities to develop their agency in their own learning journey. This small rural school is a power house of innovation and a model for other 'traditional' school districts!!"
"Minnesota Learner-Centered Network",463,2021,"The MNCAPS choice extended to the 11th and 12th grade students, allows the learners to make authentic connections with mentors in a variety of professions. Students learn from seminars and 'teachers', as well as from experiences in the real world of the profession they are exploring. Students are involved in finding solutions to actual problems that come from real businesses and organizations they are connected to, through their mentor.  The skills they are learning are beyond the required state standards.  This setting increases the students' agency as a learner and provides many other skills, impacting their future."
"Minnesota Learner-Centered Network",464,2021,"Level Up Academy is a K-8 school in its seventh year of brillance!  The model of shared decision-making with all staff members has created a culture of collective innovation that can adapt and respond to the needs of each student.  The students and adults take care of each other, humanizing the process of learning. The environment of belonging and the strong relationships allow staff to utilize learning technology to deliver a competency-based approach to learning with a focus on individual growth and a human touch."
"Minnesota Learner-Centered Network",465,2021,"Paladin's model serves their students holistically, providing much more than rigorous academics.  Needs of their students are met with counseling, clothing and food shelf, medical attention and housing. Paladin is a place where students find what they need in a respectful way and are welcomed with all of their identity. The academic choices include pathways such as; work-based learning, seminars, project-based learning and experiential learning."
"Mastery Transcript Consortium",466,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Next Generation Learning Challenges",467,2021,"KM Global has completely reimagined what """"school"""" should be about. It is relentlessly focused on solving problems, such as the UN Global Challenges. The work that students do is self- or team-designed and organized and deeply authentic. It is ALL relevant and it fills its students with a sense of purpose that is plainly evident when you visit the school. This school has gone way beyond """"project-based."""" The entire curriculum and entire student experience is an engaging, student-driven project. As an option among several district-authorized charter options for Kettle Moraine students, it is a great asset to the community and an inspiration to the other schools in the district -- and to plenty of educators outside the district as well."
"Center on Reinventing Public Education",468,2024,"Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing """"Project Leo,"""" an in-house project-based learning platform that leverages AI to suggest project ideas for students."
"Next Generation Learning Challenges",468,2024,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
"Center on Reinventing Public Education",469,2024,"Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing """"Project Leo,"""" an in-house project-based learning platform that leverages AI to suggest project ideas for students."
"Next Generation Learning Challenges",469,2024,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
"Center on Reinventing Public Education",470,2024,"Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing """"Project Leo,"""" an in-house project-based learning platform that leverages AI to suggest project ideas for students."
"Next Generation Learning Challenges",470,2024,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
"Anonymous",471,2021,"The Windsor Central leadership team began the process of developing a Portrait of a Graduate and related strategic plan during the 2018-2019 school year. This effort allowed students, parents, educators, and community members in the newly formed Windsor Central Modified Unified Union District to collectively construct a vision of their graduates and a plan for enabling learners to meet those expectations. The strategic plan that was developed provides a clear roadmap with the Portrait of a Graduate being their â€œnorth star.â€ Leadership recognized the importance of engaging multiple stakeholders in a meaningful process to achieve positive change. I was fortunate to be able to attend sessions and observe the high-level of commitment by all involved.   A systems perspective is also evident in Windsor Central's strategic plan through intentional connections between strategies and the Portrait of a Graduate competencies. For instance, Strategy 1.2 states, â€œAchieve a high level of math proficiency for all students through curriculum review, classroom instructional practices, professional development, and robust interventions so that all students reach their full potential.â€ The related Portrait Competency, Academic Excellence, is identified in order to ensure coherence between strategies and competencies.   At the classroom level, the Portrait of a Graduate (PoG) is driving K-12 deeper learning. A variety of modes, such as project-based learning, are used to enable students to meet the competencies described within the Portrait. The focus on deeper learning within project-based learning is a clear motivator for educators. A deeper learning group created a booklet to support high-quality projects. This â€œTeacher's Toolkitâ€ is aimed at providing strategies for fostering skills and dispositions within the PoG. It was developed by educators as a resource to bring the PoG to life in classrooms. The three strategies include:  1.	Increasing student voice and choice in our classrooms;  2.	Infusing learning with robust routines of critique, revision, and reflection; and 3.	Creating public products for authentic audiences.  Additionally, professional learning opportunities designed by educators were provided for classroom teachers. The intent was to provide a collaborative space for deeper learning and design in the spring that would enable participants to plan for the new school year and build capacity within schools. The foundational goals included:  â—	Create a culture of â€œDeep Learningâ€ in tone, vibe, excitement across age groups; â—	Foster collaboration between participants across grade levels; â—	Understand that Deep Learning is a RESULT of teacher choices; â—	Connect Deep learning to the PoG; â—	Develop a list of â€œinstructional lensesâ€;  â—	Reflect on current practice: How am I already promoting the PoG; and  â—	Develop a sense of remote AND deep learning.   A collaborative effort between the Marsh Billings National Historic Park, the Upper Valley Teaching Place Collaborative, and Windsor Central has resulted in opportunities for place-based education with the goal of connecting students to place, culture and social-historical connections to place. One project has been focused on Naturalist Backpacks. Naturalist Backpack' tools allow children to take a close look at the world around them. Place-based learning supports the development of a sense of wonder, grows student' social-emotional skills, increases engagement, and builds a better understanding of the world.   Windsor Central Unified Union School District has engaged in racial equity work with the support of Writing Wrongs, LLC. The Windsor Central School Board's anti-racist work is focused on creating anti-racist policy. They have received a grant to dig further into current anti-racist efforts, starting with school board members and leadership within the system. An equity audit will be used to gather data regarding the current status.   The Leadership Team commits to adopting a more visible stance of active listening, collective learning, internal reflection, and critical evaluation of current practice. This stance and any action plans will be developed with the help of partnerships with individuals and organizations centered on this work to expose systemic racism embedded in our educational system. Leadership commits to providing students with an education that is explicitly anti-racist and refuses to turn away from the hard truths of our history."
"Vermont Learning for the Future",472,2021,"This program was created to actively engage students in understanding and improving the quality of life for all within the greater Burlington area. Students were partners in the design and implementation of the program, and continue to shape the evolution of the model. Many schools-within-schools intend to serve as innovation hubs for the greater school district; BCL is making good on that promise."
"Barr Foundation",473,2023,"
Proficiency based learning
New Americans / Newcomer program
Learning beyond the school walls
iLab - personalized learning"
"Vermont Agency of Education",473,2023,"The Winooski Middle High School (WMHS) is strengthening and innovating upon existing programming to boost its STEAM (Science, Technology, Engineering, Arts, and Math) access to all students. The WMHS Computer-Based Music-Making Program launched in 2021, driven by student interest. The Computer-Based Music Making Program is a class offered to students that allows them to create, record, and produce their own music or audio recordings using computer technology. Approximately 45% of WMHS students have resettled in Winooski through the refugee resettlement program. Among them, they speak around 20 languages, predominantly Swahili, Somali, French, and Nepali. For these students, music is a common language. For some Winooski students, who struggle academically, music has been an anchor, keeping them connected to the district and providing an outlet for their talent. Many students want to make music in their own languages or write songs that students can sing in class. This program has enabled students to express themselves and connect with other students, and the broader community and is an excellent way to be inclusive and provide equitable access to arts education.
 

 Additionally, Winooski’s promise to their community includes: 
 Students have voice and choice in their learning.  
 • Students are excited about the topics they are learning as they are tied to their interests and their futures. 
 • Learning is personalized and is relevant and meaningful to each student. 
 • Each student develops a personalized learning plan tailored to their needs, interests and passions. 
 • Students own their learning, are confident, and are willing to take on leadership roles. 
  
 The Winooski High School environment encourages student DISCOVERY and RETENTION of learning. 
 • Each student’s individual learning needs are supported. 
 • Students choose how they learn and how they demonstrate their learning. 
 • Students advance at their own pace, with guidance from their advisor. 
 • Students move toward graduation as they master each topic. 
 • Classes are small in size and enable teachers to engage and challenge each student’s learning style and ability. 
  
 Winooski High School is preparing students for SUCCESS in the 21st century. 
 • Through our GXs and GPs, students learn new transferable skills like communication, critical thinking, problem-solving and collaboration; essential skills that will help students work in ever-changing, diverse workplaces. 
 • Students study real-world topics through project-based learning which takes a topic a student is interested in and ties it with the skills the student needs to develop in particular areas, including math, science and English. 
 • Our schools’ diversity enables students to think globally, gain a deeper understanding of the world, and provides students with a unique leverage in achieving success in career and life. 
 • We focus on the whole student, mind, spirit and body and help students appreciate that wellness is something that they need and should carry on through life."
"Education Evolving",474,2021,"EdVisions Off Campus (EOC) is an online individualized project based teacher-powered school. EOC has created a unique program that allows students to work on individualized projects to pursue their interests and passions with the support of staff and peers in a real time online experience. Students have advisory field trips five times per year, all school gatherings twice per year and can participate in experiential trips each year such as: camping in the Florida Everglades, touring London, or exploring San Francisco."
"MiCoOp",475,2021,"There are many reasons I am excited to nominate Link Learning, but the main reasons are their partnerships with schools around the state and how they use their data to improve student learning. Link Learning partners with brick and mortar schools that have exhausted their options for students who need a personalized learning plan and individual support. While most of these students are at-risk, Link Learning also serves the non-traditional learner like homeschoolers, professional high school athletes, students with unique medical conditions, youth in the justice system, and early parents. Students take just one or two courses at a time. Even though Link Learning is a virtual school, they have learning centers around the state for students to come and learn in a welcoming, supportive environment. Their partnership with the brick and mortar schools also allow their students to take seated courses.   Link Learning uses a tool to manage student engagement and progress. The program was developed in partnership with a software development company and their district, including virtual teachers. It automatically collects data from their LMS and records their staff interactions to get a whole-child view of each student. Within this system, they have the ability to see where a student falls in MTSS so they can intervene more quickly. The data is reviewed daily by teachers, weekly by learning center directors, and monthly by the quality assurance team (who support staff professional learning). Their data shows that the more intentional the teacher-student conversations, the more students are engaged, and the greater their academic achievement. These intentional conversations focus on helping students understand their role in learning, making a plan to fit education into their lives, and reflecting on their progress.   There is also a heavy focus on social-emotional learning. The school has staff specifically assigned to EL students, 13 special education staff, and social workers who work with students and staff. Relationships are built between students, staff, and parents to develop a community where they all feel they belong. Professional learning for staff includes shifting mindsets. First, they must understand that getting at-risk students to enroll is a success in itself. Once enrolled, they need to create connections and relationships so they are taught how to talk and relate to students. After relationships are built and students start engaging, they can focus conversations on learning such as time on task, number of days in class, and what they did when they were successful. The staff also works with students to help them self-regulate with the goal for them to become effective members of society."
"The Center for Learner Equity",476,2023,"WISH Charter School was founded and designed based on input from families of students with disabilities.  At WISH Charter School, teachers have a culture in which they would regularly observe one another’s classrooms to learn from their colleagues who were more advanced in the co-teaching strategies they were trying to learn. The school also partners with a higher education institution and is a  “research to practice” site for training teaching candidates. "
"National Center for Special Education in Charter Schools",477,2021,"Paramount Schools of Excellence operates on the beleif that all students have the abiltiy to thrive academically. Thier academic model is innovative and inclusive, creating the opportuntiy for each student they serve to be successful both in and out of the classroom."
"MiCoOp",478,2021,"Not many virtual schools offer a drop-in center for middle school students. West Michigan Virtual Academy (WMVA) serves middle and high school students, grades 6-12. When the school first opened, neighboring districts did not want the school there, but are now sending students to WMVA who need a more personalized approach that they cannot offer. Probation officers and juvenile homes also refer youth to their school. Now in their 11th year, WMVA is averaging 50 graduates a year. Based on graduate surveys, the school has found that 53% felt strongly they would probably not have graduated if they attended a traditional high school, but after attending WMVA, 80% had a plan for what they wanted to accomplish after graduation.  WMVA was the first virtual school in the state to hire a full-time social worker. The social worker helps students, many of them at-risk, manage life skills as well as their academic success. Their students suffer from social or school anxiety, panic attacks, abuse (emotional, physical or sexual), bullying (both virtual and physical), LGBTQ issues, and depression. The school also serves students with oppositional defiance disorders, obsessive-compulsive disorders, Tourettes, and others that may make it challenging to attend a traditional school. Through the work of the social worker, WMVA is able to assist students in reducing or removing barriers so they can successfully complete their education. To accomplish this, the social worker works with teachers to provide training around student' social and emotional needs. Staff is also going through anti-racism training. Even though they are a virtual school, WMVA provides food for the students that come to the drop-in center through a partnership with the Southwest Michigan Food Bank.  Their drop-in center is located at the city's recreation center so WMVA has the ability to offer their virtual lifetime fitness classes with an in-person component. They also offer optional career field trips and guest speakers for all 300 students. Before COVID, the drop-in lab would regularly see 30-40 students who came in for assistance, many of them showing up multiple times a week. WMVA also has partnerships with the local career tech center and three local colleges where students can earn career skills and/or college credits."
"Diverse Charter Schools Coalition",479,2021,"CQA, a member of the Diverse Charter Schools Coalition, celebrates its diverse and varied scholars, staff and families. It seeks to foster connections for young people to feel empowered to make positive changes in their community while also helping each other learn and succeed in school.  CQA scholars reflect the diversity of Queens:  65% Hispanic/Latino  18% Asian/Pacific Islander  15% African-American  2% Caucasian/White  88% Free/Reduced Lunch"
"Achievement Network",480,2021,"Manara Academy District serves a highly diverse population of students. Many of their families are immigrants for whom Manara is their first experience with the American education system. They are implementing a tactic called family academies across their district in an effort to drive family engagement. While they had begun planning for the strategy prior to COVID-19, they have ramped up their process in light of the pandemic in order to ensure that students and families have what they need to success with virtual and blended instruction."
"Achievement Network",481,2021,"Manara Academy District serves a highly diverse population of students. Many of their families are immigrants for whom Manara is their first experience with the American education system. They are implementing a tactic called family academies across their district in an effort to drive family engagement. While they had begun planning for the strategy prior to COVID-19, they have ramped up their process in light of the pandemic in order to ensure that students and families have what they need to success with virtual and blended instruction."
"Achievement Network",482,2021,"Manara Academy District serves a highly diverse population of students. Many of their families are immigrants for whom Manara is their first experience with the American education system. They are implementing a tactic called family academies across their district in an effort to drive family engagement. While they had begun planning for the strategy prior to COVID-19, they have ramped up their process in light of the pandemic in order to ensure that students and families have what they need to success with virtual and blended instruction."
"NewSchools Venture Fund",483,2023,"At Detroit Prep, our learning approach focuses on developing and nurturing the the whole child through multiple dimensions of student achievement: a commitment to mastery of knowledge and skills, character development, high-quality student work, and family and community engagement. Our unique approach is grounded in hands-on, collaborative learning with a backbone of social-emotional curriculum."
"Fielding International",493,2022,"What most stands out is how the learning environment is designed to adapt to the unique needs, gifts, interests, and life experiences of the students. This starts by prioritizing relationships and student wellbeing, and using more flexible structures including time and space that cultivates agility within the learning environment."
"Fielding International",493,2022,"What stands out is how the entire learning ecosystem is designed to adapt to the unique needs, gifts, and life experiences of the students. That, paired with an ongoing commitment to marry student voice with community difference making, and the environment becomes a place centered on deep relationships, well-being, and purpose-driven learning experiences."
"Anonymous",495,2024,"Revolution School executes a new high school model designed to unleash the learning that happens when students and communities come together to listen, learn and lead.  Their opportunity readiness skill building program designed with and for diverse young people, and paired with an authentic community, ignites the ingenuity we need for both the present and future of work. They harness the resources of local communities and organizations across Philadelphia and beyond. "
"Clayton Christensen Institute",498,2022,"Wilder has developed a flexible learning environment that leverages blended learning to empower students."
"Clayton Christensen Institute",499,2024,"Their flexible blended learning model enables students to explore their passions."
"Clayton Christensen Institute",500,2022,"Innovations Early College High School has a highly flexible instructional model that adapts to students' needs and enables them to pursue their passions."
"Clayton Christensen Institute",501,2024,"Their model allows students to progress based on mastery and pursue passions beyond the walls of the school."
"Mastery Transcript Consortium",501,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",502,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",503,2022,"This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Transcend",504,2022,"DREAM Charter High School's mission is to create powerfully literate young people who are self-determined to leverage their achievements to empower others in their communities. Located in East Harlem, this charter school serves and was created to serve its immediate community. DREAM HS also offers flexible learning environments with dedicated rigorous curriculum aimed to empower its young people through social consciousness and action in community."
"Transcend",505,2022,"Brooklyn Free School’s mission is education for social justice. Always advocating for young people’s voices to be heard, BFS engages students and staff in democratic decision-making and problem solving. They honor student choice and facilitate student-centered learning through play and exploration, constructivist teaching, collaborative course work and self-directed student initiatives. They support social and emotional development through conflict mediation, personal reflection, diversity awareness and community responsibility."
"Transcend",506,2022,"Red Bridge's mission is to develop a sense of agency in every child as the foundation for academic and life success. Their definition of agency is the following: the ability to set meaningful goals and have the will and skill to achieve them. At Red Bridge, the learning environment is intentionally designed to grow a set of habits/transferable skills that equip learners to enact their agency now and in the future. These skills set learners up for lifeline learning and include work habits, character habits, communication and computational habits, and more. 

Red Bridge has developed an agentic curriculum as well as processes, routines, and structures to support agency development. At Red Bridge, learners set meaningful goals regularly with support, engage in deliberate skill building on habit formation, reflect on their progress with a learning guide, and participate in choice-fulled, student-led learning experiences. "
"Transcend",507,2022,"This PK-5 elementary school aims to promote innovate educational experiences that focus on multicultural education and cultural awareness. To achieve this, Mesita Elementary implements positive behavior intervention and supports, focuses on social-emotional learning, and offers programming in digital citizenship and dual language."
"Anonymous",508,2024,"ARISE High School prepares students to be college and real-world-ready through critical consciousness and social and restorative justice."
"New Tech Network",509,2024,"It's evident from the provided information that Winton Woods School District made a significant shift towards project-based learning (PBL) and student-centered education across all grade levels. This transformation was achieved through partnerships, deliberate planning, and student involvement in the design process.

Key points highlighted include:
1.Implementation of New Tech Network Model: The district adopted the New Tech Network whole-school model, embracing PBL from preschool through twelfth grade.
2. Partnerships and Funding: The district received intentional support from the Straight A Fund in Ohio's state biennial budget, enabling them to create customized, personalized learning experiences. Partnerships with construction and architecture firms like Skanska Megen Construction Co. Inc. and SHP helped build innovative, project-based learning spaces.
3.Student Involvement in Design Process: Students from grades 6-12 actively participated in the design process of the new buildings. The design was aligned with the educational vision, focusing on six key shifts in education and incorporating hallmarks of PBL instruction.
4.Identified Foundational Needs: Through this effort, foundational needs of students were recognized, including a desire for collaboration, a student-centric culture, engaging learning opportunities, various workshop sizes, mobility within the learning environment, active engagement, and access to technology in different forms.

The district's approach not only focused on physical infrastructural changes but also on aligning the design with the educational philosophy, ensuring that the learning spaces reflect the principles of project-based learning. The active involvement of students in the process indicates a commitment to meeting their needs and preferences.

Overall, the transformation of Winton Woods School District showcases a comprehensive effort to create an environment that supports innovative and student-focused learning experiences. In addition to the district-wide transformation, the high school campus stands out for its commitment to fostering mastery-based learning. Through a range of initiatives such as assessments designed for deeper learning, grading policies centered on mastery, and an array of supplementary resources including tutoring and extended learning opportunities, we ensure students have multiple avenues to demonstrate their mastery of subjects.

During the first quarter of this academic year, we're proud to share that over 500 high school students achieved an impressive grade of 3.0 or higher. This achievement reflects our dedication to supporting and recognizing student excellence in their academic pursuits.
"
"Anonymous",510,2024,"Creativity Challenge Community (C3) fosters a learning environment that empowers students to think creatively, to solve problems, to learn in collaboration with local artistic, scientific and cultural partners, and to challenge and care for each other to our highest potential as leaders and learners. C3 emphasizes independent learning in a collaborative setting to develop kind, courageous thinkers."
"Transcend",511,2022,"NYOS is a PK-12 pre-collegiate charter school that seeks to support the whole student. Through rigorous academics through collaborative teaching and learning strategies and expectations for civic engagement, they ensure students are well-prepared post-graduation. Their educational model focuses on small class sizes, research-based professional learning, field-based experiences, and a commitment to meeting individual students' needs."
"Anonymous",512,2024,"Long-view is well regarded for its innovative and rigorous approach to mathematics, both in their approach to teaching and learning. Long-view offer the number lab to train teachers in their unique approach. They focus deeply on relationship-building."
"Transcend",513,2022,"Independent lab school 99% students of color with high achievement rates. School design is deeply connected to science of learning and development and very big on social-emotional development."
"Transcend",514,2022,"Forest Freedom School, part of Abundant Beginnings, is a collectively run, Black-led community education initiative. This place-based school focuses on Black students, gender expansive and queer students, disabled learners, students holding trauma and all the intersections."
