Nomination ID,Nominator Org,Reason for nominating,Canopy School ID,Publicly disclosable nominator org
Nominator_2020-11_EmpowerK12_Center City Congress Heights,EmpowerK12,"Center City Congress Heights is a PK-8 school located in DC's poorest and most violent neighborhood, Congress Heights. Yet, Congress Heights' student growth and achievement have earned it the only 5-star school rating by the state in Ward 8, DC's poorest ward. More than half of the 2019 graduating 8th grade class was accepted into one of DC's four application high schools. Principal White and her team go above and beyond when it comes to ensuring the safety of their students and building of relationships with families and the community. Niya's team also reviews data on a weekly basis as part of an intentional continuous improvement process. The leadership team ensure the data samples that teachers bring are valid and reliable, leading to deep conversations about what's working and what's not. Educators know it is okay to fail because of the safe continuous improvement environment and mindset instilled by the leadership team. Failure is quickly identified and new change ideas are derived collaboratively. ",426,EmpowerK12
Nominator_2020-11_Fielding International_Eden Park Elementary School,Fielding International,"Cranston Public Schools (CPS) is an average-sized American public school district of twenty-two schools that serve an economically and ethnically diverse population.  Cranston is the third-largest city in Rhode Island, and typical of most American cities, most of its schools were built in the 1950s and �60s. Despite the advanced age of many schools in the District, CPS leadership proclaimed that ""we must go beyond warm, safe and dry."" We had just completed a comprehensive school facility plan, reinventing and reimagining Cranston�s schools for the new twenty years and beyond. When approached by CPS District leadership to identify a potential �Pathfinder� or demonstration project, the Eden Park School presented a golden opportunity.   The School has a very progressive Principal and a teaching staff that was ready to reimagine and redefine their roles as teachers by letting go of the assumptions of what used to be school. They have fully embraced project-based learning and the five stages of finding a solution, real-time collaboration, and a flexible schedule to match their learning environments� flexibility.   Eden Park Learning Community is an ensemble of student-centered collaborative spaces. Moving away from the one teacher, one room, and sole care of one group of students, it is an environment that supports learner-agency, transparent technology, and fosters a wide variety of teaching and learning situations. These situations range from small group and independent study to whole group instruction or one-on-one with a teacher. The spaces also emphasize the importance of teacher collaboration by deprivatizing the planning process and include workspaces that allow teachers to work both independently and collaboratively.  The adoption of the Learning Community model at Eden Park has brought more flexibility and variety in day-to-day learning activities.  The old corridor was absorbed into the Learning Commons, leading to an agile space that supports multiple ways of learning, and multiple groups of learners.  This type of shared commons created a diffuse distribution of students and collaborative work areas.  Transparency between Learning Studios and the Commons facilitates interdisciplinary PBL learning for kids, adults, and folks who push-into these spaces for special services. The teachers have embraced industry experts and community partnerships in every way. Industry partners now plan with teachers, launch projects, and are utilized for feedback throughout each stage in the problem-solving process.   Teacher professional development through FI is embedded into the fabric of their work. Cranston is involved in ongoing professional development, which includes a three-year teacher coaching program. Teachers develop mastery in a collaborative, interdisciplinary, project-based curriculum. Each year, the program becomes more student-centered, with learners identifying and defining problems and projects themselves by year three.   The results are in: at the 3rd-5th Grade Learning Community at the Eden Park School, the first completed, the level of engagement, personalization and physical comfort has reduced absences, seen a huge drop in disciplinary issues, and all but eliminated the need for specialized isolation and decompression rooms for students with special needs--instead, they are thriving within a suite of spaces shared by everyone in their learning community. The result is more learning, more joy, and less space required. ",427,Fielding International
Nominator_2020-11_A+ Schools_City Charter High School,A+ Schools,"City High has been a model of innovation in public education for over a decade in Pittsburgh. It's graduation rate in 2019 was 96%. It's 6 year college or trade school completion rate according to the school in 2019 was 59%. And its chronic absence rate was only 2% compared to an average of 46% chronic absence in Pittsburgh Public Schools in 2019-2020.   The school focuses on a few things well, and graduates scholars at a high rate. Key to its model are: 1. 4 year looping - all students stay with the same cohort of teachers all four years so that strong relationships are built 2. Real world skills training - the school prepares all students by providing each with a laptop of their own, certifications in all Microsoft Office applications, and financial literacy training in each year 3. Internships - all students participate in internships in a career area of curiosity and the school has built an impressive set of relationships with community partners, and 4. Investments in supports - the school does not maintain a library or have sports teams, instead it leverages the assets of the City's resources for students to access extracurricular activities with nonprofits and research at local libraries and colleges. This trade off allows the school to invest more deeply in counseling and supports for students.  You can read more about City High here: https://www.ourschoolspittsburgh.org/rising-up-city-high",428,A+ Schools
Nominator_2021-12_Center on Reinventing Public Education_City Charter High School,Center on Reinventing Public Education,The school is designed to prioritize strong student-adult relationships and interdisciplinary collaboration. Grade-level teacher teams loop with students through all four years of high school.,428,Center on Reinventing Public Education
Nominator_2020-11_A Revolution in Education_The Workshop School,A Revolution in Education,"The mission of The Workshop School is to unleash the creative and intellectual potential of young people to solve the world�s toughest problems. It is a project-based school that puts real-world problems at the center of the curriculum. There are no academic admission requirements. Students at The Workshop School are eager to explore interests and passions, willing to collaborate, and able to persist through challenges and setbacks.",429,A Revolution in Education
Nominator_2023-11_A Revolution in Education_The Workshop School,A Revolution in Education,"The school's mission is to unleash the creative and intellectual potential of young people to solve the world's toughest problems. It accomplishes this by putting real-world problems at the center of the curriculum and evaluating students' work based on the progress they make in defining, exploring, and ultimately developing solutions to those problems. The school emphasizes project-based learning, internships, strong community partnerships, and dual enrollment programs. It also focuses on community first, supporting students in and outside of school, and going deep on restorative practices.",429,A Revolution in Education
Nominator_2020-11_A Revolution in Education_Building 21 Philadelphia,A Revolution in Education,"They are ultra-focused on the well-being and agency of their youth, many of which are growing up in very challenging circumstances.  Focused on: - relationships - restorative practices - personalized learning pathways - project-based learning, and - growth mindset In the context of problem-based learning and real-world experiences wrapped around a competency-based learning and assessment system.",430,A Revolution in Education
Nominator_2023-11_Aurora Institute_Building 21 Philadelphia,Aurora Institute,"Building 21 Philadelphia's studio model allows students to be the designers of their own pathway with support from teachers. Credits are earned by creating portfolios of evidence rather than by completing courses. Their competency-based learning approach isn't limited to students; it extends to teachers and school administrators, serving as a framework for self-assessment, goal-setting, coaching, and feedback tools. Emphasizing depth of content over breadth, Building 21 offers an innovative learning experience. Students aren't confined to traditional classrooms; they actively engage in learning experiences beyond school walls.",430,Aurora Institute
Nominator_2020-11_A Revolution in Education_The U School,A Revolution in Education,"Students are engaged in real-world, community-based activities which support their learning in context driven by their interests.  Through this methodology they become empowered to consider what THEY want to do in the world and how they can do that.",431,A Revolution in Education
Nominator_2020-11_Oklahoma Department of Education_Charles Page High School,Oklahoma Department of Education,Charles Page High School uses a blended model to allow students the flexibility to choose career pathways and gain firsthand experience within the community. Their model allows for students to maximize their time within the high school setting and creates student choice to engage learning at the highest level.  ,432,Anonymous
Nominator_2020-11_Education Evolving_The Urban Assembly School for Green Careers,Education Evolving,"The Urban Assembly School for Green Careers recognizes that overcoming our planet�s environmental challenges is the biggest task facing the world today. We understand that as our economy becomes more green, many of the future�s most promising careers will focus on solving the challenges of environmental injustice, and in ensuring equitable access to quality living and resources for all citizens. Our students will only be able to activate this mission if they are equipped with collaborative problem-solving and reasoning skills, empathy and awareness of how to interrupt injustice, and the knowledge of green industries and environmental issues. Therefore, we are committed to being a learning community dedicated to personal and community empowerment, college and career-readiness, and equity and access to and for our students, families and staff.",433,Education Evolving
Nominator_2023-11_Transcend_The Urban Assembly School for Green Careers,Transcend,"Students at UA School for Green Careers act, write, and build to confront the challenges to human rights created by climate change. Through Cooperative Group Work, all students engage in peer-to-peer dialogue that supports critical thinking skills. Through 1:1 Conferences with Teachers, students receive personalized attention, feedback, and develop independent problem-solving skills through conferences facilitated by their teachers. And, through Peer-to-Peer Supports, students develop critical thinking and reason-giving skills.",433,Anonymous
Nominator_2020-11_NewSchools Venture Fund_Comp Sci.High,NewSchools Venture Fund,"Comp Sci High combines the best of elements of so many different models.  It has elements of CTE and Computer Science, with a plan to provide almost every graduate with real industry certifications.  It has elements of work-based-learning, with a robust commitment to internships, personal finance, and wealth-building.  And, Comp Sci High's design incorporates weekly circles, intensive advisory communities, and in doing so, prioritizes SEL.  Most exciting of all, Comp Sci High sees these elements as deeply connected to a college preparatory academic model.",434,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Comp Sci.High,NewSchools Venture Fund,"We are a work-based learning, computer-science high school, rooted in the Bronx Community.",434,NewSchools Venture Fund
Nominator_2020-11_Robin Hood Learning + Technology Fund_Pelham Gardens Middle School,Robin Hood Learning + Technology Fund,"Showing promising progress in piloting ""blended literacy"". ",435,Anonymous
Nominator_2020-11_Robin Hood Learning + Technology Fund_PS 76 The Bennington School,Robin Hood Learning + Technology Fund,They have should great progress and commitment to blended literacy. ,436,Anonymous
Nominator_2023-11_Transcend_Community Roots Charter School,Transcend,"Community Roots is a deliberately diverse school community that takes an explicitly anti-bias approach to curriculum, instruction, and assessment; school culture; and staff training. This approach prioritizes identity, diversity, justice, social action, and inclusion.",437,Anonymous
Nominator_2021-12_Transcend_Community Roots Charter School,Transcend,"The Anti-Bias Education model targets biased attitudes before they give way to acts of bias and discrimination, through curriculum, classroom practices, and deep community building with all stakeholders. The goal is to identify and dismantle the thinking and ideology that contributes to harmful acts of oppression. The work is holistic and is integrated throughout the curriculum and environment. ",437,Transcend
Nominator_2022-11_Transcend_Community Roots Charter School,Transcend,"Community Roots Charter School creates a learning environment that is diverse and inclusive. They employ an anti-bias education model that prioritizes issues of identity, discrimination, and social justice in our curriculum and our professional development. By prioritizing issues of identity, discrimination and social justice, the school strives to be a brave-space for differences of all kinds, where all staff, students, and families feel supported, empowered and fully engaged.",437,Transcend
Nominator_2020-11_The Center for Learner Equity_Community Roots Charter School,The Center for Learner Equity,"Community Roots puts emphasis on creating an inclusive learning community where both academic and social aspects of students' learning experience are fully accessible, while maintaining a standard of academic excellence for all students. ",437,The Center for Learner Equity
Nominator_2020-11_Achievement Network_PS 206 Jose Celso Barbosa,Achievement Network,"PS/MS 206 is deeply immersed in the process for working toward educational equity. They are utilizing an integrated approach to academic and social-emotional learning, which they have not only continued in the face of the ongoing COVID-19 pandemic, but they have also expanded their focus on SEL. They are working hard to unlearn old practices of systemic racism through mandatory professional learning for staff and the integration of equity-based discussion questions in all student-focused conversations, which allow them to work toward becoming anti racist. They are also invested in building teacher-leaders to sustain and expand the work of both anti-racism/educational equity as well as SEL, which is particularly exciting.",438,Achievement Network
Nominator_2020-11_Arkansas Team Digital_Jasper High School,Arkansas Team Digital,"Jasper High School is doing an excellent job of implementing a flex model of blended learning to meet students' needs. They give students voice and choice in their learning through instructional opportunities, both online and in-person. Their campus has provided students flexibility in their learning and has designated two days a week as flex days that allow for more targeted instruction. The alternating between face-to-face and online learning provides educators with more opportunities to meet the small group or individually for students in need. Each student is also provided a mentor who helps them determine pathways to reach their individual learning goals. This flexible model has been instrumental in the educational growth of their school.  ",439,Arkansas Team Digital
Nominator_2020-11_Diverse Charter Schools Coalition_The Museum School of Avondale Estates,Diverse Charter Schools Coalition,"The mission of The Museum School of Avondale Estates is to inspire students, teachers and the community to collaborate to develop strong critical thinking, interpersonal and academic skills in our students, which will prepare them for real-world success. The Museum School recently became members of the Diverse Charter Schools Coalition, expressing a desire to make their school more diverse, equitable, and inclusive. They have doubled their efforts in DEI work by, for example, launching a board of directors diversity committee and updating their strategic plan to include new initiatives such as the ones described here: https://themuseumschool.org/school-spotlight-diversity-inclusiveness-equity/",440,Diverse Charter Schools Coalition
Nominator_2020-11_Branching Minds_Clearmont Elementary,Branching Minds,Clearmont Elementary School deserves recognition for their innovative efforts related to building community at their school. Not only did they have the highest ratings in their district on student perception ratings in the area of sense of belonging (80% of students feel that they are valued members of their school community) but they also showed positive growth in those ratings from 2018-2019 despite starting with such high ratings.  The Clearmont Staff put a great effort into building a welcoming community by ensuring each student could identify a staff member they feel connected to.  ,441,Branching Minds
Nominator_2020-11_Indiana Department of Education_Noblesville High School,Indiana Department of Education,"As an early adopter of elearning in Indiana, Noblesville HS has innovated and adjusted to remote and hybrid learning environments in a way that has provided choice and relevance in trying times.  The existing offerings allow for students to achieve dual credits and take part in opportunities that set students up for success beyond their days in the HS building.  They deviate from the previously mandated traditional structure while maintaining traditional options for students and families that work best within that format.  ",442,Anonymous
Nominator_2022-11_NewSchools Venture Fund_Rooted School Indianapolis,NewSchools Venture Fund,"Our mission is to provide students personal pathways to financial freedom by increasing the number of students who graduate from high school, college or technical school ready to compete in the high growth, high wage industries starting with tech. ",443,NewSchools Venture Fund
Nominator_2022-11_Rooted School Foundation_Rooted School Indianapolis,Rooted School Foundation,"Rooted School’s curriculum, pedagogy, programmatic offerings and school environment are all characterized by constant innovation and alignment to the school’s unique mission of closing the 228 year racial wealth gap and providing all students a personal pathway to financial freedom. The opportunities provided to Rooted students often do not exist at other schools, or they are limited to few participants. Rooted believes that all students should have equal access to programs that lead to financial independence. 
 1. 100% of Rooted School students are enrolled in technology-centered courses that are oriented towards students earning Industry Based Credentials. Students have the option take classes in 3D-printing, Adobe Illustrator and Photoshop, Unity Virtual Video Game Design, Comp TIA+, and others. Students can earn up to 8 industry based credentials during their time at Rooted. 
 2. Students participate in self-directed learning and project based learning in all classes. Self-directed learning modules give students the opportunity to move at their own pace, and for teachers to provide students individualized instruction. Students also practice time-management skills. Project based learning experiences mimic the types of challenges and projects students will experience once they graduate. 
 3. Rooted School uses a competency based grading system. Students are graded on their demonstration of mastery of the subject matter, and have the opportunity to resubmit assignments to earn a higher grade. This grading system mimics how students will be expected to approach their tasks once in a career. 
 4. Rooted School is facilitating a direct-cash transfer program in collaboration with the Center for Guaranteed Income Research at the University of Pennsylvania. During the 22-23 school year, 88 students will participate in a Randomized Controlled Trial in which 44 students in a treatment group will receive $50/week for 40 weeks. The UPenn team will evaluate the impact of the cash transfers on students’ perceived financial wellbeing, attendance, and academic achievement. This program seeks to explore the structures that schools can implement that advance equity, as well as students’ well-being. The results of this study will open the door to conversations regarding larger policy and budgetary shifts within education.",443,Rooted School Foundation
Nominator_2023-11_Rooted School Foundation_Rooted School Indianapolis,Rooted School Foundation,"Rooted School Indianapolis is dedicated to equipping students with the skills for success after high school, offering a rigorous academic program that equally emphasizes college and career readiness, along with the opportunity to earn industry-based certifications while in school. Its small school size fosters a student-centered and equity-focused culture, further enhanced by numerous student organizations and clubs. Serving grades 7-12, Rooted Indianapolis is deeply embedded in the Indianapolis community, located at Eastern Star Church, creating an environment where every student can find their community and promoting a holistic approach to education.",443,Anonymous
Nominator_2020-11_The Mind Trust_Rooted School Indianapolis,The Mind Trust,"Rooted School Indianapolis is a high school in Indianapolis with the mission to provide their students with personal pathways to financial freedom. Located in a high-poverty neighborhood, Rooted was founded to intentionally bring technology skills, exposure, and career opportunities to students who may not have had the opportunity to pursue those things.   Students engage in industry-focused project-based learning experiences designed by Rooted�s teachers and industry partners. Projects are designed around specific community problems that students work to solve. Rooted recently formed a partnership with InnoPower, the Indianapolis Recorder (Indianapolis' historically Black newspaper) and Eleven Fifty Academy to improve exposure to careers in tech, and create a clear roadmap for Rooted students to pursue those careers.   Starting as early as 9th grade, Rooted students get hands-on experience with skills like coding, web design, pitching, project management, and more with projects that focus on solving problems they see or face in their own lives. Rooted is also building local partnerships to create internship opportunities for students. ",443,The Mind Trust
Nominator_2020-11_Camelback Ventures_PilotED Bethel Park,Camelback Ventures,"Jacob is an amazing leader. He is a true professional. After years of research on K-12 educational models across the country, pilotED embarked on a journey in 2019 to create a nationally standardized social studies curriculum that unearthed the true identities of this country's vast stories. From equity-centered social-emotional content to models of indigenous storytelling, their curriculum is unlike any other.  Their model is moving toward incorporating excellent aspects of Racial Identity Studies, ?Mental Wellness, Social Emotional Development, Social Identity Development, Gender Studies, Power & Privilege, and Rethinking Social Studies.  ",444,Camelback Ventures
Nominator_2022-11_NewSchools Venture Fund_PilotED Bethel Park,NewSchools Venture Fund,"pilotED empowers the way students see themselves and the world around them using a model stepped in identity development, civic engagement, and academic excellence.",444,NewSchools Venture Fund
Nominator_2020-11_Kentucky Department of Education: Office of Continuous Improvement and Support_Lewisburg Elementary,Kentucky Department of Education: Office of Continuous Improvement and Support,Lewisburg Elementary School has a laser focus on creating a learning environment that is learner-centered with equity for all kids and a vision to prepare students for what's next by creating a whole child model with a profile of a learner (including skills and dispositions in addition to academic content) at its core.,445,Anonymous
Nominator_2020-11_Kentucky Department of Education: Office of Continuous Improvement and Support_Eminence High School,Kentucky Department of Education: Office of Continuous Improvement and Support,"Simply put, Eminence desires to be the Disney World of education. They want their students and teachers to have a ""Yes, and"" attitude that learning is the goal and any opportunity to creating a positive learning environment should be taken. They are the first school in Kentucky to have a set of graduate competencies (profile of a graduate. In addition, almost 100% of their junior and senior classes have half of their schedule occuring at a nearby university three days a week.",446,Anonymous
Nominator_2020-11_State Public Charter School Commission_Mālama Honua Public Charter School,State Public Charter School Commission,"Culturally Relevant Assessment Community and Hawaiian focus ""Our founders, Nainoa Thompson and Robert Witt envisioned a school whose mission was to create leaders who embodied the attributes of The Mind of the Navigator and the values of the World Wide Voyage. Developing of the Mind of the Navigator will be achieved through place based, project based authentic learning experiences. Guided by our Core Values and keeping students at the core of our decision-making, we strive to develop learners who can set, plot, and successfully navigate the many voyages they will have in life while being grounded and confident in their cultural identity. We want our learners to persevere and know that if they take a wrong turn, they can right their wa?a and accomplish what they set out to do. We prioritize ?ohana and community involvement and strive to create a school where as a �village� we lead, learn and act with compassion, continuously educating our selves while facilitating the education of our keiki.""   - from their website   ",447,Anonymous
"Nominator_2020-11_State Public Charter School Commission_""Ke Kula ʻo Samuel M. Kamakau, LPCS""",State Public Charter School Commission,"Culturally Relevant Assessments N? Ala Ho�okele (Guiding Principles) Ma o ka �?lelo Hawai�i e ola ai n? iwi o n? k?puna.  �O ke Kumu Honua Mauli Ola ka pou hale o k?kou. E lei �ia ana n? �ano a�o a pau i ka lanakila ma o ka �ike kino. �O n? �ohana ke kula, ke kaiaulu n? k?ko�okolu e k?ko�o ai ka hale. Translation: The Hawaiian language is our foundation that enables us to honor our ancestors and perpetuate our traditions, The principles of Kumu Honua Mauli Ola, the Hawaiian Educational philosophy, form the support structure of our school. All learning styles will be supported so that our children will attain equitable success. Families, school and community are equal partners of our success.",448,Anonymous
"Nominator_2020-11_State Public Charter School Commission_""Ke Kula ʻo Nāwahīokalaniʻōpuʻu Iki, LPCS""",State Public Charter School Commission,This is a Hawaiian medium school.  All instruction and business is conducted in the Hawaiian language.  ,449,Anonymous
Nominator_2020-11_Diverse Charter Schools Coalition_Lycée Français de la Nouvelle Orléans,Diverse Charter Schools Coalition,"Lycee Francais is a french language immersion school and member of the Diverse Charter Schools Coalition. Just prior to Covid, they created a new strategic plan that centers DEI, diversifying the board, and recruiting a diverse group of teachers and students.",450,Diverse Charter Schools Coalition
Nominator_2020-11_Diverse Charter Schools Coalition_Bricolage Academy,Diverse Charter Schools Coalition,"Bricolage Academy's mission is to advance educational equity by preparing students from diverse backgrounds to be innovators who change the world. An early member of the Diverse Charter Schools Coalition, the word bricolage typically means a �mash-up� or a creation from a diverse range of available things. DEI has been center to their model since inception, the school's ED and principal are both women of color, and they successfully enroll a diverse student body.",451,Diverse Charter Schools Coalition
Nominator_2022-11_NewSchools Venture Fund_Bricolage Academy,NewSchools Venture Fund,Bricolage advances educational equity by preparing students from diverse backgrounds to be innovators who change the world.,451,NewSchools Venture Fund
Nominator_2020-11_Great Schools Partnership_Nokomis Regional High,Great Schools Partnership,Nokomis is a rural school with significant poverty who over the last 8 years has implemented a thoughtful proficiency-based learning system.  They are a model for how to transform a school through significant professional development for teachers with an unwavering focus and direction.,452,Great Schools Partnership
Nominator_2022-11_Center on Reinventing Public Education_Nokomis Regional High,Center on Reinventing Public Education,"Nokomis has dedicated over ten years to transforming its instructional model  to immerse students in meaningful learning experiences that relate to their interests and passions. Students learn through project-based learning, interdisciplinary courses, and career exploration units. Staff are encouraged to bring their expertise and interest into classes, and several have collaborated with each other to create interdisciplinary classes. ",452,Center on Reinventing Public Education
Nominator_2020-11_Maine Curriculum Leaders Association_Mattanawcook Junior High School,Maine Curriculum Leaders Association,"This school staff works to provide a safety net for students in their community by supporting all areas of student life in a variety of ways.  The guidance office has a closet of clothes, the physical education teacher has extra shoes and outside gear, the school has a food pantry, and staff work as a cohesive unit to help connect students and families to the resources they need.  During the holiday season, the staff takes the time to purchase items for families in need so all students get the chance to have a positive holiday experience. ",453,Anonymous
Nominator_2020-11_Maine Curriculum Leaders Association_Ella Burr Elementary,Maine Curriculum Leaders Association,"This school has worked tirelessly to develop a response to intervention model where teachers make data based decisions to determine the instructional needs of students.  They then offer opportunities to support emotional health with a kindness celebration and other methods to remind students to always be kind to each other.  In normal years, they raise money for oil fund for families that need oil and provide food for families with an in-school food pantry.",454,Anonymous
Nominator_2020-11_The Learning Accelerator_Uxbridge High School,The Learning Accelerator,The school has an extensive engineering program that provides application of STEM skills with career paths,455,The Learning Accelerator
Nominator_2020-11_Fielding International_High School for the Recording Arts,Fielding International,"High School for Recording Arts starts with relationships. They understand that the students they serve have mostly had negative schools experiences and many live in adverse life conditions. They have a truly unique public-private partnership with Studio 4, a premier professional recording studio in the Midwest, to get kids excited to tell their stories and discover who they are through hip hop. The school is truly designed to meet the holistic needs of its students, with social & emotion learning and a commitment to equity at its core. Its for these reasons I am excited to nominate High School for Recording Arts to the Canopy Project.",456,Fielding International
"Nominator_2020-11_NACA Inspired Schools Network_""Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)""",NACA Inspired Schools Network,"Dzil Ditl�ooi School of Empowerment, Action and Perseverance (DEAP) is a community-based, Common Core-aligned state charter school committed to improving academic and cultural achievement opportunities for Native youth. In Navajo, New Mexico where DEAP is located, the area is rich with Native history, culture, land, and natural water sources. The mission of DEAP is to help students develop a sense of place, tradition, and wellbeing, preparing and empowering youth to take action in transforming their community and the world around them. DEAP offers equitable and culturally relevant learning environments and instructional material; maintenance of Din� (Navajo) language; and opportunities for engagement with the local community. DEAP provides a strong, Indigenous curricula designed to be culturally relevant for a 100% Navajo student body by drawing on the rich cultural and social resources in the community that are often absent from traditional schools. DEAP�s educational model rebuilds students� relationships with their culture and sovereign status, helping students reclaim pride in their history and community. For example, DEAP�s classroom climate includes coursework that is accompanied by experiential opportunities, such as 6th-9th grade students working through a traditional Kinaald� rite of passage ceremony, celebrating the transition from child to adult within the tribe. Students work together in planting a community garden with traditional seeds and plants. The Din� language is closely interwoven into academic and experiential activities. This promotes comprehensive, hands-on learning, encountering language�s role in describing traditional activities, and studying the etymology of language over time (such as the influence of Spanish and English). Student learning opportunities are connected to real life, their culture, and their community through service orientated projects. At a macro-level, this establishes a school culture and environment that embraces its Indigenous roots as well as the strengths that are abundant within the community.",457,NACA Inspired Schools Network
Nominator_2020-11_Education Resources Consortium_The Albuquerque Sign Language Academy,Education Resources Consortium,"Integrated classes, innovative approaches to serving deaf and hard-of-hearing students side by side with ""regular"" education students, teacher training program, multiple partnerships to enhance learning opportunities, planning for a new high school that will employ unique and innovative structures and practices beyond the industrial model.  ",458,Education Resources Consortium
Nominator_2022-11_Center on Reinventing Public Education_The Albuquerque Sign Language Academy,Center on Reinventing Public Education,This school is not only serving a unique student population but is a communication school rewriting the structures of education. The bilingual ASL-English environment is one of a kind and they've partnered with the university to train educators to fit their community needs. ,458,Center on Reinventing Public Education
Nominator_2020-11_New Hampshire Learning Initiative_Newport High School,New Hampshire Learning Initiative,What stands out for me is that they are in their 4th year of implementing a career related graduation requirement. ,459,Anonymous
Nominator_2020-11_New Hampshire Learning Initiative_Salem High School (NH),New Hampshire Learning Initiative,Their equitable approach to career opportunities for students. I am excited abotu their innovative work in ensuring that there are meaningful experiences with work prior to students graduating from Salem High School.,460,Anonymous
Nominator_2020-11_Montana Office of Public Instruction_Dixon School,Montana Office of Public Instruction,"This is a small, rural, PK-8 district near one of Montana's Indian Reservations.  Technology, community engagement, and smart use of data make this a highly effective school and a standout among Montana's rural schools.",461,Anonymous
Nominator_2020-11_Minnesota Learner-Centered Network_Spring Grove School,Minnesota Learner-Centered Network,"Spring Grove stands out form other schools because the adults in the system are committed to and sustaining their focus on true innovation, instead of only improving the industrial model of education.  The leaders within this small K-12 school are creating the conditions for the teacher leaders to develop the agency to flip a conventional system on its head to become a student-centered learning environment. They are redefining the roles for students, teachers and positional leadership.  Students are invited to the governing table of the school. Students are co-creating their learning experience with the adults. Students have a voice and are given opportunities to develop their agency in their own learning journey. This small rural school is a power house of innovation and a model for other 'traditional' school districts!!",462,Minnesota Learner-Centered Network
Nominator_2020-11_Minnesota Learner-Centered Network_Minnesota Center for Advanced Professional Studies,Minnesota Learner-Centered Network,"The MNCAPS choice extended to the 11th and 12th grade students, allows the learners to make authentic connections with mentors in a variety of professions. Students learn from seminars and 'teachers', as well as from experiences in the real world of the profession they are exploring. Students are involved in finding solutions to actual problems that come from real businesses and organizations they are connected to, through their mentor.  The skills they are learning are beyond the required state standards.  This setting increases the students' agency as a learner and provides many other skills, impacting their future.",463,Minnesota Learner-Centered Network
Nominator_2020-11_Minnesota Learner-Centered Network_Level Up Academy,Minnesota Learner-Centered Network,"Level Up Academy is a K-8 school in its seventh year of brillance!  The model of shared decision-making with all staff members has created a culture of collective innovation that can adapt and respond to the needs of each student.  The students and adults take care of each other, humanizing the process of learning. The environment of belonging and the strong relationships allow staff to utilize learning technology to deliver a competency-based approach to learning with a focus on individual growth and a human touch.",464,Minnesota Learner-Centered Network
Nominator_2020-11_Minnesota Learner-Centered Network_Paladin Career and Technical High School,Minnesota Learner-Centered Network,"Paladin's model serves their students holistically, providing much more than rigorous academics.  Needs of their students are met with counseling, clothing and food shelf, medical attention and housing. Paladin is a place where students find what they need in a respectful way and are welcomed with all of their identity. The academic choices include pathways such as; work-based learning, seminars, project-based learning and experiential learning. ",465,Minnesota Learner-Centered Network
Nominator_2020-11_Transcend_The Forest School,Transcend,"The Forest School is a micro-school that centers student agency and gives all learners opportunities to design their own learning journey. The school leverages hands-on ""quests"" in which students are at the center of their own Hero's Journey. They also utilize portfolios and exhibitions rather than grades, as well as mixed-age classrooms rather than industrial-style age-based cohorts.",466,Transcend
Nominator_2021-12_Mastery Transcript Consortium_The Forest School,Mastery Transcript Consortium,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.,466,Mastery Transcript Consortium
Nominator_2022-11_Mastery Transcript Consortium_The Forest School,Mastery Transcript Consortium,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.,466,Mastery Transcript Consortium
Nominator_2023-11_Mastery Transcript Consortium_The Forest School,Mastery Transcript Consortium,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,466,Mastery Transcript Consortium
Nominator_2020-11_Next Generation Learning Challenges_KM Global,Next Generation Learning Challenges,"KM Global has completely reimagined what ""school"" should be about. It is relentlessly focused on solving problems, such as the UN Global Challenges. The work that students do is self- or team-designed and organized and deeply authentic. It is ALL relevant and it fills its students with a sense of purpose that is plainly evident when you visit the school. This school has gone way beyond ""project-based."" The entire curriculum and entire student experience is an engaging, student-driven project. As an option among several district-authorized charter options for Kettle Moraine students, it is a great asset to the community and an inspiration to the other schools in the district -- and to plenty of educators outside the district as well. ",467,Next Generation Learning Challenges
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci Communications,Next Generation Learning Challenges,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation.",468,Next Generation Learning Challenges
Nominator_2023-11_Center on Reinventing Public Education_Da Vinci Communications,Center on Reinventing Public Education,"Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students.",468,Center on Reinventing Public Education
Nominator_2020-11_Moonshot EdVentures_Da Vinci Communications,Moonshot EdVentures,"Our fellows visited Da Vinci schools in person last year and virtually this year, and we're consistently impressed and inspired by the project based learning that is happening. We've interviewed and visited with students and staff via panels, and it is clear that people love to work there, want to work there long term, and that students have agency and choice in their education. Students engage in learning through exhibitions and projects that are rigorous and aligned to real world issues and problems.",468,Moonshot EdVentures
