"nominator","year","school_id","official_school_name","website","nominator_reason"
"Anonymous",2021,402,"i3 Academy","",NA
"Anonymous",2021,395,"Missisquoi Valley Union Middle and High School","","The leadership team at Missisquoi Valley Union (MVU) Middle and High School was able to hold two preliminary meetings and a train-the-trainer workshop focused on equity literacy with Paul Gorski. All members of the MVU Diversity, Equity and Inclusion Committee (DEI) Committee have a solid understanding of the principles and practices of equity literacy in education.  Educators from Swanton and Sheldon were intensively introduced to these principles and practices.  At MVU, several members of the DEI Committee feel fully prepared to plan and offer equity literacy professional learning to the staff. Additionally, an equity student survey was created, and feedback provided by the Equity Literacy Institute.  Educators secured funding to get the results of the survey professionally analyzed through an equity lens.   MVU has met the expectation of Proficiency-Based Learning with a thoughtful transition.  Early work was done 7 years ago to prioritize standards and create clear learning expectations, learning scales for common summative assessments, and school-wide habits of work.  Over the past 4 years, educators have implemented a more refined version of proficiency-based learning which includes a transition to proficiency-based grades, personalized course offerings, and robust and flexible â€˜keeping up and catching up' interventions.  As a highlight, the English Language Arts department has wholeheartedly embraced independent reading.  Students now meet their reading proficiencies by providing evidence from books that they choose.  Over the past 5 years, MVU has intentionally designed programming and interventions that prioritize students who struggle academically so that all students achieve at high levels.  Most recently, educators have invested in learning about the Equity Literacy model in order to ensure that they address the needs of historically marginalized students.  This work began with a Diversity, Equity and Inclusion Committee, which started as a group of committed and passionate teachers and has grown to impact and influence the broader school community and district.  The committee pursued grant funding to acquire training to become Equity Literacy trainers and bring the Equity Literacy model to the entire faculty. In the process, the high school committee formed partnerships with two local elementary schools and the Abenaki community. Though COVID has delayed training the rest of faculty in Equity Literacy, the DEI Committee has been busy at work to bring their Equity Literacy lens to the culture and operations of the school. Recent Work: â€¢	Facilitate and support a student DEI group. â€¢	Collaborate with the Pride Alliance and National Arts Honor Society to have students paint a rainbow crosswalk at the school entrance. â€¢	Provide resource guides to teachers to help students process racial unrest in April and the election in November. Current Work: â€¢	Reviewing the Social Awareness portion of the MVSD SEL Competency Guide to recommend strategies that are equity minded and promote equity. â€¢	Collaborating with students to have a Land Acknowledgement as part of the schoolwide routine. â€¢	Supporting students in their efforts to fly the Black Lives Matter flag at school. Work that is being planning: â€¢	Administering an Equity survey to students and then analyzing the data. â€¢	Begin Equity student focus groups. â€¢	Begin an Equity Competency framework.   As a result of the transition away from traditional grades to proficiency-based grades, educators are thinking about how we recognize and acknowledge students. They are working to expand measures of success. â€¢	MVSD has developed and is implementing PK-adult SEL competencies. Teachers are exploring and trying strategies now.  They are beginning to plan for how to communicate student progress on these skills to students and families. â€¢	In grades 9 and 10, MVU offers an Honors Credential instead of tracking students in homogenous groups.  Students are heterogeneously grouped but can opt into an Honors supplement, which runs as an addition to the core class.  The Honors Credential focuses on the content and work habits that students will need to be successful in college. â€¢	The ELA department also created two Senior level English courses to help prepare students for a variety of future choices. One class was a College Writing class, where students are taught how to be successful in their college courses. The other is Technical Reading and Writing, which is a course that focuses on reading and writing skills that are used in the workforce and at trade schools.   MVU has several course offerings that use a project-based learning approach. Humanities in Action is an option that students can take to demonstrate proficiency in ELA or Social Studies.  Students conduct a sustained inquiry, engage in problem solving, and share their findings with their peers and sometimes the greater community.  In the Agriculture program, students in the Animal Science strand identify an animal that they are interested in learning more about. Faculty then acquire that animal, usually on loan, to house in the barn at MVY so that the student can learn firsthand about the animal through observation and caring for it. Additionally, students at all grade levels participate in a robust STEM Fair.  Students conduct sustained, independent research projects that focus on the Science and Engineering Practices in the NGSS.  MVSD has developed the first set of Social and Emotional Learning competencies in the state of Vermont.  In a collaboration with CASEL, the SEL team developed a framework of skills, goals, and sub-goals, benchmarks, and strategies for PK through adults.  Teachers use these competencies to plan lessons that incorporate CASEL's 3 signature practices of Welcome Activities, Engaging Strategies, and Optimistic Closings.  MVU is in its 4th year of working with Think: Kids and using the Collaborative Problem-Solving approach with students.  Three staff are training to become certified Think: Kids trainers in order to grow the capacity to use Collaborative Problem Solving schoolwide."
"Vermont Agency of Education",2021,394,"Hazen Union High School","","Hazen Union High School continues to expand their course offerings and programs to ensure that all students are empowered with the knowledge and skills needed to achieve their full potential and become successful, responsible, and contributing members of society, both locally and globally. Hazen is committed to heterogenous grouping allowing students to choose an academic path best suited to their learning goals where each student selects a program reflecting their individual interests, abilities, and needs.  Hazen Union recently piloted a student-centered driven, student-designed, advanced manufacturing course and makerspace using student personalized learning plans (PLPs) as a tool for students to co-design and co-develop curriculum with teachers and community partners. This pilot expanded upon Hazen's well-established Work-Based Learning (WBL) Program and Independent Based Learning (IBL) Program. In response to COVID-19, Hazen Union and community partners leveraged the grant funded equipment to print face shields for Vermont doctors treating COVID-19 patients. The community partners worked with the students virtually throughout the process, providing opportunities to engage in design-thinking methods and skill attainment that could be applied across contexts. Upon completion of the pilot, the student cohort presented their curriculum, reflections, and deliverables to OSSU School Board members with recommendations to support the sustainability of this program. Students were empowered to demonstrate their competency in communication, advocacy, and action research in order to maintain this student-centered program for their peers. The success of this program conveys the importance of education and community partnerships and the positive impact student voice has within the school system and the community at large. This year, the program has tripled in size with the support of community partnerships. This unique learning model allows students to develop competency across content areas, technical skills, and transferable skills. Even throughout the pandemic Hazen Union continues to provide students the agency to personalize their learning inclusive of the instructional dispositions and learning models available within their WBL and IBL Programs."
"MiCoOp",2021,478,"West Michigan Virtual Academy","","Not many virtual schools offer a drop-in center for middle school students. West Michigan Virtual Academy (WMVA) serves middle and high school students, grades 6-12. When the school first opened, neighboring districts did not want the school there, but are now sending students to WMVA who need a more personalized approach that they cannot offer. Probation officers and juvenile homes also refer youth to their school. Now in their 11th year, WMVA is averaging 50 graduates a year. Based on graduate surveys, the school has found that 53% felt strongly they would probably not have graduated if they attended a traditional high school, but after attending WMVA, 80% had a plan for what they wanted to accomplish after graduation.  WMVA was the first virtual school in the state to hire a full-time social worker. The social worker helps students, many of them at-risk, manage life skills as well as their academic success. Their students suffer from social or school anxiety, panic attacks, abuse (emotional, physical or sexual), bullying (both virtual and physical), LGBTQ issues, and depression. The school also serves students with oppositional defiance disorders, obsessive-compulsive disorders, Tourettes, and others that may make it challenging to attend a traditional school. Through the work of the social worker, WMVA is able to assist students in reducing or removing barriers so they can successfully complete their education. To accomplish this, the social worker works with teachers to provide training around student' social and emotional needs. Staff is also going through anti-racism training. Even though they are a virtual school, WMVA provides food for the students that come to the drop-in center through a partnership with the Southwest Michigan Food Bank.  Their drop-in center is located at the city's recreation center so WMVA has the ability to offer their virtual lifetime fitness classes with an in-person component. They also offer optional career field trips and guest speakers for all 300 students. Before COVID, the drop-in lab would regularly see 30-40 students who came in for assistance, many of them showing up multiple times a week. WMVA also has partnerships with the local career tech center and three local colleges where students can earn career skills and/or college credits."
"MiCoOp",2021,475,"Link Learning","","There are many reasons I am excited to nominate Link Learning, but the main reasons are their partnerships with schools around the state and how they use their data to improve student learning. Link Learning partners with brick and mortar schools that have exhausted their options for students who need a personalized learning plan and individual support. While most of these students are at-risk, Link Learning also serves the non-traditional learner like homeschoolers, professional high school athletes, students with unique medical conditions, youth in the justice system, and early parents. Students take just one or two courses at a time. Even though Link Learning is a virtual school, they have learning centers around the state for students to come and learn in a welcoming, supportive environment. Their partnership with the brick and mortar schools also allow their students to take seated courses.   Link Learning uses a tool to manage student engagement and progress. The program was developed in partnership with a software development company and their district, including virtual teachers. It automatically collects data from their LMS and records their staff interactions to get a whole-child view of each student. Within this system, they have the ability to see where a student falls in MTSS so they can intervene more quickly. The data is reviewed daily by teachers, weekly by learning center directors, and monthly by the quality assurance team (who support staff professional learning). Their data shows that the more intentional the teacher-student conversations, the more students are engaged, and the greater their academic achievement. These intentional conversations focus on helping students understand their role in learning, making a plan to fit education into their lives, and reflecting on their progress.   There is also a heavy focus on social-emotional learning. The school has staff specifically assigned to EL students, 13 special education staff, and social workers who work with students and staff. Relationships are built between students, staff, and parents to develop a community where they all feel they belong. Professional learning for staff includes shifting mindsets. First, they must understand that getting at-risk students to enroll is a success in itself. Once enrolled, they need to create connections and relationships so they are taught how to talk and relate to students. After relationships are built and students start engaging, they can focus conversations on learning such as time on task, number of days in class, and what they did when they were successful. The staff also works with students to help them self-regulate with the goal for them to become effective members of society."
"KnowledgeWorks",2021,251,"City of Bridges High School","","It's a true student-centered approach to PBL with students working to solve real-world issues, direct participation by students in governance alongside a focus on justice and mindfulness make this school very unique!"
"Anonymous",2021,391,"Bellows Free Academy","","Franklin West Supervisory Union (FWSU) has identified four target areas for continuous school improvement and student growth: student-centered, proficiency-based, personalized learning; flexible learning environments; student leadership; and engaged community partners. Along with all other schools in Vermont in compliance with Act 77, FWSU is also moving forward with a proficiency-based curriculum model that emphasizes essential academic concepts, content, and skills, including Transferable Skills, to help ensure our students are college and career-ready.â€¯ â€¯   The connections among the national standards, local curriculum, and classroom instruction and assessment play a critical role in an integrated design of engaging and relevant learning opportunities for students. Educators believe an integrated approach is the â€œbest fit'' for meeting targets. Project-based learning (PjBL) is one strategy used for integrating content. Although there are currently PjBL â€œislands of excellenceâ€ in science and world language, implementing this approach holds the potential for growth in the future.   Proficiency-driven opportunities highlight learning thatâ€¯isâ€¯personalized and learning environments that are flexible. FWSU's goal is to ensure that their students receive a â€œfuture-ready, world-class educationâ€ and graduate with the knowledge and skills to successfully pursue their goals.    Bellows Free Academy (BFA), the supervisory union high school, has been leading this work and providing guidance for the elementary schools. Outcome proficiencies cut across all four years of high schools with performance indicators being used to determine proficiency. Educators are refining common assessments and provide different pathways for students to achieve expected outcomes. The principal of BFA is a master at developing a schedule with blocks of varying amounts of time to create a learning environment that is responsive to the needs of learners. There is a comprehensive approach to supporting students. Educators know their students deeply and create a culture that is connected and authentic.   Performance assessments in grades eight and ten prepare students for a capstone project in twelfth grade. There are also pathways to distinction that are available which are personalized according to a student's interest. This opportunity â€œignites a fireâ€ for some students.  BFA administrators and staff have been engaged in learning and having conversations about equity for several years. Last spring, while on dismissal, racial justice became a  part of their student's world. School had ended for the summer, but leadership knew they couldn't wait for the fall to connect with students about this important issue. A group of teachers decided to put out an open invitation to have a discussion about what was going on in the world and how to move forward together. Around a dozen students joined the first zoom session. They asked questions about the return to school and other topics before the conversation shifted to equity and racial justice in their school. At first, the teachers facilitated the conversation, but somewhere in the middle of the summer, the students took over the agenda and the conversation. Their goal was to provide opportunities for the student body to join the conversation about racial justice in their school and in the world, and ultimately improve the culture of BFA. Thus, the Fairfax Racial Justice  Alliance (RJA) began. Since the start of the school year, students have been exposed to the four agreements and the compass from Courageous Conversations. They have had discussions about equity using case studies that explore socio-economic, cultural and racial bias, and equity. Work in advisory complements the goals of the BFA Fairfax  RJA.   Additionally, an early warning system approach is in place to examine if certain students are being marginalized. Educators recognize the importance of confronting evidence about which students are historically privileged, and which are not. This process is strengthening practices to support all learners. Both the student and the system levels are being analyzed to determine where inequities exist and how to implement change.     To learn more about BFA, please click on the links below â€¢	Exhibitions: https://sites.google.com/fwsu.org/bfafairfaxadvisory/home â€¢	Flexible Pathways Program: https://bfapathways.weebly.com/ â€¢	Proficiency-Based Learning and Assessment Guide:   https://sites.google.com/fwsu.org/bfa-fairfax-proficiency-guide"
"ExcelinEd",2021,396,"Quest Academy","","Nicki has belt an exceptional school culture focused on student-centered learning and excellence."
"The Mind Trust",2021,443,"Rooted School Indianapolis","","Rooted School Indianapolis is a high school in Indianapolis with the mission to provide their students with personal pathways to financial freedom. Located in a high-poverty neighborhood, Rooted was founded to intentionally bring technology skills, exposure, and career opportunities to students who may not have had the opportunity to pursue those things.   Students engage in industry-focused project-based learning experiences designed by Rooted's teachers and industry partners. Projects are designed around specific community problems that students work to solve. Rooted recently formed a partnership with InnoPower, the Indianapolis Recorder (Indianapolis' historically Black newspaper) and Eleven Fifty Academy to improve exposure to careers in tech, and create a clear roadmap for Rooted students to pursue those careers.   Starting as early as 9th grade, Rooted students get hands-on experience with skills like coding, web design, pitching, project management, and more with projects that focus on solving problems they see or face in their own lives. Rooted is also building local partnerships to create internship opportunities for students."
"Educate Maine",2021,382,"Next STEP High","https://docs.google.com/document/d/1zD50NkoSu3Co-_qKchkZfIKg6uhhZ6Gn9rLwkT7gr9o/edit","Their intense focus on relationships along with TRUE community-integrated learning stands out compared to any other program I've witnessed. Students have been a part of co-designing the school from the start and learn/earn credits through real-world projects with local businesses and organizations. The curriculum is adaptive to students needs and the staff put relationships front and center to make sure students feel invested in, cared for, and motivated to succeed."
"Vermont Learning for the Future",2021,472,"Burlington City & Lake Semester","","This program was created to actively engage students in understanding and improving the quality of life for all within the greater Burlington area. Students were partners in the design and implementation of the program, and continue to shape the evolution of the model. Many schools-within-schools intend to serve as innovation hubs for the greater school district; BCL is making good on that promise."
"Aurora Institute",2021,408,"Learn4Life Inglewood - Alta Vista Innovation High","","Strong competency-based school serving a nontraditional population. ** Please note that Jessica Sherlock is not the principal, she's the network's Director of Center Quality who co-led my visit. I didn't meet the principal and the principal's name is not listed on Alta Vista's website."
"Minnesota Learner-Centered Network",2021,462,"Spring Grove School","","Spring Grove stands out form other schools because the adults in the system are committed to and sustaining their focus on true innovation, instead of only improving the industrial model of education.  The leaders within this small K-12 school are creating the conditions for the teacher leaders to develop the agency to flip a conventional system on its head to become a student-centered learning environment. They are redefining the roles for students, teachers and positional leadership.  Students are invited to the governing table of the school. Students are co-creating their learning experience with the adults. Students have a voice and are given opportunities to develop their agency in their own learning journey. This small rural school is a power house of innovation and a model for other 'traditional' school districts!!"
"Transcend",2021,466,"The Forest School","","The Forest School is a micro-school that centers student agency and gives all learners opportunities to design their own learning journey. The school leverages hands-on """"quests"""" in which students are at the center of their own Hero's Journey. They also utilize portfolios and exhibitions rather than grades, as well as mixed-age classrooms rather than industrial-style age-based cohorts."
"Anonymous",2021,417,"Grant Beacon Middle School","http://beaconnetworkschools.org/gbms/","Grant Beacon has a focus on personalized learning, the model and school culture can be felt when walking through the halls, and they are getting great results for kids."
"Anonymous",2021,447,"Mālama Honua Public Charter School","†","Culturally Relevant Assessment Community and Hawaiian focus """"Our founders, Nainoa Thompson and Robert Witt envisioned a school whose mission was to create leaders who embodied the attributes of The Mind of the Navigator and the values of the World Wide Voyage. Developing of the Mind of the Navigator will be achieved through place based, project based authentic learning experiences. Guided by our Core Values and keeping students at the core of our decision-making, we strive to develop learners who can set, plot, and successfully navigate the many voyages they will have in life while being grounded and confident in their cultural identity. We want our learners to persevere and know that if they take a wrong turn, they can right their waÊ»a and accomplish what they set out to do. We prioritize Ê»ohana and community involvement and strive to create a school where as a â€œvillageâ€ we lead, learn and act with compassion, continuously educating our selves while facilitating the education of our keiki.""""   - from their website"
"A Revolution in Education",2021,430,"Building 21 Philadelphia","†","They are ultra-focused on the well-being and agency of their youth, many of which are growing up in very challenging circumstances.  Focused on: - relationships - restorative practices - personalized learning pathways - project-based learning, and - growth mindset In the context of problem-based learning and real-world experiences wrapped around a competency-based learning and assessment system."
"Future Focused Education",2021,281,"Health Leadership High School","http://healthleadershiphighschool.org","Health Leadership High School is a member of the Leadership Schools Network, a network of choice with a common three-pillar design framework and a shared mission to """"transform lives and communities through innovative education."""" Many of the school's students were marginalized or pushed out by traditional schools. The three-pillar model equally emphasizes learning by doing, 360-degree student support, and industry/community engagement. The school was launched in partnership with healthcare employers. Students work on projects and participate in internships with direct relevance to issues being tackled by industry partners, promoting a new vision for school and students as change agents making their community better."
"Mastery Transcript Consortium",2022,7,"American Academy Of Innovation","http://www.aaiutah.org","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Colorado Education Initiative",2022,26,"Canon City High School","http://www.canoncityschools.org","Canon City High School offers the most compelling set of coherent, aligned career connected learning experiences to the students it serves that I have ever seen. Starting with robust career pathways which are core-curriculum aligned, to the comprehensive career and technical education program which results in 100s of industry certifications, to the P-TECH program, where students graduate with both a high school and associates degree, to the internship program, in which every student participates, to the """"Capstone for All"""" graduation requirement - where every student demonstrates competence in the Canon City """"Skills and Traits"""" graduate profile.  There is even a """"school within a school"""" Open Pathway for students who don't connect with the offered career pathways. This is the most complete, most equitable, and more authentic district school experience I know of."
"Mastery Transcript Consortium",2022,84,"Gibson Ek High School","https://gibsonek.isd411.org/","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Clayton Christensen Institute",2022,122,"Map Academy Charter School","http://themapacademy.org","Map Academy has developed a flexible learning environment that re-engages at-risk students and puts them on a trajectory to success."
"Great Schools Partnership",2022,140,"Noble High School","https://www.nhs.rsu60.org/","Noble has tightly interwoven proficiency-based learning, student agency, and equity into their learning program.  The school has developed myriad ways to support student learning that ensures equitable outcomes and student choice."
"Transcend",2022,189,"Social Justice Humanitas Academy","www.sjhumanitas.org","98% students of color. Peer to peer mentorships. Culturally responsive curriculum and instruction. Partnership with EduCare to prepare 9th graders for high school, intentional and explicit identity development, student and parent voice in everyday school operations."
"GreatSchools",2022,204,"The Metropolitan Regional Career And Technical Center","themethighschool.org","The MET provides students with the opportunity to direct their own learning through internships."
"The Learning Accelerator",2022,204,"The Metropolitan Regional Career And Technical Center","themethighschool.org","Every student has an individualized learning plan built around that child’s needs and interests. The school includes internships, ILPs, advisory, and a breakthrough college transition program. Part of Big Picture Learning."
"Center on Reinventing Public Education",2022,209,"Two Rivers Public Charter School: 4Th Street Campus","http://www.tworiverspcs.org","Two Rivers PCS is a notable example of project-based learning, personalization, deeper learning, and innovative assessment."
"GreatSchools",2022,276,"Grand Rapids Public Museum School","https://www.grps.org/museum-high","Reimagining the instructional core"
"Mastery Transcript Consortium",2022,466,"The Forest Schools","www.theforest.school","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Fielding International",2022,493,"Exploration High School","https://www.explorationhighschool.org/","What most stands out is how the learning environment is designed to adapt to the unique needs, gifts, interests, and life experiences of the students. This starts by prioritizing relationships and student wellbeing, and using more flexible structures including time and space that cultivates agility within the learning environment."
"Fielding International",2022,493,"Exploration High School","https://www.explorationhighschool.org/","What stands out is how the entire learning ecosystem is designed to adapt to the unique needs, gifts, and life experiences of the students. That, paired with an ongoing commitment to marry student voice with community difference making, and the environment becomes a place centered on deep relationships, well-being, and purpose-driven learning experiences."
"Clayton Christensen Institute",2022,499,"Village High School","https://village.asd20.org/","Village Academy has developed a flexible learning environment that adapts to students' needs and interests and empowers them to pursue their interests and passions."
"The Learning Accelerator",2022,499,"Village High School","https://village.asd20.org/","The school provides a flexible schedule for students involved in athletics, music, theater, or other community activities. Students learn through individualized competency-based curriculum, engage in collaborative problem solving activities, and conduct personal inquiry investigations. All upperclassmen have the opportunity to participate in community-based career exploration and internship experiences. Each grade level has a small number of students. This small learning environment allows the school to build deep relationships with students and to further personalize the learning experience."
"Mastery Transcript Consortium",2022,501,"Launch High","http://launch.ironk12.org","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Mastery Transcript Consortium",2022,502,"Liberty Academy","http://la.liberty.k12.mo.us","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Transcend",2022,505,"Brooklyn Free School","www.brooklynfreeschool.org","Brooklyn Free School’s mission is education for social justice. Always advocating for young people’s voices to be heard, BFS engages students and staff in democratic decision-making and problem solving. They honor student choice and facilitate student-centered learning through play and exploration, constructivist teaching, collaborative course work and self-directed student initiatives. They support social and emotional development through conflict mediation, personal reflection, diversity awareness and community responsibility."
"Transcend",2022,506,"Red Bridge","www.redbridgesf.org","Red Bridge's mission is to develop a sense of agency in every child as the foundation for academic and life success. Their definition of agency is the following: the ability to set meaningful goals and have the will and skill to achieve them. At Red Bridge, the learning environment is intentionally designed to grow a set of habits/transferable skills that equip learners to enact their agency now and in the future. These skills set learners up for lifeline learning and include work habits, character habits, communication and computational habits, and more. 

Red Bridge has developed an agentic curriculum as well as processes, routines, and structures to support agency development. At Red Bridge, learners set meaningful goals regularly with support, engage in deliberate skill building on habit formation, reflect on their progress with a learning guide, and participate in choice-fulled, student-led learning experiences. "
"Transcend",2022,512,"Long-View Micro School","www.long-view.com","Long-View Micro School was developed with a very intentional emphasis on school culture--one that would support a love for lifeline learning, building knowledge socially, and learning through inquiry and argument. Long-View is designed so that all learners engage in practices authentic to the academic disciplines they study. With a focused academic footprint, parents and learners have the opportunity to customize their education. Rather than restrictive grade bands, Long-View students learn in mixed-age groups, called Bands. These multi-aged cohorts promote stronger learning as well as ensures all learners are stretching toward the highest expectations.

Their approach to math is incredibly innovative. Their math block is a rich, dimensional experience. There are multiple goals at play at any one time and the math content isn't explored in a strict, linear trajectory. Here, learners engage in active discourse around math concepts, evolving their understanding though discussion, making critical observations of their peers' work, and more. "
"Transcend",2022,515,"St. Paul School Of Northern Lights","http://www.schoolofnorthernlights.org","St. Paul School of Northern Lights is a Reggio-Emilia inspired school that is intentionally designed around the following guiding principles: progressive learning, diversity and equity, relationship-based education, advocacy, and urban ecosystem exploration. Here, learning is active and student-centered. Learners lead project-based learning activities and engage in rigorous work that integrates multiple subjects (e.g., science, math, history, language arts). The student, the teacher, and the environment are seen as the three teachers in every classroom. Flexible classroom space allows learners to explore topics individually or with others. Outdoor spaces as well as the community itself are seen as """"campus"""" where learning takes place."
"Open Way Learning",2022,518,"Richland Two Institute of Innovation","www.R2i2.org","R2I2 is setting the gold standard for how students can work directly with businesses and community organizations to not only apply academic skills they are learning as part of their high school experience, but to do so in a deeply learner-centered environment that enables them to develop success skills such as collaboration, creative problem solving, design thinking, and entrepreneurship that they will use for a lifetime. Such opportunities are available to all students in the Richland 2 district, with a particular emphasis on equity."
"Colorado Education Initiative",2022,520,"Penrose Elementary School","https://pes.re-2.org/","School-wide focus on design thinking protocols to help students - as young as kindergarten - develop their skills and competencies aligned with the district's graduate profile. Students own their own learning and practice the being problem solvers, critical thinkers, and leaders. They endeavor to be innovative, creative, and strong communicators while solving their design challenges, and learn to be determined, resilient, and goal-oriented."
"Colorado Education Initiative",2022,521,"Middle Park High School","http://mphs.egsd.org","As part of the Homegrown Talent Initiative, Middle Park HS has worked over the past several years to build out a career-connected learning platform for each and every student they serve. MPHS now offers expanded and enhanced CTE, certifications, and concurrent enrollment experiences for their students in addition to a robust community-based internship program. They even purchased a food truck to serve as a lab for culinary, business, marketing, and their arts program, serving both general education and exceptional students."
"Colorado Education Initiative",2022,522,"Yampa Valley High School","http://yampavalleyhighschool.org","Yampa Valley High School has redesigned their approaches to student-centered learning with a focus on helping students discover their individual strengths and identities and to develop their unique paths to a successful future. The do this by nurturing a culture of personal growth, collaboration, and acceptance through meaningful relationships and learning experiences to promote academic and personal success. They focus on meeting each and every student where they are at, and on building a community that promotes acquisition of the competencies outlined in their graduate profile."
"Bluum",2022,523,"Elevate Academy","www.elevate2c.org","Elevate Academy schools are impacting at-risk youth through an innovative Career Tech Education model that is deeply integrated with the local business community."
"Clayton Christensen Institute",2022,526,"Crossroads Flex","http://www.wcpss.net/crossroadsflexhs","Crossroads FLEX serves students whose outside interests and activities such as the arts, sports, and entrepreneurship."
"Clayton Christensen Institute",2022,527,"Springs Studio For Academic Excellence","http://www.d49.org/springsstudio","Springs Studio provides a flexible, blended learning program that adapts to students' needs and interests."
"Center for Black Educator Development",2022,528,"KIPP Philadelphia Preparatory Academy","0","Isaiah and his team have taken a """"team and family"""" approach to turning around one of the lowest performing schools in the city, and have transformed it into a high performing and affirming space. They also have upwards of 20 black men in a variety of leadership and instructional capacities through out the building which is an anomaly in and of itself. Their students are 30+% with IEPs, yet still do exceptionally well with testing and academic rigor. They are a north star example of what urban charter/public education can AND should look like."
"Mastery Transcript Consortium",2022,532,"Cabot School","http://www.cabotschool.org/","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"MiCoOp",2022,535,"CLK Engage At CLK Elementary School","http://www.clkschools.org","CLK Elementary School began CLK Engage beginning the 2021-22 school year. This microschool is an opt-in option for parents with students in grades 1-3. They plan to add grades 4 and 5 next school year. There are currently three teachers and 60 students in the microschool. After a 10-15 minute morning meeting where all gather, students go to their homeroom. Students move during the day based on assessment data in reading and math. For example, a """"first-grade"""" student performing above grade level in reading will attend the """"second-grade"""" teacher's reading class while a """"third-grader"""" needing more time to develop foundational math skills will attend a """"second-grade"""" math class. Students move along the scope and sequence continuum in these subjects without being held back or forced to move forward because of their traditional grade level. 

All students receive whole group and small group instruction from their teachers. Instruction in core subjects other than reading and math is received from their homeroom teacher and students still participate in elective courses like physical education and art. While technology is used in the classroom as a resource and for supplementary activities, students spend most of their time physically with their teachers. Place-based learning opportunities are embedded into the CLK Engage program through local field trips and “Fun Friday” activities. 

While the demographics for most of the students are similar, every student is on a different learning journey. CLK Engage is addressing the individual learning paths for all students, helping them to reach their highest potential."
"Mastery Transcript Consortium",2022,537,"Northern Cass High School","http://www.northerncassschool.org","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Mastery Transcript Consortium",2022,539,"Enosburg Falls Junior/Senior High School","http://www.ehornets.org/","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Mastery Transcript Consortium",2022,540,"The Delta School","www.thedeltaschool.org","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"Mastery Transcript Consortium",2022,541,"Clark Street Community School","https://www.mcpasd.k12.wi.us/o/clark-street","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"UP for Learning",2022,543,"Milton Senior High School","http://www.mtsd-vt.org/mhs/","The vision of the Innovation Center is to provide personalized pathways for youth to pursue.  The Innovation Center at Milton High School will be have an integrated curricular focus with the core being exploration of career pathways, STEAM and transferrable skills."
"Mastery Transcript Consortium",2022,545,"Acton Academy Venice Beach","www.actonvenice.org","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
"A for Arizona",2022,549,"Phoenix Modern","https://phoenixmodern.org/","Phoenix Modern exists for children to explore, create, and prepare for a life of possibility. It is flexible and student-driven model with lots of creative adaptable spaces for exploration, enrichment, project time, and collaboration. Gone are the days of traditional hallways! They operate as a true community of learners with a core value of wonder and creative physical spaces for playful inquiry. They have a nonlinear learning continuum and guide students to embrace deep practice and productive struggle. Phoenix Modern has strong partnerships with community-based organizations to bring learning to life and students outside the traditional classroom to explore and engage with their community."
"A for Arizona",2022,559,"Holladay Intermediate Magnet School","http://www.tusd1.org/holladay","Holiday Fine Arts Magnet is reimagining where, when and how learning takes place by partnering with local churches and faith leaders in the community to address reading deficits with their learners. The majority of Holladay's Latino and African American youth attend church or places of worship so collaborative partnerships with churches and faith leaders gives families direct access to safe and support learning environments and relationships that children and families of color trust. This innovative collaboration creates new reading hubs in partnership with local church and faith leaders to better collectively tackle reading deficits through one-on-one and small group tutoring and reading intervention experiences ensuring learning happens both at school and at partner local churches and places of worship. Holladay's approach honors parents as """"first"""" teachers, brings in the community, and creates wrap-around services and support for learners with the greatest academic needs as a result of COVID-19. This collaboration will create a collective circle of support focused on facilitating a shared commitment to academic success, bringing together school staff, families, learners, and faith communities as partners. The Holiday team has unskilled church volunteers on best reading approaches and how to monitor students' growth. Phase One includes reading hubs at five local churches with the intent of expanding to 15 other churches and places of worship of diverse denominations who have shown interest in participating, recognizing learners are all better if we work together. Holiday aims to facilitate a shared and inclusive commitment to academic success among learners, families, and local faith leaders."
