nominator,school_id,school_name_n,school_city_n,school_state_n,school_district_n,school_within_school_n,school_structure_n,nominator_reason,strong_covid19_approach,why_covid19_approach,know_school,suggested_tags_n,nomination_date,expanded_success,pbl,competency_education,design_equity,anti_racist_action,sel,blended_learning,school_participated,NCES_id
Anonymous,325,Nuvu Studio,Cambridge,MASSACHUSETTS,Unsure,Not sure,,"NuVu High School takes forward our innovative curriculum and creates a pathway for students whose needs can be better served in a hands-on environment with global connections. The high school program expands on NuVu's rigorous studio-based curriculum, and builds on partnerships with companies, non-profits, academic institutions, and researchers situated in the innovation hub of Boston-Cambridge. The is also a NUVU virtual school, claiming to be the first virtual studio-based school in the world for students ages 13-18 years.",Not sure,,Have visited this school,Design thinking fully immersive studio-based school place based real world problems art and design focus,September 2020,1,1,0,0,0,0,1,1,
Big Picture Learning,326,Odyssey STEM Academy,Lakewood,CA,Paramount Unified School District,No,,"At Odyssey, young people are embedded in a flexible learning environment where community, curiosity, and creativity are unrestricted. They can imagine, design, and pursue learning pathways that are unique to their individual passions and engage in deeply personal learning experiences every day. Young learners (and their families) own the learning process.  From day one, families are enrolled through an intentional onboarding program. Family members explore and communicate their hopes and dreams for their kids, and the role they hope to play in seeing those dreams fulfilled. Young learners build a flexible learner profile that reveals their interests, aspirations, and challenges. With input from the whole family, a blueprint is created for connecting young learners with personalized, relevant, and contextualized opportunities.  In practice, this blueprint might land a young learner out in the community at a local food bank where socially embedded learning through conversations with staff, volunteers, and patrons is abundant. Within this open-walled experience, the young learner is deeply engaged in social, nutritional, and philanthropic studiesâ€”where the high-level, competency-based outcomes they develop carry over to whatever sparks the young learner's curiosity next.  Starting with general interests and passions rather than specific careers (or content standards) allows Odyssey learners (and their advisors) to gain exposure to once unknown possibilities. As they build their knowledge, skills, and dispositions within this learner-centered framework, they continuously develop a strong sense of learner agencyâ€”embracing their innate independence and leadership to explore what the world has to offer and how they can contribute to their community.  Learning at Odyssey meets every young learner where they are, which organically leads to a one-of-a-kind â€œrecipeâ€ of learning that is dynamic and palatable. All of this has been possible since their first year of operation, thanks to the unique combination of ingredients Odyssey leaders know makes for authentic and rich learning. By piloting and iterating on the flyâ€”knowing growth only comes from actionâ€”the adults and young people in this Los Angeles-based learning environment are showcasing how transformational learner-centered learning can truly be.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,0,062985014236
Anonymous,326,Odyssey STEM Academy,Lakewood,CALIFORNIA,Paramount Unified School District,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Not sure,,Connected with Keith Nuthall,learner-centered education,September 2020,0,1,1,1,0,1,1,0,062985014236
The Learning Accelerator,327,Olympic Hills Elementary,Seattle,WASHINGTON,Seattle Public Schools,No,,"Diverse, innovative, and joyful!",Yes,"They kicked off strong instructional practices one week after schools closed (including small group instruction, purposely asychronous and synchronous instruction, 1:1 tutoring and support (for all students and specifically those with IEPs), community outreach (lunch and family support options), and community drives - Libby mentioned much more but I wasn't able to collect all of it :)",My child attends,,September 2020,1,0,1,1,1,1,1,1,530771001228
Anonymous,328,Open School East,Portland,OREGON,School run by Open School 501c3; part of Portland Public Schools,No,,"Open School is founded with equity, and in particular racial equity at the center of its model. Open Meadow, it's predecessor was the first alternative school in Portland, OR and Open School has deeply listened to and adapted its model from listening to community to deeply center learner agency, identity development, and connection to community. Students work in advocate groups (student:teacher ratio 9:1), they focus on 4 Rs (relationship, rigor, realness, and relevance) drawn from Courageous Conversations work and full model embeds deep parent and family engagement (home visits,  family partnerships)",Not sure,,I worked for the Step Up program run by the Open School organization from 2010-2014 and have continued to follow the school's work.,"antiracism, cultural competency, relationship based",September 2020,1,0,0,1,1,1,1,0,
The Learning Accelerator,329,Opportunities Academy,New Orleans,LOUISIANA,Opportunities Academy,No,,Opportunities academy provides college-aged students who have intellectual and developmental disabilities the skills and knowledge they need to succeed long term in work and life. The school provides students skills like how to get and keep a job; create a support system with local agencies; create lasting relationships; grocery shop; access public transportation; and more!,Not sure,,Prior employee,"life skills, career preparation",September 2020,1,0,0,1,0,0,0,1,220030902475
Anonymous,330,Ottawa High School,Ottawa,KANSAS,USD 290 Ottawa,No,,"Ottawa High School is in the Kansas State Department of Education's School Redesign cohort.  They are beginning their fourth year as a Gemini I school.  Ottawa HS's CTE programs are exemplary.  Ottawa HS students have many different options when it comes to career exploration and preparation.  The school has tremendously strong relationships between community organizations, businesses, and a satellite campus for a community college.  These relationship result in high-level work-based and project-based learning opportunities.  Ottawa HS focuses heavily on social-emotional learning with an advisory program and a flexible schedule.  I'm excited about their vision of every Ottawa HS graduate also graduating with an associate's degree, taken in a program where students don't have to pay for college courses.",Yes,"Ottawa HS has had a very thorough, collaborative approach to planning for the student learning experience during the pandemic. Their district leadership puts a premium on collaboration and communication. The information Ottawa schools shared during the spring 2020 semester and now as we prepare for the fall 2020 semester, is exemplary in terms of clarity and tools for families to use to gather information. Ottawa HS's ability to adapt to any challenge while keeping their focus on what they value and what they want to see in terms of student outcomes is a cultural trait they have curated over time and will serve them well now and in the future.",I've been their School Redesign coach for the last 3 years.,,September 2020,1,1,1,1,0,1,1,1,200001500463
CAST,331,P.K. Yonge,Gainesville,FLORIDA,P.K. Yonge is affiliated with the College of Education at the University of Florida,Not sure,,"The mission of P.K. Yonge Developmental Research School, since its establishment in 1934, has been to design, test, and disseminate innovations in K-12 education through serving a diverse student community.",Not sure,,Strong network connection to Jon Mundorf who works at the school and presents frequently at education conferences about the innovations at P.K. Yonge,"UDL, MTSS, Non-traditional learning spaces",September 2020,1,0,0,1,1,1,0,1,120201502912
Anonymous,332,Pathways High,Milwaukee,WISCONSIN,Pathways High,No,,"Real World Learning Model comprised of mutually reinforcing components: Interdisciplinary Seminars, Foundational Skills, and IMPACT Experiences with industry/community partners which foster student' development as whole people. Socio-emotional, physical, academic, and 21st Century, EMPOWER, skill development is accomplished in a real world context.",Not sure,,A colleague visited them,,September 2020,1,1,0,0,0,1,0,1,550007903064
Anonymous,333,Paulo Freire Freedom School -Downtown,Tucson,ARIZONA,CITY Center for Collaborative Learning,No,,"PFFSD is an intentionally small school committed to the transforming the lives of students through project-based learning, an advisory program,  competency-based assessments, student demonstrations of learning, placed-based learning, social-emotional learning, and a social justice lens.  Students and families are known well, there are many opportunities for parent engagement, and community partnerships create additional hands-on learning opportunities.",Yes,"Powerful relationship building, social emotional skill building, engaging lessons- including collaborative project-based learning opportunities, a robust elective program, and small group advisory meetings.",PFFSD is a member of CITY Center's LEA,Advisory program,September 2020,1,1,1,1,1,1,1,1,040040703448
Anonymous,334,Paulo Freire Freedom School -University,Tucson,ARIZONA,CITY Center for Collaborative Learning,No,,"PFFSU is a fully inclusive school with a focus on competency-based assessments, project-based learning, social justice, place-based education, hands on and experiential learning- including weekly field trips into the community, a strong social-emotional learning program rooted in small advisories, student demonstrations of learning, and rigorous curriculum that is meaningful and authentic.",Yes,"strong relationship building, weekly opportunities for student and parent feedback, social-emotional skill building, small advisory meetings for interpersonal connections, engaging and collaborative academics, many layers of student and family supports, and a robust elective program.",PFFSU is a member of CITY Center's LEA,"advisory program, fully inclusive",September 2020,1,1,1,1,1,1,1,1,040040702558
Anonymous,335,Pequea Valley High School,Kinzers,PENNSYLVANIA,Pequea Valley School District,No,,They do an interesting combination of agricultural science and STEM; they also have a pilot CORE program that is hands-on maker learning for those students most likely to drop out; they are building an internship program that intentionally creates equitable access to social capital.,Not sure,,One of my colleagues visited them,,September 2020,0,0,0,1,0,0,0,0,421890002649
Duquesne University School of Education,336,Pittsburgh Colfax K-8,Pittsburgh,PENNSYLVANIA,Pittsburgh Public Schools,No,,"Pittsburgh Colfax K-8 is a neighborhood school that represents one of the most diverse school spaces in our region. Over the last three years that I've gotten to know more about this school and the great experience that they provide for their students, it has become clear that the way that their school approaches student-centered learning is one that should be an example for the region. Pittsburgh Colfax reflects a commitment to student diversity, whether that be due to race, ethnicity, ability, gender, gender expression, English language proficiency, or other social identities. They have provided a pathway for students to access the curriculum that reflects cutting-edge approaches to responding to learner variability.",Yes,"This school strived to maintain a connection to students and families, which is difficult as a part of our region's largest district. Teachers at this school worked with families to assess their availability of technology for connecting to learning, provided unique videos to keep the learning going as the infrastructure was being placed for whole-district learning, and maintained their commitment to inclusive education in the virtual environment.",Relationships with educators at the school.,culturally relevant pedagogy,September 2020,1,0,0,1,0,1,0,0,421917006022
National Center for Learning Disabilities,337,Positive Outcome Charter School,Camden,DELAWARE,Big Picture Learning,No,,"They serve really struggling students with a very innovative Big Picture framework. They particularly recruit students with disabilities and other students who face systemic obstacles to learning. They are humble and open to suggestions and don't make excuses, exposing every student to 21st century learning.",Not sure,,Worked with them on a disability and 21st century learning project,,September 2020,1,1,1,1,1,1,0,0,100000500013
Big Picture Learning,337,Positive Outcomes Charter School,Camden,DE,Positive Outcomes Charter School (Charter),No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,0,100000500013
iLearn Collaborative,338,Prairie School,Raymer,COLORADO,Prairie School District,No,,Thoughtful well-planned implementation of blended learning and use of digital content (OER) which lead to more seamless transition to full-time remote learning in the spring 2020.  Leadership modeling and participation alongside teachers throughout the process.,Yes,"Previous professional development started before COVID-19 and thought leadership with a vision of the future of learning, especially from a rural school. Strong leadership and modeling. Not a ""do as I say"" leader, but more of a ""I will do this alongside you, we are all in this together"" approach. This lead to successful implementation of blended learning at scale.","We worked with them for the past 2 years and they utilized all of our services (funded by the State of Colorado): consulting/thought partnership, professional development, and our OER repository services.","Leadership, implementation using quality practice and essential well-planned process. Climate & culture",September 2020,0,0,0,0,0,0,1,0,
Branching Minds,339,Provident Heights Elementary,Waco,TEXAS,Waco Independent School District,No,,"This school has a large focus on improving school climate and promoting social-emotional learning. They've created Friday Choice Clubs which all students picks a club to join and given the opportunity to engage with peers and teachers in a non-academically focused environment. It's been great to see how those clubs connect students to school and motivate good behavior.   Additionally, the school has a comprehensive MTSS model using our web-based platform. They have used the platform to create individual learning plans for 70% of their students and have had an incredible staff engagement with 97% of staff logging in to view or add to students' learning plans.",Not sure,,We have worked with them to support their MTSS practice for the last 2 and a half years.,MTSS,September 2020,0,0,0,0,0,1,0,1,484428005052
Colorado Education Initiative,340,R-5 High School,Grand Junction,COLORADO,Mesa County Valley School District 51,Yes,R-5 High School is an alternative high school that provides students ages 16 to 21 a positive self-paced learning environment. The instruction at R-5 is individualized so that each student may enroll and progress at his or her own rate.,"R5 is committed to building relationships and social emotional skills for every student first, and then they focus on academics.  They offer a non-traditional pathway for students which is career focused, they have developed a graduate profile that was co-created with the school community, and they are a school that believes in restorative practices and second chances. Project-based learning is core to R5; students have designed and maintain an extensive outdoor garden, tilapia fish farming operation, greenhouse complex constructed by students and an outdoor recreational area also designed and completely constructed by students.  These areas provide the context and lab environment for math and science; research and presentations resulting from work in these areas are integrated into language arts.    R5 uses an advisory model to build trusting relationships that help buffer stress and provide students with a sense of belongingness. R5 also has developed a progress monitoring system based on a 1:1 consultancy that all teachers must do with their students and information from those conversations is tracked in a database for all teachers to access at any time.",Not sure,,"CEI has partnered with R-5 HS through multiple projects over the past three years, including focus on high school redesign through support for both leveraging Advanced Placement to increase college readiness and designing and implementing capstones aligned to the school’s graduate profile.",,September 2020,1,1,1,1,0,1,0,0,080435000623
Getting Smart,341,RAMTEC,Marion,OHIO,Tri-Rivers Career Centers,Yes,RAMTEC is located in Tri-Rivers Career Center.,"RAMTEC in Marion, Ohio at Tri-Rivers Career Center runs career and technical high school programs in advanced manufacturing, engineering technologies and welding. Through corporate partnerships, RAMTEC is able to offer high school students, community college students and adult workers some of the most current job training in the country. With a state grant, RAMTEC developed a network of 23 sites around Ohio.",Not sure,,Personally visited site,,September 2020,1,1,1,0,0,0,1,0,
Anonymous,342,ReNew Dolores T. Aaron Elementary,New Orleans,LOUISIANA,ReNew Dolores T. Aaron Elementary,No,,"In an effort to improve student achievement, they used School Leadership Center of Greater New Orleans to support them in implementing data inquiry cycles to identify learner-centered needs and develop plans to address learner-centered needs in a collaborative and reflective process.  Throughout the cycles, they were open to growth and reflection, and learned how to work as a team, learning to trust each other in order to promote the maximum amount of growth for students.",Yes,"Dolores T. Aaron worked diligently to ensure that every student had access to technology, internet, and regular meals throughout the spring, summer, and fall. They continued to work to address learner-centered needs through their virtual and distance learning programming.",SLC supported Dolores T. Aaron throughout the 19-20 school year in implementing data inquiry cycles.,,September 2020,0,0,1,0,0,0,0,0,220019502021
CAST,343,Richards Middle School,Fraser,MICHIGAN,Fraser Public Schools,No,,"Strong coaching network. Remarkable teacher leaders. Restorative practices. Were able to pivot quickly, efficiently and effectively to online learning. High levels of engagement.",Yes,"Due to their well developed infrastructure, including coaching support and a well developed learning management system, RMS was able to quickly pivot to remote learning during spring school closure. They achieved extremely high levels of student engagement. This fall, RMS will provide virtual learning experiences with opportunities for small group instruction for all students. RMS places an emphasis building a strong, connected community of learners.",UDL Implementation Coordinator,"UDL, Competency Based, Culturally Responsive Pedagogy, Restorative Practices, Welcoming School Culture",September 2020,0,0,1,1,0,1,1,0,261482005185
CAST,344,Rockcreek Elementary School,Columbus,INDIANA,Bartholomew Consolidated School Corporation,No,,"I am excited to nominate Rockcreek Elementary for several reasons; Implementation of Universal Design for Learning, Use of Positive Behavior Instructional Supports, a Culture of Teaching and Learning that Embraces Growth Mindset and Developmental Relationships, and a Commitment to Social-Emotional Learning that Strives to Support Students in Self-Regulation and Executive Functioning. Rockcreek Elementary seeks to remove barriers socially, emotionally, behaviorally, and academically, while supporting learner variability while employing data-driven decision making. Rockcreek strives to design learning environments that support multiple pathways to mastery.",Yes,"Rockcreek is navigating its response to COVID-19 by providing multiple pathways for learning: in-person, bridge (hybrid), and a completely virtual pathway. In addition, Rockcreek is providing scaffolding and support to teach students the importance of social distancing, hand washing, and the use of PPE. This is accomplished through teaching, modeling, posting, and reinforcing the expectations.",,"inclusive, variability, goal-oriented, flexible learning environments",September 2020,0,0,1,1,0,1,1,0,180036000079
Alliance for Catholic Education,345,Saint John Paul II,Minneapolis,MINNESOTA,Archdiocese of St. Paul and Minneapolis,No,,"St. John Paul II (JPII) partners with the Higher-Powered Learning Program (HPLP) based at the University of Notre Dame. With this program, JPII has pursued a three-year partnership with HPLP. During this three year program, JPII formed a Blended Learning Advancement and Strategy Team (BLAST) that first learned blended learning with the HPLP team at ND.  During year two of implementation, the BLAST introduced and coached their teammates in blended learning best practices. JPII is a unique school because the teachers focus on personalizing instruction for students, especially emerging bilingual students. JPII has made intentional software decisions- for students and teachers- and uses intentional pedagogy moves to support emerging bilingual students.",Yes,"At St. John Paul II, teachers were intentional about supporting the socio-emotional needs of students during the George Floyd protests in Minneapolis. Teachers set up deliberate small-group instructional sections for students to share their feelings about the demonstrations and receive reassurance from their teacher.",JPII is part of the HPLP program at the University of Notre Dame.,Train the trainer for teacher professional development,September 2020,1,0,0,1,1,1,1,1,02120766
Big Picture Learning,346,San Diego Metropolitan Career and Technical High School,San Diego,CA,San Diego Unified School District,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,1,063432011154
Anonymous,347,San Francisco Day School,San Francisco,CALIFORNIA,Independent,No,,"This school has high attention to students Social Emotional Learning and a culture of learning throughout students and staff.  Their work that ties in Diversity, Equity and Inclusion with UDL creates an atmosphere of acceptance.",Not sure,,UDL Implementation Specialist for 4 years.,"UDL and Diversity, Equity and Inclusion and PLC structure for centering teachers as learners.",September 2020,0,0,0,1,0,1,0,1,A9101311
Getting Smart,348,Science Leadership Academy,Philadelphia,PENNSYLVANIA,School District of Philadelphia,No,,"Science Leadership Academy is an inquiry-driven, STEM-focused, project-based school formed as a partnership between the School District of Philadelphia and The Franklin Institute. The school attracts students from all metro zip codes, including more than 60 middle schools. The project-based curriculum asks students to consider, â€œHow do we learn?â€ â€œWhat can we create?â€ â€œWhat does it mean to lead?â€ Students meet with an an advisor twice weekly for an hour. Advisors monitor academic progress, help plan projects, internships and support the college application process. Every student completes a capstone project that involves giving back to the community. Some conduct research, some provide a service, and some create art.",Not sure,,Personally visited,,September 2020,1,1,1,1,1,1,1,1,
Future Focused Education,349,Siembra Leadership High School,Albuquerque,NEW MEXICO,Stand-alone charter authorized by Albuquerque Public Schools,No,,"Siembra Leadership High School is a member of the Leadership Schools Network, a network of choice with a common three-pillar design framework and a shared mission to ""transform lives and communities through innovative education."" Many of the school's students were marginalized or pushed out by traditional schools. The three-pillar model equally emphasizes learning by doing, 360-degree student support, and industry/community engagement. Siembra is the Spanish word for sowing or planting, and represents the school's focus on business and entrepreneurship. The school was launched in partnership with local businesses and entrepreneurs. Students work on projects and participate in internships with direct relevance to starting and running their own businesses, and addressing community problems. This approach promotes a new vision for school and students as change agents making their community better.",Not sure,,"My organization facilitates collaboration and learning across the Leadership Schools Network, and SLHS is a member of the LSN. We also run a paid internship program for SLHS students.",entrepreneurship community engagement cultural and linguistic responsiveness career preparation,September 2020,1,1,1,1,1,1,0,1,350006001117
Big Picture Learning,350,SMASH (Santa Monica Alternative School House),Santa Monica,CA,Santa Monica-Malibu Unified School District,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,0,063570007360
228 Accelerator,351,Sojourner Truth Montessori School,Washington,DISTRICT OF COLUMBIA,,No,,"The Truth Manifestos is: ...We are passionate about the education of the whole student and the deliberate development of the adult. We believe that Montessori is an engine for personal liberation, and that it will empower our students to create a more peaceful and just world. We are committed to celebrating the uniqueness of every individual and to dismantling institutional racism. This is so important in this critical time.",Yes,"We are implementing a hybrid approach to school opening—the kids who need to be in the building and need a face to face teacher will get that experience and we will use data to make those recommendations. We have also built in 2 devices per student so that the school can easily flex between in person school and distance learning,",I am on the board.,"Adolescent, personalized montesssori",November 2020,0,1,1,1,1,1,1,1,
228 Accelerator,351,Sojourner Truth Montessori School,Washington,District of Columbia,,,,"This school is pioneering on many fronts. They are a public Montessori school for adolescents, the first of its kind.",Yes,The school used data to prioritize who should have face to face instruction and reallocated funds to allow student to have 2 devices--one for school and one for home.,Board member,,September 2020,0,1,1,1,1,1,1,1,
Anonymous,352,Somerville High School,Somerville,MASSACHUSETTS,Somerville School District,Yes,Career and Technical School - as part of the high school,"Somerville has a unique and strong focus on supporting Career and Technical Education/Vocational Education and career ready skills for all students - both those enrolled in CTE and those who are in traditional/comprehensive courses. They are doing this in a variety of ways including embedding academics in their CTE programs and collaborating with other CTE schools across the state. They are currently piloting a UDL-based e-portfolio tool designed to increase students' access to learning and supporting students' ability to demonstrate hands-on learning in more flexible and personalized ways. This innovative approach carriers promises for CTE schools across the nation and will be highlighted in the Nov/Dec. issue of Principal Leadership Magazine, 2020.",Not sure,,Working on a CTE Pilot,"UDL, CTE, Vocational, hands-on, personalized, e-portfolio",September 2020,1,1,1,1,0,0,0,0,251089001745
Aurora Institute,353,South Bronx Community Charter High School,New York City,NEW YORK,South Bronx Community Charter High School,No,,Strong implementation of competency-based education in an urban school with 98% Black or Latinx learners and 85% â€œfacing economic hardshipâ€ by the city's measures. Wrote about them in two CompetencyWorks blog posts starting with this one: https://aurora-institute.org/cw_post/competency-frameworks-and-judicious-content-selection-at-south-bronx-community-charter/,Yes,Discussed in detail here: https://aurora-institute.org/cw_post/transitioning-and-sustaining-competency-based-education-during-school-closures/,Interviewed principal for CompetencyWorks and he is on the CompetencyWorks Advisory Board.,,September 2020,1,1,1,1,1,1,0,1,360114706595
School Leadership Center of Greater New Orleans,354,Southside Elementary School,Denham Springs,LOUISIANA,Livingston Parish Public Schools,No,,"Southside Elementary has shown exemplary progress despite many challenges.  Their school building suffered water damage from floods a couple years ago, and they are double housed on another elementary school's campus in temporary buildings on their back lawn.  In an effort to improve student achievement, they used School Leadership Center of Greater New Orleans to support them in implementing data inquiry cycles to identify learner-centered needs and develop plans to address learner-centered needs in a collaborative and reflective process.  Throughout the cycles, they were open to growth and reflection, and learned how to work as a team, learning to trust each other in order to promote the maximum amount of growth for students.",Yes,"Southside Elementary worked to continue addressing learning gaps throughout the quarantine through the use of their hybrid and distance and learning models. Despite the lack of in-person instruction, the school continued in their data inquiry cycles through zoom and virtual conferencing.",SLC supports Southside Elementary in implementing their data inquiry process.,data responsive instruction,September 2020,0,0,1,0,0,0,0,0,220102000771
