school_id,school_name,school_city,school_state,school_district,nominator,nominator_reason,website
119,Madison Palmer High School,Marks,Mississippi,none provided,Global Teaching Project,"The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Madison Palmer HS otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers.  With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Madison Palmer HS to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. 
The Global Teaching Project is excited to nominate Madison Palmer HS because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses.  Notwithstanding the school's significant challenges, Quitman County, where the school is located, is among the poorest counties in Mississippi. The blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort.  As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success.",
120,Magnolia Montessori For All,Austin,Texas,Montessori For All,Next Gen Learning Challenges,"Sara Cotner's vision for this school was to integrate three approaches that are too often defended as ""churches"" by their advocates: Montessori, no-excuses/standards-based, and digital/blended. Her idea was to take the most important and valuable elements from each approach and integrate them to create a new model. Our view is that she and her team have been able to do exactly that.  Too often, educators and reformers see only a narrow set of pedagogical approaches supporting a commitment to high achievement on standards-based metrics. Montessori for All is attempting to demonstrate that you can generate high achievement on state-generated standards through approaches that are more whole-child oriented. The schools is very obviously a Montessori school, first and foremost. But unlike most Montessori schools, this one has mapped high-expectation standards against and within Montessorian approaches and is supporting the work with various forms of enabling technology.   Montessori has long been understood to be a model that does an excellent job of preparing children in holistic ways. It is faulted, sometimes, for falling short in enabling its students to demonstrate high achievement across traditional curriculum areas. Montessori for All is a noteworthy effort to connect the strongest aspects of the model with high-expectation standards matched to 21st century needs.",
122,Map Academy Charter School,Plymouth,Massachusetts,Map Academy Charter School,Anonymous,"New charter school intentionally designed to serve 14-24 year olds who are off track for high school graduation. Asynchronous, competency-based, highly-supportive.",
124,Meadows Valley School PK-12,New Meadows,Idaho,Meadows Valley School District,Idaho Mastery Education Network - Idaho Department of Education,"Meadows Valley School is a PK-12 public school that develops meaningful lasting relationships between students, parents, and community.  They believe in personalizing the educational experience for each learner through self-directed learning and skill development to master content. Learners work together to build a strong community utilizing one to one mentoring between advisors and learners. The school focuses on preparing all students for life's requirements, adventures and challenges. The following are some highlights:  - Life ""Leadership Skills""  Adventures - Place-Based Education and Career Exploration - Personalized Learning through Mastery Education Challenges - College and Careers Preparation.",
125,Mena High School,Mena,Arkansas,Mena School District,Team Digital,"This school is dedicated to implementing blended learning to improve student learning. The first cohort of 4 teachers was trained in the best practices of student-centered learning and began a station rotation model in their classrooms. These teachers met regularly after school to discuss classroom management, student agency, and other instructional strategies to improve the learning experience for the students. After the first year, Teacher Cohort 1 participated in a trainer-of-trainer workshop and then trained the second cohort of four teachers. The school has selected using Google Classroom as the digital content platform. One teacher's comment was that students communicate more in learning, facilitate their own learning, assist others, and hold each other accountable. On-going changes will be determined as the school takes an approach of self-evaluation to determine next steps in the process of implementation. They are collecting data through digital content, grades, attendance, behavior reports, interviews, and surveys. ",http://www.menaschools.org
127,MetWest,Oakland,California,Oakland Unified School District,Big Picture Learning,"MetWest is a small high school with an outsized reputation. Founded in Oakland in 2002, MetWest has developed into a program that emphasizes social justice and personalization as its main programmatic identifiers. MetWest maintains small class sizes, advisory groupings which loop throughout high school, individual learning plans, and internships as staples of the school design. With a student population that is mainly low income and a large percentage of students who are learners of the English Language (23%), MetWest still posts an incredibly high graduation rate (94%). Students exhibit their work and learning publicly, and share accountability, building a solid foundation for community together. MetWest is known for their focus on restorative practices and internships, and have influenced district-wide initiatives in those areas. In addition, in the past two years, the school has taken on STEAM-focused initiatives, including the addition of two Makers spaces, where students teach skills to the community, and an entrepreneurship program where students design, build and sell products to clients. The school has an onsite health clinic, where young people and their families can receive counseling, and gain access to health resources.  ",
128,Mill Creek Middle School,Dexter,Michigan,Dexter Community School District,Anonymous,"Students at Mill Creek Middle School who use the Summit Platform are self-directed learners.  Using the Summit Platform, students are able to move through content and projects at their own pace.  They set their own goals, use and curate resources to support their learning, and rely on teachers for guidance.  Students are given options to work independently, collaboratively, or in small groups with intensive teacher support.  Students who complete course content ahead of schedule are encouraged to go deeper with their learning, while students who struggle are given teacher guidance in small groups or one-on-one.  In addition to content, students are also working on projects, evaluated using competency-based rubrics around ""cognitive skills, which span all subject areas (e.g. point of view/purpose, contextualizing sources, predicting/hypothesizing, etc.). Students self-evaluate and receive timely feedback from their teachers. Mill Creek Middle School students are offered options for a traditional, hybrid, and full Summit.  Dexter has responded to the needs of its students, family, and community and have made adaptations to offer options for its middle schoolers.  The staff commitment to its students and this initiative sets them apart from others.  Mill Creek is paving the way for how education can look and feel different, while addressing student needs.  They are leaders of innovation.",http://www.dexterschools.org
130,Minnesota New Country School,Henderson,Minnesota,Minnesota New Country School,EdVisions,"Very innovative, personalized approach to learning.  No set courses, entirely project-based and experiential.  Teacher run. Rural setting, close to outdoor learning areas.  ",http://www.newcountryschool.com
131,Mission Hill K-8 School,Boston,Massachusetts,Boston Public Schools,Education Evolving,"Mission Hill has weathered a number of recent changes (including relocating and expanding). Their new student body has more students that are learning English (25% ELL), and a greater number of students with disabilities (30%) of all kinds (developmental, emotional, learning, physical, etc.). They are also racially diverse with 40% black, 25% Hispanic, and 17% white students.  They opened in 2001 as a democratically run teacher-powered school founded by Deborah Meier. Their teacher team values modeling, the principles of democracy to create engaged, innovative, resilient student citizens.   Mission Hill is a story about a small democratically run progressive inclusive public school that held onto its values despite the many challenges that came its way. The teacher team's daily effort is to create a sense of belonging for all the members of their community and to foster empathy among their students.   The teacher team uses an innovative peer evaluation system to improve their teaching. They see themselves as lifelong learners and actively engage in collaborative goal setting, peer observations, and honest debriefings to improve their teaching craft.  Teachers secure autonomy via: pilot school agreement between district and union. Under the pilot agreement, the Boston Public Schools Superintendent delegates authority to pilot schools' governing boards to try new and different means of improving teaching and learning in order to better serve at-risk urban students.  ",http://www.bostonpublicschools.org
132,Mission Vista High School,Oceanside,California,Vista Unified School District,Anonymous,"Personalized pathways for students that are not based on career themes, but rather focusing on the themes of discovering a passion, growing an area of interest, or innovating their own pathway. Classes are engaging with lots of student activity and agency. Each year each faculty member creates a Wildly Important Goal or ""WIG"" that drives their professional learning, curriculum writing, and classroom instruction. Music (and inclusion of lots of students in music) is a large focus at the school.",http://www.mvhs.vistausd.org
132,Mission Vista High School,Oceanside,California,Vista Unified School District,Next Gen Learning Challenges,"Mission Vista is a tremendous demonstration of how a fairly traditional district high school can remake itself. It is 2-3 years into the work and showing great potential. NGLC has taken groups of educators there, including just this month; one participant in that trip remarked that the vision and mission were obviously well aligned and that teachers and students owned and lived out the vision and mission. This participant further remarked that the students at Mission Vista were joyful and happy, some of the happiest students they've ever seen. Some of the reflections shared by participants: - Evidence of high expectations and highly supportive systems/processes to ensure student success - Much interest in the 4x4 schedule - Appreciated that courses were talked about equally, no electives vs core - Appreciated seeing personalizing in action, concrete and powerful - Evidence of student choice in homework assignments, curriculum - All students were fully engaged and could describe their own learning, knew their expectations - The importance of a clear district vision that translated to what was happening at the school - DIG (Discover, innovate, grow) pathways, seemed innovative and personalized - WIG (Wildly important goals) set by each staff member at the beginning of the year - Focusing on the why and making sure this is developed with and owned by every educator and staff member Mission Vista's work is part of a larger overall move by Vista Unified school district towards personalizing learning and an expanded set of definitions of student success, all supported by deep partnerships with community. As an expression of district leadership in this area and of change strategies that reflect the goals and learning models inherent in student-centered learning, Mission Vista truly stands out.",http://www.mvhs.vistausd.org
133,Montpelier High School,Montpelier,Vermont,Montpelier-Roxbury Public Schools,Great Schools Partnership,"Deeply committed to equity, this school has implemented a thoughtful proficiency system for graduation. Also, student-led, the school was the first school in VT and one of the first in the nation to fly the Black Lives Matter demonstrating their deep commitments.",http://www.mpsvt.org/mhs/
134,Native American Community Academy,Albuquerque,New Mexico,Albuquerque Public Schools,NACA Inspired Schools Network,"The Native American Community Academy (NACA) was founded in 2006 in order to disrupt and redefine Indigenous Education. In contrast to conventional approaches, NACA has shifted the common mindset viewing race and place as barriers to education, to a community embracing culture and traditions as tools for academic success. NACA's pedagogical approach and curricula are intentionally designed with an Indigenous, culturally responsive model grounded in NACA's Core Values: Community Service; Reflection; Culture; Respect; Responsibility; and Perseverance. Indigenous oral traditions, healing, languages, and community building practices are integrated as part of a rigorous, data-informed, and Common Core-based college preparatory curriculum. NACA's students are predominately Indigenous (93%), representing over 60 Native American pueblos and tribes and 18 different ethnicities. It enrolls 465 youth in grades K-3 and 6-12, and will grow to a full K-12 school by 2020. In New Mexico and nationally, Indigenous youth often struggle academically, and in urban settings, they tend to be a minority population where their specific needs are difficult to address. NACA's graduation rate is 72%, a full 17 points higher than the 55% four-year graduation rate for Native students enrolled in the Albuquerque Public Schools (APS) district that NACA shares. NACA's College Engagement Team (CET) works with every student with the expectation that they will graduate and achieve their post-secondary education goals. NACA's CET supports students with test preparation, financial aid, college entrance, and scholarship applications. 75% of NACA students have parents who have never attended college, yet 100% of the past four graduating classes have been accepted into a college program. NACA's holistic work goes beyond the school day. Through parent engagement, out of school time, mentorship, and wrap around services, NACA is fulfilling its mission to strengthen communities by developing strong leaders who are academically prepared, secure in their identity, and healthy.",http://nacaschool.org/
134,Native American Community Academy,Albuquerque,New Mexico,Albuquerque Public Schools,Anonymous,"For native american students, by native american students; racial healing, community-centered pedagogy; community-led and designed.",http://nacaschool.org/
134,Native American Community Academy,Albuquerque,New Mexico,Albuquerque Public Schools,Anonymous,NACA is designed around the specific needs of the indigenous community that they serve. Duta and his team are implementing curricula that acknowledge the identities of their students and cultural traditions in a way that is supporting students like never before.,http://nacaschool.org/
135,Nativity of Mary Catholic School,Bloomington,Minnesota,Archdiocese of St. Paul and Minneapolis,Alliance for Catholic Education,"Four outstanding teachers were chosen to participate in a program developing blended learning leaders, and they are now helping other teachers in their school implement blended learning, too. These teachers have each found a way to use blended learning to make their classrooms more collaborative and more inclusive then they were previously. As a school, Nativity of Mary has embraced blended learning as an integral part of its school culture and one of the ways in which they help all students succeed. ",
136,NC School of Science and Mathematics,Durham,North Carolina,University of North Carolina,digiLEARN,"The nation's first public residential high school for science, technology, engineering, and math; a global leader in STEM education.  NCSSM educates students from all 13 North Carolina congressional districts and nearly all 100 NC counties in its programs: residential, online, and videoconferencing. ",
137,Nettleton High School,Jonesboro,Arkansas,Nettleton School District,Team Digital,Nettleton High School utilizes seat time and class size waivers from the state department of education. This has allowed students in some career classes the opportunity to go to work early. This has also granted students flexible with late start and early release from the school. Students are taking advantage of concurrent English utilizing blended learning through a learning management system.,http://nettleton.ar.schoolwebpages.com
139,New Legacy Charter School,Aurora,Colorado,Charter School Institute,Anonymous,School for teen parents (and teens without children) and also an early childhood center. Teaches students about parenting. Allows them to connect with students throughout the day. Gives students an opportunity to learn who would ahve otherwise dropped out.,
140,Noble High School,North Berwick,Maine,School Administrative District 60,Great Schools Partnership,"Noble High School has developed a very comprehensive proficiency-based learning system that clearly identifies student expectations.  Further, they have developed a rigorous teaming structure that supports each student and implemented  series of extra support strategies that impact students as soon as issues arise.",
141,Norris Academy,Mukwonago,Wisconsin,Norris School District,Education Reimagined,"Norris Academy has been around for 100 years but has become learner-centered in the last 3. More than any other public school I have seen this school has an amazing approach to creating individualized pathways for learners. Many of the learners who attend have a history of trauma, emotional distress or are diagnosed with severe behavioral issues. Many are in the foster system or residential treatment via the juvenile justice. Norris does not know when learners enter whether they will stay for 3 months or 3 years but is committed to developing an individualized pathway for each learner around 4 domains: Wellness, Academic, Employability, and Citizenship. Within each of these domains they have identified large areas of competency, each of which is broken down into progressions. Each learner that comes in is asked to go through about 4 weeks of getting to know themselves with a battery of assessments - personality, cognitive strengths, etc. while the school connects with past environments to get a sense of their history. The team of educators with the learner and any guardian that might exist then crafts an ""Urgency Story"" that becomes the starting place for the work, support and opportunities that learner gets. However, Norris is unflinching in its commitment to Wellness first, believing that until a human being is well they will not progress significantly or sustainably in the other domains.",http://www.norrisacademywi.org
141,Norris Academy,Mukwonago,Wisconsin,Norris School District,Anonymous,School for at risk and learners in treatment. Uses trauma information to provide learner-centered approach. Phenomenal.,http://www.norrisacademywi.org
142,North Edgecombe High School,Tarboro,North Carolina,Edgecombe County Schools,Anonymous,"North Edgecombe High School is part of a district that will use Opportunity Culture in all its schools, and the high school was one of the first three schools to implement it. Under Principal Cannon, North Edgecombe, a high-poverty, rural school in a district that struggles with teacher recruitment and retention, has embraced the Multi-Classroom Leadership model and is ""exceeding growth"" under the state definition. An Opportunity Culture school extends the reach of excellent teachers and their teams to more students, for more pay, within the school's recurring budget. Multi-Classroom Leadership is the foundation of an Opportunity Culture; multi-classroom leaders (MCLs) lead a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The schools redesign schedules to provide additional school-day time for teacher planning, coaching and collaboration. MCLs typically lead the introduction of more effective curricula, instructional methods, classroom management and schoolwide culture-building. Accountable for the results of all students in the team, multi-classroom leaders earn substantial pay supplements, within the regular school budget. The school design teams reallocate school budgets to fund pay supplements permanently, in contrast to temporarily grant-funded programs.  ",http://www.ecps.us/nehs/
143,North Little Rock Middle School - 6th Grade Campus,North Little Rock,Arkansas,North Little Rock School District,Arkansas Office of Innovation for Education,"This school is an opportunity culture school that also uses blended learning (Summit Learning Platform) to personalize learning of state standards.  Opportunity for teacher leaders to own leadership in the building. They lead PLCs, very data-driven to support each student's learning needs.  Use Summit Learning platform which has enabled them to address the challenge of rigor for all students. They have worked on self-management and self-directed learning. Students have a better idea of when help-seeking is appropriate and when their own strategies for learning need to be employed. They are also exploring how to support teachers as they personalize projects more.  ",
144,Northside Elementary School,Rogers,Arkansas,Rogers Public School District,Arkansas Office of Innovation for Education,"Northside is a diverse community of learners with similar poverty level (62%) of another nominee and different diversit—a large percentage of English Learners from a variety of countries. This school started exploring competency-based learning through a transparent learning curriculum and learning progressions (lines of learning). They have created an environment where students own their learning and progression in their learning. Exemplars provide visual information about expectations for mastery in the lines of learning. More students able to see where they are, where they are going and what they need to get there.  Teachers collaborate with students to set learning goals and make plans to meet those.  Strong PLCs collaborate vertically to develop and support vertical lines of learning that are not restrictive to grade level curriculum, laying the ground work for possible multi-age classrooms as they progress on this learning journey.  They have transformed their STEM piece to be more inquiry based using their library/media center for exploration and makerspace for creative design. ",http://#www.rogersschools.net#
145,Nottingham Elementary School,Houston,Texas,Spring Branch ISD,Anonymous,,http://nhe.springbranchisd.com
147,Oakland High School,Murfreesboro,Tennessee,Rutherford County Schools,Anonymous,"Working with industry and community partners through Rutherford Works over several years, Oakland High School and Rutherford County Schools aligned course and program offerings to meet local and state workforce needs. School and district leaders intentionally thought about course offerings, quality of different pathways, and students' access to those pathways, resulting in news programs in mechatronics and other career and technical fields in addition to traditional college-preparatory offerings. As school and district leaders built pathways for 2200 diverse students from families with different post-secondary education experiences, school and district leaders realized that students needed different supports to navigating the school's options. One such support is providing intentional advising support for each of its approximately 2200 students. All four counselors meet with each of their nearly 600 incoming freshmen each year to discuss their plans for high school and beyond. Each counselor follows their group of students over their four years of high school, ensuring the person responsible for supporting students knows each student and supports them toward the path that best fits the student. This continuity of care throughout the high school years is a critical aspect of ensuring students have a wide range of meaningful college and career choices. ",http://ohs.rcschools.net/
150,One Stone,Boise,Idaho,none provided,Anonymous,This is a private school led by and created by students.  Adults serve as coaches and facilitators as students direct their own learning journey.,
150,One Stone,Boise,Idaho,none provided,Christensen Institute,"In-depth design methodology is taught through the curriculum with a focus on empowering students to follow their passions/interests but also constantly pushing their boundaries and horizons through design-based work in their community. Using blended, competency-based approaches for core curriculum and also constantly experimenting with additional approaches in their afterschool program. The board of directors of the school is majority students. Finally, they are pursuing a host of non-traditional measures through a new transcript developed in house.",
151,Orlo Avenue Elementary,East Providence,Rhode Island,none provided,Highlander Institute,"Orlo puts people first. This school promotes a comprehensive support structure where all members of the community (administration, support staff, teachers, students, families, partners etc) are included in initiatives, challenges, and celebrations. Principal Gallant works tirelessly to connect initiatives in the building to a central focus and uses data to inform and guide changes. Orlo combines the best of data, blended learning, and positive school culture to truly personalize the student experience.",
153,Park View Elementary,Mooresville,North Carolina,Mooresville Graded School District,digiLEARN,Park View is a one to one and culturally diverse school with a low student to teacher ratio. This enables them provide intensive wraparound services for all students.,http://www.mgsd.k12.nc.us/page.cfm?p=2489
154,Parker-Varney Elementary,Manchester,New Hampshire,Manchester Public Schools,Anonymous,"Parker-Varney has been working hard the last few years to focus on developing a more learner-centered environment for students. They have identified several core tenants that drives their work: 1.) personalizing the learning, 2.) building a culture based on trust and collaboration, 3.) keeping the learning engaging and fun, 4.) being innovative, 5.) focusing on questions and exploration. They have been using project based learning for at least the last three years to drive much of this inquiry. Their teachers are committed to continuous improvement and students often present their learning publicly. ",http://parkervarney.mansd.org
154,Parker-Varney Elementary,Manchester,New Hampshire,Manchester Public Schools,Anonymous,This school is experimenting with multi-age classrooms and other design features in order to implement a competency-based approach to education.,http://parkervarney.mansd.org
156,Pea Ridge Primary/Intermediate,Pea Ridge,Arkansas,Pea Ridge School District,Office of Innovation for Education,"This school is part of a larger district-wide effort to personalize learning and provide a K-12 experience focused on students' passion and interest. The emphasis on community and business partnerships is very strong from the early grades. The school uses an inquiry-based model for learning with a focus on a new STEM initiative at the early grades, embedded in their daily schedule. Starting in kindergarten, students are exposed to over 240 college/jobs/careers before high school entry. ",http://www.prs.k12.ar.us
159,Pine Tree Elementary School,Conway,New Hampshire,SAU9,Anonymous,Performance assessment; competency-based education,http://www.pinetreeschool.org
160,Pioneer Ridge Middle School,Chaska,Minnesota,Eastern Carver County,Anonymous,Middle School model with high EL population that uses an equity approach to learner-centered education.,http://WWW.DISTRICT112.ORG
161,Pittsfield Middle High School,Pittsfield,New Hampshire,SAU 51,CSSR (Center for Secondary School Redesign),"Pittsfield Middle High School (PMHS) is located in a small, rural community in New Hampshire's Suncook Valley.  PMHS is noted for their transformation from a traditional learning environment to a student-centered learning environment. Innovations of note include: Site Council, Extended Learning Opportunities and Learning Studios.  The Site Council at PMHS is the main governing body of the school and is comprised of a majority of student representatives. The Site Council structure ensures student voice and leadership in the school's decision-making process. Site Council has taken on a number of issues over the years, including: making recommendations to the school board on revisions to the school handbook such as an open campus policy for students meeting a required percentage of competencies; developing and approving a flexible schedule that better accommodates competency-based learning and builds in time for faculty common planning time; as well as developing and approving rich learning opportunities such as Extended Learning Opportunities and Learning Studios.  Extended Learning Opportunities (ELOs) and Learning Studios are both inquiry-based learning opportunities that allow students to apply and connect skills from content-area courses with their own personal interests and passions. Both opportunities include partnerships with the community. As the programs have evolved, many students who have completed ELOs now co-chair Learning Studios with faculty members on the same topics. ",http://pittsfield-nh.com/pmhs
162,Polaris Charter Academy,Chicago,Illinois,Single site charter,EL Education,"Polaris is an innovative K-8 school with a strong focus on character development, project-based learning and real-world application of learning. The school is a model in the EL Education network for creating a culture of belonging across the school and putting character at the center of academic learning.",
164,Powderhouse Studios [Nonoperating school],Somerville,Massachusetts,none provided,Anonymous,Designed specifically for students who have been pushed out of the traditional system.,
165,Purdue Polytechnic High School,Indianapolis,Indiana,N/A,Anonymous,"Purdue Polytechnic is building a STEM school around students. When Purdue Polytechnic says they are personalizing and individualizing, they mean it. Students create individualized schedules and engage in real-world challenges with industry partners. The challenges are mapped to Indiana standards for high school, Purdue admission requirements, and Indiana Workforce Development goals. Created in partnership with Purdue University, business leaders, and industry partners, Purdue Polytechnic High School is preparing a new generation with the skills and mindsets needed for the jobs of the future. Students will earn college credit and in-demand industry credentials, and qualified graduates will get direct admission to Purdue Polytechnic Institute.  ",
167,Red Bank Elementary,Lexington,South Carolina,Lexington One,South Carolina Department of Education - Office of Personalized Learning,"Red Bank has refined and developed their approach to student-centered learning under the leadership of principal Marie Watson. The team at Red Bank has used action research to develop tools and strategies to increase student agency in a variety of ways. The school has developed learner profiles and pathways which are supported by flexible learning environments to allow students to be partners in the learning. The work of standards based reporting has allowed Red Bank to focus on authentic feedback in meaningful ways. There is a strong emphasis on equity at Red Bank, since their students come from a variety of backgrounds and experiences it is important that the school ensure ALL students are learning at high levels, not just some or most.  ",
168,Reiche Community School,Portland,Maine,Portland Public Schools,"Center for Teaching Quality (CTQ), Education Evolving","Reiche Community School is the first teacher-powered school in Maine and serves a very diverse student population, many of whom qualify for free or reduced price lunch. They worked closely with their local association to transition to a teacher-powered model in order to better serve students.

Reiche is located near a large refugee processing and over 40% of their students are ESL, and of those over 40% are IELD. Reiche has over 40 languages spoken at their school and a high rate of poverty with 78% FRL.   Reiche was Maine's first ""failing"" school. A progressive principal assigned to the school built leadership capacity and a highly collaborative culture among the staff. When the principal was reassigned, the Reiche teacher team worked with their union local to negotiate with their superintendent to assign an interim principal while they entered a year of exploration.   The team voted to convert to teacher-powered in 2011, something collaborative teams across the nation are beginning to explore. Today, the team selects three lead teachers on a rotating basis (each lead teacher serving four years) and every teacher participates in school-level decision-making.  With interest in opening the opportunity for other groups of teachers to replicate Reiche's model, the Maine legislature in 2013 passed, ""An Act to Develop a Grant Program to Establish a Teacher-led School Model."" This Bill encourages teacher-powered schools by allowing schools or districts to apply for grant monies to explore, develop and implement alternative governance structures.  Under the teacher team's leadership, they have turned around their status as Maine's first failing school and are now a model for success. Reiche has found that if students stay at their school over 3 years (mobility is certainly an issue with their population) then proficiency rates start to dramatically rise.  The teacher team has decided to use a community school model to serve the many needs of their students and families. This means that they partner with local organizations to provide services to their students and families, for example, the Opportunity Alliance in Portland which provides children and adults with mental health services.  ",
169,River Bluff High School,Lexington,South Carolina,Lexington 1,South Carolina Department of Education - Office of Personalized Learning,"River Bluff High School has invested in student-centered learning by focusing on building a culture that fosters strong relationships between and among students and faculty.  To this end, the school has created robust structures of support to empower students and staff to take learning to the next level. As an example, River Bluff uses a flexible modular schedule to leverage time and infuse multiple layers of student supports inside the school day. This approach supports equity by ensuring that all students have both the time and resources needed to achieve their goals. When you visit River Bluff, you are immediately struck by the human interactions; learning is authentic. Students are engaged in solving real world problems through student led inquiries which results in a level of engagement and empowerment that is exciting to see.     ",
170,Rochester Middle School,Rochester,New Hampshire,none provided,New Hampshire Learning Initiative,"Rochester Middle School has been incredibly impressive with their recent transformation to a more personalized system of learning throughout their school.  Rochester has been involved in PACE (Performance Assessment for Competency Education) for the past four years, and has done a tremendous job of focusing more on the personalized aspects of this within their recent work over the past few years. In walkthroughs, I have observed high levels of student engagement, as well as teachers providing varied opportunities to demonstrate learning. Rochester Middle School is also part of a larger district effort to truly begin to provide multiple pathways to careers and college, and the work at the middle school is a strong link between the elementary schools and high school. ",http://www.rochesterschools.com/rms
172,Rooted School,New Orleans,Louisiana,none provided,Anonymous,Jonathan and the team at Rooted are specifically solving for the dearth of homegrown talent in New Orlean's growing tech industry. This high school program is launching an earned income pilot to give students an opportunity to gain real working experience while earning an income in HS that will position them to enter into the workforce/matriculate to college with a clear vision of a successful tech career.,
174,Salem High School,Salem,Virginia,Salem City Public Schools,Anonymous,"Salem High School has been recognized for their innovative and student-centric practices for years. The staff and their principal, with support from their superintendent, Dr. Alan Seibert, have led innovative thinking and practice for years in Virginia.  ",http://salem.k12.va.us/shs/
175,Saluda Trail Middle School,Rock Hill,South Carolina,Rock Hill School District,South Carolina Department of Education - Office of Personalized Learning,"Saluda Trail recognizes that in order to truly be student centered, the staff needs personalized pathways for their own professional learning.  This has resulted in a tight focus on the goal of student-centered learning with a flexible approach for teachers to co-design their own learning plans.  As educators experienced this approach as learners, they more easily incorporated it into their own teaching practice.  Saluda Trail is a STEAM school, and has leveraged resources in unique ways to provide a wider range of courses and experiences for their students than is typically seen in surrounding public schools.  Teachers have embraced blended learning as a vehicle for more intentional use of instructional time and to ensure the use of technology is purposeful.  The school is piloting the use of prototype competencies for the Profile of the South Carolina Graduate and regularly provides opportunities for teachers to provide insights and feedback to improve the competencies.  The collaborative culture allows teacher teams at Saluda Trail to easily and regularly use data for short term action plans, and to examine trends over time.  This is resulting in significant student growth across grade levels and subject areas.  The culture of learning at Saluda Trail is palpable.  ",
176,Sanborn Regional High School,Kingston,New Hampshire,Sanborn Regional School District,New Hampshire Learning Initiative,"This school has been a state and national leader in competency-based learning. They continue to identify, through thoughtful and deliberate reflection, ways to better meet the needs of all students. Currently they are exploring their Extended Learning Opportunities for students, and embedding opportunities for Career Pathways for learners throughout their school. Students are an active voice in these conversations, and staff are wholly invested.  I am excited to nominate Sanborn Regional High School because I have seen the growth and development of their school over the last decade. Having worked closely with Mr. Stack, I have seen many examples of the school putting student learning at the center, influencing their collective decision-making, and being the driving force for what their next steps may be.",http://www.sau17.org/schools/high-school
176,Sanborn Regional High School,Kingston,New Hampshire,Sanborn Regional School District,Anonymous,Competency-based learning; project-based learning and assessment; universal design for learning.,http://www.sau17.org/schools/high-school
177,Schoolcraft High School,Schoolcraft,Michigan,Schoolcraft,Michigan Department of Education,"Staff meets regularly, grouped by subject area, and work on the Competencies that they have developed.  A very organized and purposeful process. They also have an innovative schedule which helps enable students to master all of the Competencies. Students also do projects with partnerships of outside agencies.",http://www.schoolcraftschools.org
178,Science and Math Institute,Tacoma,Washington,Tacoma Public Schools,Anonymous,Place-based; full inclusion; experiential education; innovative district context; workforce experience,
179,Scott Central High School,Forest,Mississippi,none provided,Global Teaching Project,"The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Scott Central HS otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers.  With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Scott Central to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University.    The Global Teaching Project is excited to nominate Scott Central HS because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses.  Notwithstanding Scott Central's significant challenges, the blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort.  As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success. ",
180,SEEQS: the School for Examining Essential Questions of Sustainability,Honolulu,Hawaii,Hawaii Department of Education,Anonymous,"SEEQS is a school like no other. Their mission is to raise up a generation of students that will positively impact and change the world around them and they are doing it. Organized into self-selected project teams, students spend their afternoons making decisions about how they can best create a sustainable future for all. The structure of the entire school revolves around these multi-grade endeavors.",
