nominator,school_id,school_name,school_city_n,school_state_n,school_district_n,nominator_reason_n
Big Picture Learning,310,Methow Valley Independent Learning Center,Winthrop,Washington,Methow Valley School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Big Picture Learning,127,MetWest,Oakland,California,Oakland Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
NewSchools Venture Fund,720,Montessori Elementary at Highland Park,Chattanooga,Tennessee,N/A (single site charter),Our school model is to provide an authentic Montessori education. MEHP works with Project Based Learning and STREAM to incorporate an early childhood hands on learning model with the scientific method in elementary classrooms.
NewSchools Venture Fund,721,MS 371 SEED: Harlem,New York,New York,New York City Department of Education,Cultivating thinkers and leaders to recognize their importance and responsibility as global citizens.
NewSchools Venture Fund,717,MS 935,Brooklyn,New York,New York City Department of Education,M.S. 935 is a STEM based school in District 19 Brooklyn.
Big Picture Learning,312,Nashville Big Picture High School,Nashville,Tennessee,Nashville School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Alliance for Catholic Education,135,Nativity of Mary Catholic School,Bloomington,Minnesota,,Nativity of Mary is reimagining its instructional core through Blended Learning Practices.
Transcend,793,Navajo Preparatory School,Farmington,New Mexico,Navajo Preparatory School,N/A
Transcend,601,New Harmony High Institute,New Orleans,Louisiana,New Harmony High School,"Place based learning. Use local environment to teach systems thinking, problem solving, and activism. Lots of partnerships, outdoor learning, active self-direction. I believe they were an XQ recipient and that the schooli is located on a barge outside of New Orleans? "
Big Picture Learning,139,New Legacy Charter School,Aurora,Colorado,Aurora Public Schools,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
NewSchools Venture Fund,786,New School of San Francisco,San Francisco,California,New School of San Francisco,"The New School of San Francisco is a tuition-free public school designed in partnership with local educators, parents, and community leaders. Inquiry, equity, and personalized learning are at the heart of how our students learn, grow, and thrive. We are currently serving Kindergarten through 8th grade. Our mission is to demonstrate a holistic 21st century education that instills a love of learning now and prepares students and families for success in the future. We believe in “Inquiry for All”—all children should go to school where they can drive their learning, ask big questions, and take risks. This belief fueled the creation of our school in 2015."
Big Picture Learning,316,New Village Girls Academy,Los Angeles,California,Los Angeles Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Big Picture Learning,317,Newark East Side High School,Newark,New Jersey,Newark Public Schools,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Big Picture Learning,318,Newburgh Free Academy West,Newburgh,New York,Newburgh Enlarged City School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Center on Reinventing Public Education,382,Next STEP High,Lewiston,Maine,Lewiston Public Schools,"This school exhibits strong partnership between a local youth-serving nonprofit and a public school to promote student voice and agency, mental health and SEL supports by employing community-based professional youth workers through the school district."
NewSchools Venture Fund,722,Nichols Intermediate Academy of Leadership,Little Rock,Arkansas,ScholarMade Achievement Place,We use Emotional Intelligence and Personalized Learning as a lever to student achievement.
Center on Reinventing Public Education,452,Nokomis Regional High,Newport,Maine,RSU19,"Nokomis has dedicated over ten years to transforming its instructional model  to immerse students in meaningful learning experiences that relate to their interests and passions. Students learn through project-based learning, interdisciplinary courses, and career exploration units. Staff are encouraged to bring their expertise and interest into classes, and several have collaborated with each other to create interdisciplinary classes. "
Big Picture Learning,320,North Bay Met Academy,Windsor,California,Windsor Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
KnowledgeWorks,537,Northern Cass High School,Hunter,North Dakota,District 97,"Attaching credit to competencies through personalized ""studios"" at the middle level. Educators are embedding profile of a learner competencies in learning experiences at all levels."
Barr Foundation,747,Nowell Academy,Providence,Rhode Island,,"Project-based learning with transformative learning experiences
Primary person model with academic counseling
Post secondary success planning with students"
Center on Reinventing Public Education,747,Nowell Academy,Providence,Rhode Island,,"Nowell is a student-first environment that offers several supports to students, including but not limited to on-campus daycare services for students with children and a primary person model that creates strong adult-student mentorship and relationships. The school rethinks traditional credit recovery opportunities through its transformative learning experiences, which are indterdisciplinary classes that give students double credits in subjects (e.g., Nowell's food revolution class gives students history and science credits). These classes also connect students to outside-school experiences (e.g., the social justice class visits the local court house and partners with lawyers from a local university, the food history class travels into local neighborhoods to map out food deserts to include a newsletter made available to students campus-wide). "
KnowledgeWorks,779,Oakes Public School,Oakes,North Dakota,District 41,Oakes is using learning progressions to define entry points for learning and developing personalized learning pathways based on readiness
The Center for Learner Equity,675,Odessa High School,Townsend,Delaware,Appoquinimink School District,"Odessa high school uses a Pathways program that provides inclusive college and career pathways in which all students fully participate, regardless of their disability status or past performance. Students' experiences in their pathways are differentiated and tailored to student strengths, goals, and needs. The variety of industry partnerships the district has cultivated as part of this pathways program has helped leaders match all students with experiences that fit their strengths and goals. "
Deeper Learning Equity Fellowship,660,One World Middle School,"Bronx, New York",New York,NYC Department of Education,"As a school community, One World Middle School has reimagined the learning of what education looks like in how students experience school as a whole. At the foundational core, they believe that students have the right to a quality and innovative standards-based education, the right to know and be known in a safe and welcoming environment, and the right to be acknowledged as unique individuals who learn differently. These core beliefs promote and advance equity and student-centered learning throughout the school. It is evident upon walking through the halls, the classrooms, and interacting with the students that their core beliefs live and breathe through how they view the purpose of education and the instructional core, and the structures they deem important.
 

 One World Middle School has proven that in order to have a reimagined equitable learning environment, two components must be in place: a safe learning environment and a staff that knows who the children are and their individual needs. To support this idea they have implemented practices and events such as Ambassador Day, Unit 0, and Developing the Whole Child Meeting (DWC). Ambassador Day is quite the experience as students across all grades are given the opportunity to select their mentors for the year. During this particular day, students engage in community-building activities by spending the entire day in small groups with their teacher mentor discussing their commonalities and differences and learning to embrace each other diversity and strengths. Throughout the year the mentors meet weekly to plan and conduct themed-based activities. For example, in November and December, mentor groups coordinate events and activities around gratitude and acts of kindness respectively. These student-led initiatives have taken different forms over the years from groups creating donation drives, reading to students at neighborhood elementary schools, making edible treats that are distributed to fellow peers, volunteering at Senior Health Centers to simply redesigning a classroom space. 
 

 In thinking about how to continually engage students and to make sure all learners see themselves in the curriculum, One World Middle School acknowledges and celebrates the various cultural, racial, ethnic, and gender diversity that comprises the school community through their first unit of the year. One World Middle School in all grades and content areas uses the first unit of the year which is called Unit 0 to focus on student identity and understanding the child. In addition, there are weekly meetings programmed called Developing the Whole Child (DWC) where teacher teams create action plans for ambassadors who may need support academically, socially, or emotionally. These strategies are often grounded in the Pre-referral Intervention Manual (PRIM) or Adaptation for Adolescents with Autism and Asperger's manual (A-5) to tailor the support to effectively meet the needs of the student. The teams continually discuss the outcomes of the strategy with each other as well including the student for their input. Teams reflect on progress as they monitor the impact on student learning.  
 

 At One World it is evident that they are thoughtful about the language they use with their students and in their space. It is a common belief that the process for creating an atmosphere of mutual respect and trust that equitably supports the academic and personal growth of students and adults begins with language which is clearly intertwined in the fabric of the school. The school truly believes that the words students encounter on daily basis, they will in turn embody. Thus, students are addressed as ambassadors because they are encouraged and provided with opportunities to be agents of change. The word ambassador coincides with the school's construction as they operate under a United Nations model where ambassador voices are influential in the way the school functions and the changes that occur. An example of a system in place is the school's embassy delegates which include members from all grades that meet biweekly with the principal. These meetings range from discussing issues and making suggestions, to planning events such as LGBTQ Coming Out Day, Autism Awareness Day, or Breast Cancer Awareness Day which is driven by the consensus of the student body. These student-centered planned events foster a level of self and others. Every morning during morning assembly the school gathers together to proclaim as one voice, ""I want today to be one of the greatest days of my life"" to establish a positive feeling and tone for the day. As a mantra, to work and live by, the school leadership believes and promotes that each year they must create a learning environment and community that is more impactful than the previous year. 
 

 It is without a doubt, that the ambassador's academic outcome is at the core of One World Middle School's instructional focuses and practices. They have demonstrated that ambassadors learn best when they have an opportunity to collaborate with peers and then make their thinking visible. Practices in place to support that students constantly engage with other students start with the structure of how the room is designed. At One World all classes are designed to accommodate a variety of grouping configurations. These configurations support opportunities over the course of a lesson for ambassadors to engage in turn and share and work on group assignments as well as projects in a seamless manner. Teachers have collaborated on phased protocols to promote partner discussions. As a best practice, all classrooms are equipped with two certified teachers to ensure that on a daily basis all needs of their children are met. Teachers take a less active role in talking in the classroom being mindful of the fact that the one that is speaking, is the one doing most of the learning. Therefore, in a One World classroom ambassadors are often engaged in discussions about the planned tasks, and activities in an effort to meet the day's objective where the teachers utilize a series of questions or prompt to cognitively challenge students thinking to either spark ambassador questions or to promote metacognition. 
 

 Ambassadors making connections and providing opportunities is an extremely critical component of the school. For example, the entire student body annually engages in Science Day where ambassadors take their learning to design experiments and projects. Additionally, all students participate in a school-wide dissection that is tiered by grade to investigate the systems, and scientific benefits to society and to ponder the ethical consequences. All ambassadors in the 8th grade take high-school level courses (Living Environment, US History, English 11, Algebra). As a result, 8th graders start their high school careers a grade ahead which allows them to have access to a college course for free or graduate a year early. Students at One World have the opportunity to visit colleges they have expressed interest in that are located locally and across state lines. Some of the colleges toured include Boston College, Harvard, Yale, SUNY Oneota, Howard, and many others. From touring colleges students who have graduated have enrolled in colleges such as Boston College and other SUNY programs. Through their expeditionary trips to monumental sites in history, like Selma, Gettysburg, and The Capitol ambassadors have been able to make connections to topics discussed in their classes.
 

 Other practices that are embedded at One World include a dedicated department and common planning time for teachers to meet, plan and revise units that are tailored specifically for the students they teach. Student-initiated clubs and student electives where ambassadors get an opportunity to express their interests and preferences for electives in a series of exit interviews."
Barr Foundation,746,Opportunity Academy at Holyoke High School,Holyoke,Massachusetts,Holyoke Public Schools,"Project-based learning with transformative learning experiences
Primary person model
Post secondary success planning with students"
Center on Reinventing Public Education,746,Opportunity Academy at Holyoke High School,Holyoke,Massachusetts,Holyoke Public Schools,"Students enrolled at Opportunity Academy are presented with three different pathways to finish their high school degree: competency-based learning provided in house at Success Center, a dual enrollment program at the local community college, and personalized learning experiences through a partnership with a local private institution. Opportunity Academy is re-thinking the alternative education space by providing multiple learning pathways to meet every student's individual needs."
NewSchools Venture Fund,723,Oxford Day Academy,East Palo Alto,California,N/A (single site charter),"ODA operates on two central guiding beliefs: (1) all students are capable of achieving rigorous college preparatory academics when personalized learning is coupled with comprehensive socio-emotional supports, and (2) social justice-oriented project-based learning helps students to develop the skills required to become engaged, productive members of our 21st century society."
Mastery Transcript Consortium,332,Pathways High,Milwaukee,Wisconsin,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Transcend,335,Pequea Valley High School,Kinzers,Pennsylvania,Pequea Valley School Dsitrict,From Sujata: I visited them and they're strong on all the leaps. They are a rural-ish district. They do an interesting combination of agricultural science and STEM; they also have a pilot CORE progra that is hands-on maker learning for those students most likely to drop out; they have built an internship program that intentionally creates equitable access to social capital.
Mindcatcher,796,Perea Elementary School,Memphis,Tennessee,"Schools of Perea (Charter Management Organization)
Memphis-Shelby County Schools (school district)",Perea Elementary is weaving social emotional learning throughout every aspect of the student experience. All teachers are trained on using SEL strategies in their lesson planning and classroom routines and systems. Their team includes several social workers who support students' emotional well being and collaborate with teachers and parents. They also have dedicated space in their building for addressing mental health. They set high expectations for academic outcomes while also prioritized student and staff wellness.
Ohio Department of Education: The Innovation Lab Network,760,Perry Ingenuity Institute,Perry,Ohio,Perry Local Schools - Lake County,"Perry Ingenuity Institute was designed with 3 driving questions:  How can students build Language and Math Skills through active learning in a setting that make learning winnable?  How can students be involved in highly motivated learning that make school a place of Joy where they can become the best version of themselves?  How can students build relationship with each other and teachers over time?

Students spend part of their day working in customized groups with teachers, peers, or individually on Language Arts and Math skills at their own level.  Learning time is active and engaging.  Students begin and end each day working on student generated learning and creating/caring for our learning environment.  The institute is designed so students stay from 1st through 4th grade with their same peers and teachers."
NewSchools Venture Fund,724,Phalen Leadership Academy @ 103,Indianapolis,Indiana,Phalen Leadership Academies,"Our ultimate vision is that our scholars master key academic skills, and demonstrate strong character, as exhibited by: honesty, service to others, a superior work ethic, and a strong vision for and belief in their futures. We believe that with the right education, all children can ​fulfill their ​tremendous ​innate potential​."
Mastery Transcript Consortium,564,Phillips Academy,Andover,Massachusetts,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Transcend,775,Phoenix Coding Academy,Phoenix,Arizona,Phoenix Union High School District,"Phoenix Coding Academy is a high school focused on computer coding and mutliple technology pathways through an inquiry-based and project-based instructional design.

Community and industry partnerships facilitate guest instructors and workshops, field trips, mentors and job-shadowing, and internships for students and staff. CTE pathways such as software development (game, app, and web development) and computer networking and cybersecurity may lead to select industry certification and college dual enrollment, and will prepare students for success in college, career, and life."
NewSchools Venture Fund,627,Phoenix International Academy,Phoenix,Arizona,N/A (single site charter),"Phoenix International Academy provides a personalized, competency based education, coupled with project based learning.  Students get what they need in order to accelerate their learning and also have the opportunity to apply their learning."
NewSchools Venture Fund,444,PilotED Bethel Park,Indianapolis,Indiana,pilotEd,"pilotED empowers the way students see themselves and the world around them using a model stepped in identity development, civic engagement, and academic excellence."
NewSchools Venture Fund,725,Pinnacles Prep,Wenatchee,Washington,N/A (single site charter),"Our Model is Place-based education focused, and dedicated to DEI and Whole Child."
MiCoOp,652,Portland High School,Portland,Michigan,Portland Public Schools,"Portland High School moved to a 4×4 block schedule for the 2022-23 school year. A personalized hour, called Plus 1 (+1), is scheduled for the last part of the day to allow students to explore careers, engage in work-based learning, get involved in community partnerships, or seek additional help to catch up if needed. These credit/no-credit experiences allow students to investigate career and personal interests without the fear of traditional grading consequences like GPA. Plus 1 hour has been intentionally structured to provide additional opportunities for all students to receive increased academic support (Tier 1 or Tier 2) without impacting their graduation status."
MiCoOp,649,Portland Middle School,Portland,Michigan,Portland Public Schools,"To reduce the number of failed classes, missing assignments, and low attendance, Portland Middle School created a more structured transition from elementary school to middle school. All sixth-graders start and end their day with their homeroom teacher, have physical education, and stay with the same core teachers all year long. During the intervention/enrichment block on the schedule, students get what they need…either support in math and/or reading or an enrichment opportunity. A common planning time for sixth-grade teachers allows time for collaboration and reflection on current practices and results. Sixth-grade students also start the school year one day before the rest of the middle school."
Big Picture Learning,337,Positive Outcomes Charter School,Camden,Delaware,Positive Outcomes Charter School,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Anonymous,648,Praxium Mastery Academy,Idaho Falles,Idaho,Bonneville School District,Student involvement and personalized learning.
Moonshot EdVentures,638,Prospect Academy,Arvada,Colorado,N/A,"The school centers the experiences and needs for neurodiverse students but is inclusive for all kids. There is high parent and family engagement. Students receive intensive mental health supports (2 counselors for 60+ students), movement and SEL courses each morning, and teachers trained in Precision Teaching. "
NewSchools Venture Fund,165,Purdue Polytechnic High School - Englewood,Indianapolis,Indiana,Purdue Polytechnic,We provide real-world experiences that are free of classroom boundaries. Our students are exposed to a variety of industries and experiences that give them the opportunity to explore their interests and discover their passions. They engage in work-based learning opportunities and hands-on projects that solve real-world problems in their communities.
NewSchools Venture Fund,766,Purdue Polytechnic High School - North,Indianapolis,Indiana,Purdue Polytechnic,We provide learning experiences through projects and assess students by outcomes. We engage with the community as our authentic audience and set out students on a path to post-secondary success.
NewSchools Venture Fund,767,Purdue Polytechnic High School - South Bend,South Bend,Indiana,Purdue Polytechnic,We engage students in projects through PBL and Design thinking assessing and providing feedback using outcomes aligned to the most important state standards.
Transcend,776,PXU City,Phoenix,Arizona,Phoenix Union High School District,"At PXU City, the city is your classroom. Students at PXU City can earn course credits in-person from their choice of any campus in the district, via on-line courses, or through internships and work experience. Students work with their PXU City counselor and develop personalized plans addressing areas of interest, course options, and class times/locations. For example, a student may not start classes until 10:00 AM, and/or they may take a course online at 9:00 PM. They may take general education classes or classes that are more specific to a career interest.

The school is designed to maximize students' active self-direction, customization, and choice while also retaining the benefits of a caring community and close relationships with adults and peers.

"
Transcend,495,Revolution School,Philadelphia,Pennsylvania,,"At Revolution School, high school students co-create their academic journeys through their experiential learnign model and community parnterships. Revolution School connects students to problem solvers, innovative leaders, and creative thinkers and prepares them to one day step into those roles themselves."
KnowledgeWorks,754,Rio Rico High School,Rio Rico,Arizona,"Santa Cruz Valley Unified School District N0. 35. in Rio Rico, AZ","At Rio Rico High School, located in the Santa Cruz Valley Unified School District No 35, in Rio Rico, Arizona, students and staff all know how to ""REP”.  Based on the core values of Relationships, Excellence, and Pride the faculty embraces creating the best learning environments possible for their students.  Three years ago, as the school began thinking more critically about equitable outcomes for all learners, they expanded and deepened opportunities for students to own their learning.  Flexibility with time resulted in RRHS allowing students to build individualized learning schedules depending on their interests and situation. All grade levels offer three distinct options - face to face instruction, distance learning, and flex-scheduling - to provide students agency when deciding on the environment that best meets their needs. Wednesdays provide intervention and enrichment services for students and personalized professional development for staff.
 
In anticipation of transitioning to a standards-based system for reporting on learning, the principal facilitated a voluntary book study on Grading for Equity, by Joe Feldman.  Avant-garde teachers now implement more equitable grading practices to their level of comfort and understanding.  This behavior has grown the network of interested teachers and expanded the grass roots of implementation in advance of a full transition in SY24.  

Administration also emphasizes student voice.  Beyond creative student scheduling, a student senate meets regularly to offer insight and guidance on decision-making, student artwork beautifies the campus in multiple areas, and a student cheering section actively drives school spirit!  Through the combination of voice and choice, the students REP in palpable ways.
 
With a focus on an instructional shift to a more student-centered environment, flexible seating, distance/flex scheduling, SOPs, and student voice remain the primary strategies advancing the school-wide mantra ""We REP!"" 
"
NewSchools Venture Fund,726,Rise STEM Academy for Girls,Lexington,Kentucky,Fayette County Public Schools,"Project-based, striving to be interdisciplinary, focused on curricula that represents our scholars (we are the only school in the district to use open resources as our main curricula - we do not use the district curricula."
Transcend,764,Robert F. Smith STEAM Academy,Denver,Colorado,Denver Public Schools,"The HBCU-style high school is founded upon the principles/best practices of HBCUs; They have a focus on authenticity, relationships and community and have a clear framework of expectations that are grounded in the principles of restorative practices and liberatory design. Their academic approaches include: a comprehensive STEAM approach, project-based learning, and enrichment courses. "
NewSchools Venture Fund,727,Rodriguez Elementary,San Marcos,Texas,San Marcos Consolidated Independent School District,"Project-based personalized learning is the foundation for all learning at Rodriguez Elementary. Driving pillars of the model include equity through individualized learning, inclusion for all students, and justice through honoring and building upon cultures, heritages, and family values represented in the student body. "
Barr Foundation,785,Rogers High School,Newport,Rhode Island,Newport Public Schools,"Comprehensive school transformation
Teacher collaboration and teaming
Multilingual learners' program
Student empowerment and voice activitation"
NewSchools Venture Fund,172,Rooted School,New Orleans,Louisiana,Rooted School,"We exist to see our students academically prepared and financially free. Some students will arrive at financial freedom with a college next to their name, others without. Our job is not to decide how they will get there but to provide them with the options to get there. We teach students how to learn in an ever-changing world, develop their skills in the most in-demand job sectors and create technology that is transformational. Our first school offers opportunities for students across the digital sector. Many students will graduate with highly sought-after jobs in technology—paying well above the local living wage. Many students will go on to college with a sense of purpose and a relevant context for being there. All will leave with a job offer in one hand and a college acceptance letter in the other."
Rooted School Foundation,172,Rooted School,New Orleans,Louisiana,Rooted School Foundation,"Rooted School’s curriculum, pedagogy, programmatic offerings and school environment are all characterized by constant innovation and alignment to the school’s unique mission of closing the 228 year racial wealth gap and providing all students a personal pathway to financial freedom. The opportunities provided to Rooted students often do not exist at other schools, or they are limited to few participants. Rooted believes that all students should have equal access to programs that lead to financial independence. 
 

 1. 100% of Rooted School students are enrolled in technology-centered courses that are oriented towards students earning Industry Based Credentials. Students have the option take classes in 3D-printing, Adobe Illustrator and Photoshop, Unity Virtual Video Game Design, Comp TIA+, and others. Students can earn up to 8 industry based credentials during their time at Rooted. 
 

 2. Students participate in self-directed learning and project based learning in all classes. Self-directed learning modules give students the opportunity to move at their own pace, and for teachers to provide students individualized instruction. Students also practice time-management skills. Project based learning experiences mimic the types of challenges and projects students will experience once they graduate. 
 

 3. Rooted School uses a competency based grading system. Students are graded on their demonstration of mastery of the subject matter, and have the opportunity to resubmit assignments to earn a higher grade. This grading system mimics how students will be expected to approach their tasks once in a career. 
 

 4. Students apply the knowledge they learn in their technology courses to internal and external internships. Internal internships include a digital media internship and IT help desk internship. Students get paid to use the skills they learned in their courses, while also preparing for their future career. 
 

 5. Rooted School is facilitating a direct-cash transfer program in collaboration with the Center for Guaranteed Income Research at the University of Pennsylvania. During the 22-23 school year, 88 students will participate in a Randomized Controlled Trial in which 44 students in a treatment group will receive $50/week for 40 weeks. The UPenn team will evaluate the impact of the cash transfers on students’ perceived financial wellbeing, attendance, and academic achievement. This program seeks to explore the structures that schools can implement that advance equity, as well as students’ well-being. The results of this study will open the door to conversations regarding larger policy and budgetary shifts within education."
NewSchools Venture Fund,443,Rooted School Indianapolis,Indianapolis,Indiana,Rooted School,"Our mission is to provide students personal pathways to financial freedom by increasing the number of students who graduate from high school, college or technical school ready to compete in the high growth, high wage industries starting with tech. "
Rooted School Foundation,443,Rooted School Indianapolis,Indianapolis,Indiana,Rooted School Foundation,"Rooted School’s curriculum, pedagogy, programmatic offerings and school environment are all characterized by constant innovation and alignment to the school’s unique mission of closing the 228 year racial wealth gap and providing all students a personal pathway to financial freedom. The opportunities provided to Rooted students often do not exist at other schools, or they are limited to few participants. Rooted believes that all students should have equal access to programs that lead to financial independence. 
 1. 100% of Rooted School students are enrolled in technology-centered courses that are oriented towards students earning Industry Based Credentials. Students have the option take classes in 3D-printing, Adobe Illustrator and Photoshop, Unity Virtual Video Game Design, Comp TIA+, and others. Students can earn up to 8 industry based credentials during their time at Rooted. 
 2. Students participate in self-directed learning and project based learning in all classes. Self-directed learning modules give students the opportunity to move at their own pace, and for teachers to provide students individualized instruction. Students also practice time-management skills. Project based learning experiences mimic the types of challenges and projects students will experience once they graduate. 
 3. Rooted School uses a competency based grading system. Students are graded on their demonstration of mastery of the subject matter, and have the opportunity to resubmit assignments to earn a higher grade. This grading system mimics how students will be expected to approach their tasks once in a career. 
 4. Rooted School is facilitating a direct-cash transfer program in collaboration with the Center for Guaranteed Income Research at the University of Pennsylvania. During the 22-23 school year, 88 students will participate in a Randomized Controlled Trial in which 44 students in a treatment group will receive $50/week for 40 weeks. The UPenn team will evaluate the impact of the cash transfers on students’ perceived financial wellbeing, attendance, and academic achievement. This program seeks to explore the structures that schools can implement that advance equity, as well as students’ well-being. The results of this study will open the door to conversations regarding larger policy and budgetary shifts within education."
Anonymous,658,Ross Elementary,Odessa,Texas,Ector County Independent School District,"Ross Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. Under Principal Susan Hendricks, Ross moved from being an “F” school in 2019 to receiving a “C” overall and a “B” for growth in 2021–22. The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, or MCL, an excellent who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. Under Hendricks, Ross creatively used resources to take this role schoolwide and give MCL teaching teams the support of advanced, higher-paid paraprofessionals, to provide more small-group instruction. The school culture has shifted as well, leading to strong teacher retention rates after the school previously had very high turnover—all helping to provide students with greater access to excellent instruction."
Anonymous,639,"Roxbury Roots Montessori, Inc.""",Boston,Massachusetts,,Great use of Montessori coupled with authentic learning environment that represents the background of its students and families
The Center for Learner Equity,679,Ruby Bridges Elementary School,Woodinville,Washington,Alameda Unified district,"Ruby Bridges is a school that focuses on disrupting ableism and promoting inclusivity and its practices and among its staff. The school utilizes flexible staffing, scheduling, and use of physical space to provide individualized yet fully-inclusive learning experiences to all students."
Big Picture Learning,346,San Diego Met High School,San Diego,California,San Diego Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
