"nominator","school_id","school_name_n","school_city_n","school_state_n","school_district_n","nominator_reason_n","year"
"The Learning Accelerator",303,"Living School","New Orleans","Louisiana","Living School","This school is uniquely designed around a community governence model with 3 branches: student council, family council, and staff council. The model was inspired by many other equity-focused models, designed around the principles of equity, intentional biodiversity, democratic community, and real-world work. The leaders are also committed to sharing all of their resources in an open-source way.",2021
"Arkansas Office of Innovation",304,"Lonoke High School","Lonoke","Arkansas","Lonoke Publlic School District","LHS has a vision that embraces the welfare of every student. The Vision statement,"""" The Lonoke High School Envision Academy will be a premier educational institution and a cornerstone of emerging economic opportunities producing a twenty-first century workforce"""", emphasized the need to prepare students for anything the future holds. LHS Mission statement, The Lonoke High School Envision Academy prepares every student for careers to empower them as knowledgeable and engaged citizens, innovators, and drivers of a robust economy also emphasizes how important it is that all students be prepared for their futures.  LHS has developed programs that encourage students to become self-directed learners, engage with their communities, and consider the direct connections the workforce has to their present learning goals. Empowering learners is what LHS does best.",2021
"Big Picture Learning",305,"Mapleton Early College High School","Thorton","Colorado","Adams 12 Five Star Schools","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Anonymous",306,"Marion P Thomas Charter School","Newark","New Jersey","Marion P Thomas Charter School","connect families with community resources and create original programming that caregivers need for their children to thrive in both school and life",2021
"Arkansas Office of Innovation",307,"Marshall High School","Marshall","Arkansas","Searcy County School District","MHS concentrates on being sensitive to and attentive to community and each student's needs as students build skills necessary to succeed in their college/career pathways.  Using a flex-mod schedule helped the school implement a scheduling system that teachers utilized to flex students into their classes or flex their advisory students to classes where additional help was needed. Advisory time is an important part of MHS plan. Teachers are assigned 12-15 students. During this time teachers look over the student' CANVAS account and have conversations about their grades, assignments, and assign goals.  Forms are scanned and emailed to parents weekly and mailed as progress reports every 4 Â½ weeks. Students and their advisory teachers also keep a detailed folder which includes student tracking of progress toward graduation. CANVAS is the LMS (Learning Management System). Course content was added throughout the year to allow students to work at their own pace. MHS implemented a 70% minimum on every assignment and test. Students were allowed to work at their own pace throughout the year.  Strong emphasis on community involvement through Friday talks from various community members, and opportunities to volunteer both on and off campus. SEL skills necessary for career success are worked on school wide throughout the school year.  Student voice helped shape changes in the flex mod schedule and the amount of face to face time spent with teachers. MHS committed to systematically building a strong positive culture that incorporates student and staff voice.",2021
"The Learning Accelerator",308,"Matchbook Learning at Wendell Phillips","Indianapolis","Indiana","Matchbook Learning Schools of Indiana","The model has taken the longest failing school and highest poverty school (98% F/R) in Indianapolis and in year 1 of restarting with the Matchbook model increased in letter grade based on the state assessment from an F to a D for the first time in the history of the school.  The school serves 98% F/R Lunch, 36% English Language Learners, 46% Hispanic, 44% Black, 4% Multiracial, and 16% of our students are either homeless or foster.  We serve an incredibly at risk population that was hit hard economically and with sickness from the beginning of the pandemic.  Still because our students were used to our blended model and competency based model, 86% of the students regularly participated online while we were fully virtual made growth gains according to iReady and Performance Series diagnostics.  Currently 75% of our students have returned for in person instruction 45% every week and 30% every other week in a hybrid model.  The remaining 25% are fully virtual. .   Prior to the pandemic we made great cultural gains with decreasing suspensions annually and 0 expulsions (which is also a first for the school) since Matchbook restarted the school. Our internal data from last year was the best it has been, unforunately that was year 2 of the restart and the same year the pandemic shut us down mid-spring semester so there is only internal data and no state data for last year.",2021
"Big Picture Learning",309,"Met Sacramento High School","Sacramento","California","Sacramento City Unified School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Big Picture Learning",310,"Methow Valley Independent Learning Center","Winthrop","Washington","Methow Valley School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Getting Smart",311,"Mountain Academy at Teton Science School","Jackson","Wyoming",NA,"Teton Science Schools (TSS), in Wyoming, is on the leading edge of Place-Based Education. They have a wide range of school and professional development programs, and their students love it. Students at all TSS schools have â€œHands to Workâ€ school community responsibilities. At Teton Valley Community School, students can be found caring for the chickens, goats and alpacas as well as tending to the garden and greenhouse.",2021
"Big Picture Learning",312,"Nashville Big Picture High School","Nashville","Tennessee","Nashville School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Education Reimagined",313,"Nawayee Center School","Minneapolis","Minnesota","Charities Review Council","Nawayee Center provides transformative education, grounded in indigenous life-ways and love of learning. Many students choose Center School because they value the close relationships with educators, the emphasis on Indigenous education and the various enrichment opportunities.   Q&A w/ School Founder: https://education-reimagined.org/conversation-joe-rice/",2021
"Anonymous",314,"New Orleans Accelerated High School","New Orleans","Louisiana","Educators for Quality Alternatives","New Orleans Accelerated High (NOAH) is an alternative school model focused on personalized supports for students and driven by a mission to """"provide struggling students with the skills, confidence, and experiences necessary to succeed in the education and career paths of their choice... built on the belief that alternative schools should not punish or """"fix"""" young people; they should be vibrant, flexible, and restorative environments that support students in being their best selves."""" They seek to provide wrap-around services and quality career readiness and work-based learning opportunities.",2021
"Anonymous",315,"New Orleans Charter Science and Mathematics High School (SciHigh)","New Orleans","Louisiana","New Orleans Charter Science and Mathematics HS","SciHigh is a STEM-focused charter high school that has developed from a more traditional model to a career-pathways focused model through which all students choose a career pathway and graduate ready for college entry or entry into high-wage, high-demand STEM fields with industry-based credentials earned in high school. They have added yearly STEM themes that help to coordinate project-based learning across the school, and value a student-centered and equitable approach.",2021
"Big Picture Learning",316,"New Village Girls Academy","Los Angeles","California","Los Angeles Unified School District","New Village Girls Academy is an all girls school that is committed to providing holistic support to all of the students and teachers they serve. This small school works with a specific population of students who were not served well by larger district schools. The school model deeply values relationships between students and teachers. These deep relationships allow staff to develop and implement individualized learning plans that meet students where they are. These individualized learning plans are supplemented with meaningful internship opportunities, as well as daily half-day advisory groups. Bolstering the school culture that values health and wellness, students and teachers engage in school-wide meditation two times a day in order to support mindfulness and self-regulation / co-regulation between students and teachers. Our grant is supporting the improvement of the mindfulness PD teachers receive to support students' and their own wellbeing.",2021
"Anonymous",316,"New Village Girls Academy","Los Angeles","California","Los Angeles Unified School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Big Picture Learning",317,"Newark East Side High School","Newark","New Jersey","Newark Public Schools","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Big Picture Learning",318,"Newburgh Free Academy","Newburgh","New York","Newburgh Enlarged City School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"The Learning Accelerator",319,"Nipmuc Regional High School","Upton","Massachusetts","Mendon-Upton Regional School District","They have done a lot of work in the past few years to rethink the student experience. This has included more project-based assessment, adopting a profile of a graduate, and embracing a maker curriculum.",2021
"Big Picture Learning",320,"North Bay Met Academy","Windsor","California","Windsor Unified School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Anonymous",321,"North Elementary School","Morgantown","West Virginia","Monongalia County Public Schools","They do a really good job promoting social emotional learning and project-based learning and make every effort to even engage the youngest children in making a positive difference in the community.",2021
"Idaho STEM Action Center",322,"North Idaho STEM Charter Academy","Rathdrum","Idaho","North Idaho STEM Charter Academy","North Idaho STEM Charter Academy (NISCA) is unlike any other school in Idaho that I am aware of, in that it is almost solely focused on student academic success. By that I mean it doesn't offer busing or provide student lunches, there are no extracurricular activities - sports or otherwise - so students don't leave school early to attend away contests, and there are no assemblies to disrupt the regular school day. While at first glance this might seem to be somewhat grim, the concept appears to be quite successful as is evidenced by the fact that enrollment/demand continues to increase, students are exceedingly well prepared for college and career, staff turnover is minimal, and both parents and community partners are enthusiastic supporters of the school and its emphasis on STEM education.   With a very business-like orientation, students come to """"work"""" from 8:00 to 4:00, Monday through Thursday and they all wear school-approved uniforms, are expected to have a strong work ethic, self discipline and are held accountable for the choices they make. Teachers do not accept late work from students at any grade level or in any subject area. Mornings are spent in traditional academic subjects, while every afternoon students are engaged in a variety of projects, both individually and in groups, to apply their learning. This model has allowed students at NISCA to excel in STEM to an unprecedented level for a small, rural school. Accomplishments include working with NASA to successfully launch a nano satellite and a trip to Washington DC to present to NASA engineers, senators and congressmen. The school also routinely performs well in FIST LEGO League, FIRST Tech Challenge, Mars Rover and MATHCOUNTS, among other state and national competitions. While NISCA may not be for everyone, the students that do attend are as engaged and enthusiastic about their learning as I have seen anywhere.",2021
"Open Way Learning",323,"Northeast Academy for Aerospace and Advanced Technologies","Elizabeth City","North Carolina","Northeast Academy of Aerospace & Advtech","NEAAAT (http://www.northeastacademy.org/) thrives on innovation. The school sits on the campus of Elizabeth City State University and has much more of a """"college feel"""" than what one typically sees at a traditional high school. It uses an approach that fuses STEM, Design Thinking, and PBL to help students develop the skills, knowledge, and dispositions that are directly linked to what the workforce of today needs - locally and globally (as validated by their commitment to a Business Alliance of over a dozen local industry partners). As their name implies, the school makes an explicit commitment to technology and aerospace, taking advantage of a region where the aerospace industry is a major employer. Their commitment to having students work with experts in the field is an exemplar for schools around the country!",2021
"Anonymous",324,"Northwest Passage High School","Coon Rapids","Minnesota","Northwest Passage High School","Focus on mindset and relevant learning over pure content. Their open-walled focus comes from their foundation as an experiential, project-based learning environment. Twenty times a year, young learners take part in overnight expeditions that, as exemplified by just one learner, can include state park backpacking trips, MAAP STARS Leadership retreats, YMCA Youth in Government experiences, an autism conference in Iowa, Women in Sciences expeditions to New Orleans, and more.  Expeditions out into the world are but one modality through which young people can make their learning personalized, relevant, and contextualized. When young learners aren't traveling, they are exploring their unique interests and passions on campus. Educators are trained to look for the â€œlittle gemsâ€ each of their learners leans intoâ€”like reading books or public speakingâ€”so they can integrate broader learning experiences through those modes of learning and expression.  While these interests and learning strategies are being discovered, learner agency is being built. NWPHS learners are expected to do far more than just obtain the credits and grades they need to graduate. Instead, they are given the space to learn who they are and how they can direct their own learning, which results in the creation of personalized learning plans. Each plan includes independent project ideas, seminars or workshops the young learner plans to attend, their expedition schedule, and personal goal statements. Overall, these plans show young people how they can take advantage of what's available to them here and now, rather than waiting for that next phase, be it college or career, where life supposedly begins.  A learner's self-confidence grows exponentially through NWPH's many supportive structures, including their focus on advisories. When a learner first steps foot inside NWPHS, they are welcomed by familiar faces each morning, creating a socially embedded culture that makes room for taking healthy risks and judgment-free failure. This culture allows learners to develop their personalized leadership styleâ€”enabling quiet leaders to lead through action and motivational leaders to make their contribution by handing out words of encouragement.",2021
"Anonymous",325,"Nuvu Studio","Cambridge","Massachusetts","Unsure","NuVu High School takes forward our innovative curriculum and creates a pathway for students whose needs can be better served in a hands-on environment with global connections. The high school program expands on NuVu's rigorous studio-based curriculum, and builds on partnerships with companies, non-profits, academic institutions, and researchers situated in the innovation hub of Boston-Cambridge. The is also a NUVU virtual school, claiming to be the first virtual studio-based school in the world for students ages 13-18 years.",2021
"Big Picture Learning",326,"Odyssey STEM Academy","Lakewood","California","Paramount Unified School District","At Odyssey, young people are embedded in a flexible learning environment where community, curiosity, and creativity are unrestricted. They can imagine, design, and pursue learning pathways that are unique to their individual passions and engage in deeply personal learning experiences every day. Young learners (and their families) own the learning process.  From day one, families are enrolled through an intentional onboarding program. Family members explore and communicate their hopes and dreams for their kids, and the role they hope to play in seeing those dreams fulfilled. Young learners build a flexible learner profile that reveals their interests, aspirations, and challenges. With input from the whole family, a blueprint is created for connecting young learners with personalized, relevant, and contextualized opportunities.  In practice, this blueprint might land a young learner out in the community at a local food bank where socially embedded learning through conversations with staff, volunteers, and patrons is abundant. Within this open-walled experience, the young learner is deeply engaged in social, nutritional, and philanthropic studiesâ€”where the high-level, competency-based outcomes they develop carry over to whatever sparks the young learner's curiosity next.  Starting with general interests and passions rather than specific careers (or content standards) allows Odyssey learners (and their advisors) to gain exposure to once unknown possibilities. As they build their knowledge, skills, and dispositions within this learner-centered framework, they continuously develop a strong sense of learner agencyâ€”embracing their innate independence and leadership to explore what the world has to offer and how they can contribute to their community.  Learning at Odyssey meets every young learner where they are, which organically leads to a one-of-a-kind â€œrecipeâ€ of learning that is dynamic and palatable. All of this has been possible since their first year of operation, thanks to the unique combination of ingredients Odyssey leaders know makes for authentic and rich learning. By piloting and iterating on the flyâ€”knowing growth only comes from actionâ€”the adults and young people in this Los Angeles-based learning environment are showcasing how transformational learner-centered learning can truly be.",2021
"Anonymous",326,"Odyssey STEM Academy","Lakewood","California","Paramount Unified School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"The Learning Accelerator",327,"Olympic Hills Elementary","Seattle","Washington","Seattle Public Schools","Diverse, innovative, and joyful!",2021
"Anonymous",328,"Open School East","Portland","Oregon","School run by Open School 501c3; part of Portland Public Schools","Open School is founded with equity, and in particular racial equity at the center of its model. Open Meadow, it's predecessor was the first alternative school in Portland, OR and Open School has deeply listened to and adapted its model from listening to community to deeply center learner agency, identity development, and connection to community. Students work in advocate groups (student:teacher ratio 9:1), they focus on 4 Rs (relationship, rigor, realness, and relevance) drawn from Courageous Conversations work and full model embeds deep parent and family engagement (home visits,  family partnerships)",2021
"The Learning Accelerator",329,"Opportunities Academy","New Orleans","Louisiana","Opportunities Academy","Opportunities academy provides college-aged students who have intellectual and developmental disabilities the skills and knowledge they need to succeed long term in work and life. The school provides students skills like how to get and keep a job; create a support system with local agencies; create lasting relationships; grocery shop; access public transportation; and more!",2021
"Anonymous",330,"Ottawa High School","Ottawa","Kansas","USD 290 Ottawa","Ottawa High School is in the Kansas State Department of Education's School Redesign cohort.  They are beginning their fourth year as a Gemini I school.  Ottawa HS's CTE programs are exemplary.  Ottawa HS students have many different options when it comes to career exploration and preparation.  The school has tremendously strong relationships between community organizations, businesses, and a satellite campus for a community college.  These relationship result in high-level work-based and project-based learning opportunities.  Ottawa HS focuses heavily on social-emotional learning with an advisory program and a flexible schedule.  I'm excited about their vision of every Ottawa HS graduate also graduating with an associate's degree, taken in a program where students don't have to pay for college courses.",2021
"CAST",331,"P.K. Yonge","Gainesville","Florida","P.K. Yonge is affiliated with the College of Education at the University of Florida","The mission of P.K. Yonge Developmental Research School, since its establishment in 1934, has been to design, test, and disseminate innovations in K-12 education through serving a diverse student community.",2021
"Anonymous",332,"Pathways High","Milwaukee","Wisconsin","Pathways High","Real World Learning Model comprised of mutually reinforcing components: Interdisciplinary Seminars, Foundational Skills, and IMPACT Experiences with industry/community partners which foster student' development as whole people. Socio-emotional, physical, academic, and 21st Century, EMPOWER, skill development is accomplished in a real world context.",2021
"Anonymous",333,"Paulo Freire Freedom School -Downtown","Tucson","Arizona","CITY Center for Collaborative Learning","PFFSD is an intentionally small school committed to the transforming the lives of students through project-based learning, an advisory program,  competency-based assessments, student demonstrations of learning, placed-based learning, social-emotional learning, and a social justice lens.  Students and families are known well, there are many opportunities for parent engagement, and community partnerships create additional hands-on learning opportunities.",2021
"Anonymous",334,"Paulo Freire Freedom School -University","Tucson","Arizona","CITY Center for Collaborative Learning","PFFSU is a fully inclusive school with a focus on competency-based assessments, project-based learning, social justice, place-based education, hands on and experiential learning- including weekly field trips into the community, a strong social-emotional learning program rooted in small advisories, student demonstrations of learning, and rigorous curriculum that is meaningful and authentic.",2021
"Anonymous",335,"Pequea Valley High School","Kinzers","Pennsylvania","Pequea Valley School District","They do an interesting combination of agricultural science and STEM; they also have a pilot CORE program that is hands-on maker learning for those students most likely to drop out; they are building an internship program that intentionally creates equitable access to social capital.",2021
"Duquesne University School of Education",336,"Pittsburgh Colfax K-8","Pittsburgh","Pennsylvania","Pittsburgh Public Schools","Pittsburgh Colfax K-8 is a neighborhood school that represents one of the most diverse school spaces in our region. Over the last three years that I've gotten to know more about this school and the great experience that they provide for their students, it has become clear that the way that their school approaches student-centered learning is one that should be an example for the region. Pittsburgh Colfax reflects a commitment to student diversity, whether that be due to race, ethnicity, ability, gender, gender expression, English language proficiency, or other social identities. They have provided a pathway for students to access the curriculum that reflects cutting-edge approaches to responding to learner variability.",2021
"National Center for Learning Disabilities",337,"Positive Outcome Charter School","Camden","Delaware","Big Picture Learning","They serve really struggling students with a very innovative Big Picture framework. They particularly recruit students with disabilities and other students who face systemic obstacles to learning. They are humble and open to suggestions and don't make excuses, exposing every student to 21st century learning.",2021
"Big Picture Learning",337,"Positive Outcomes Charter School","Camden","Delaware","Positive Outcomes Charter School (Charter)","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"iLearn Collaborative",338,"Prairie School","Raymer","Colorado","Prairie School District","Thoughtful well-planned implementation of blended learning and use of digital content (OER) which lead to more seamless transition to full-time remote learning in the spring 2020.  Leadership modeling and participation alongside teachers throughout the process.",2021
"Branching Minds",339,"Provident Heights Elementary","Waco","Texas",NA,"This school has a large focus on improving school climate and promoting social-emotional learning. They've created Friday Choice Clubs which all students picks a club to join and given the opportunity to engage with peers and teachers in a non-academically focused environment. It's been great to see how those clubs connect students to school and motivate good behavior.   Additionally, the school has a comprehensive MTSS model using our web-based platform. They have used the platform to create individual learning plans for 70% of their students and have had an incredible staff engagement with 97% of staff logging in to view or add to students' learning plans.",2021
"Colorado Education Initiative",340,"R-5 High School","Grand Junction","Colorado","Mesa County Valley School District 51","R5 is committed to building relationships and social emotional skills for every student first, and then they focus on academics.  They offer a non-traditional pathway for students which is career focused, they have developed a graduate profile that was co-created with the school community, and they are a school that believes in restorative practices and second chances. Project-based learning is core to R5; students have designed and maintain an extensive outdoor garden, tilapia fish farming operation, greenhouse complex constructed by students and an outdoor recreational area also designed and completely constructed by students.  These areas provide the context and lab environment for math and science; research and presentations resulting from work in these areas are integrated into language arts.    R5 uses an advisory model to build trusting relationships that help buffer stress and provide students with a sense of belongingness. R5 also has developed a progress monitoring system based on a 1:1 consultancy that all teachers must do with their students and information from those conversations is tracked in a database for all teachers to access at any time.",2021
"Getting Smart",341,"RAMTEC","Marion","Ohio","Tri-Rivers Career Centers","RAMTEC in Marion, Ohio at Tri-Rivers Career Center runs career and technical high school programs in advanced manufacturing, engineering technologies and welding. Through corporate partnerships, RAMTEC is able to offer high school students, community college students and adult workers some of the most current job training in the country. With a state grant, RAMTEC developed a network of 23 sites around Ohio.",2021
"Anonymous",342,"ReNew Dolores T. Aaron Elementary","New Orleans","Louisiana","ReNew Dolores T. Aaron Elementary","In an effort to improve student achievement, they used School Leadership Center of Greater New Orleans to support them in implementing data inquiry cycles to identify learner-centered needs and develop plans to address learner-centered needs in a collaborative and reflective process.  Throughout the cycles, they were open to growth and reflection, and learned how to work as a team, learning to trust each other in order to promote the maximum amount of growth for students.",2021
"CAST",343,"Richards Middle School","Fraser","Michigan","Fraser Public Schools","Strong coaching network. Remarkable teacher leaders. Restorative practices. Were able to pivot quickly, efficiently and effectively to online learning. High levels of engagement.",2021
"CAST",344,"Rockcreek Elementary School","Columbus","Indiana","Bartholomew Consolidated School Corporation","I am excited to nominate Rockcreek Elementary for several reasons; Implementation of Universal Design for Learning, Use of Positive Behavior Instructional Supports, a Culture of Teaching and Learning that Embraces Growth Mindset and Developmental Relationships, and a Commitment to Social-Emotional Learning that Strives to Support Students in Self-Regulation and Executive Functioning. Rockcreek Elementary seeks to remove barriers socially, emotionally, behaviorally, and academically, while supporting learner variability while employing data-driven decision making. Rockcreek strives to design learning environments that support multiple pathways to mastery.",2021
"Alliance for Catholic Education",345,"Saint John Paul II","Minneapolis","Minnesota","Archdiocese of St. Paul and Minneapolis","St. John Paul II (JPII) partners with the Higher-Powered Learning Program (HPLP) based at the University of Notre Dame. With this program, JPII has pursued a three-year partnership with HPLP. During this three year program, JPII formed a Blended Learning Advancement and Strategy Team (BLAST) that first learned blended learning with the HPLP team at ND.  During year two of implementation, the BLAST introduced and coached their teammates in blended learning best practices. JPII is a unique school because the teachers focus on personalizing instruction for students, especially emerging bilingual students. JPII has made intentional software decisions- for students and teachers- and uses intentional pedagogy moves to support emerging bilingual students.",2021
"Big Picture Learning",346,"San Diego Metropolitan Career and Technical High School","San Diego","California","San Diego Unified School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"Anonymous",347,"San Francisco Day School","San Francisco","California",NA,"This school has high attention to students Social Emotional Learning and a culture of learning throughout students and staff.  Their work that ties in Diversity, Equity and Inclusion with UDL creates an atmosphere of acceptance.",2021
"Getting Smart",348,"Science Leadership Academy","Philadelphia","Pennsylvania","School District of Philadelphia","Science Leadership Academy is an inquiry-driven, STEM-focused, project-based school formed as a partnership between the School District of Philadelphia and The Franklin Institute. The school attracts students from all metro zip codes, including more than 60 middle schools. The project-based curriculum asks students to consider, â€œHow do we learn?â€ â€œWhat can we create?â€ â€œWhat does it mean to lead?â€ Students meet with an an advisor twice weekly for an hour. Advisors monitor academic progress, help plan projects, internships and support the college application process. Every student completes a capstone project that involves giving back to the community. Some conduct research, some provide a service, and some create art.",2021
"Future Focused Education",349,"Siembra Leadership High School","Albuquerque","New Mexico","Stand-alone charter authorized by Albuquerque Public Schools","Siembra Leadership High School is a member of the Leadership Schools Network, a network of choice with a common three-pillar design framework and a shared mission to """"transform lives and communities through innovative education."""" Many of the school's students were marginalized or pushed out by traditional schools. The three-pillar model equally emphasizes learning by doing, 360-degree student support, and industry/community engagement. Siembra is the Spanish word for sowing or planting, and represents the school's focus on business and entrepreneurship. The school was launched in partnership with local businesses and entrepreneurs. Students work on projects and participate in internships with direct relevance to starting and running their own businesses, and addressing community problems. This approach promotes a new vision for school and students as change agents making their community better.",2021
"Big Picture Learning",350,"SMASH (Santa Monica Alternative School House)","Santa Monica","California","Santa Monica-Malibu Unified School District","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves.",2021
"228 Accelerator",351,"Sojourner Truth Montessori School","Washington","District of Columbia",NA,"The Truth Manifestos is: ...We are passionate about the education of the whole student and the deliberate development of the adult. We believe that Montessori is an engine for personal liberation, and that it will empower our students to create a more peaceful and just world. We are committed to celebrating the uniqueness of every individual and to dismantling institutional racism. This is so important in this critical time.",2021
"228 Accelerator",351,"Sojourner Truth Montessori School","Washington","District of Columbia",NA,"This school is pioneering on many fronts. They are a public Montessori school for adolescents, the first of its kind.",2021
"Anonymous",352,"Somerville High School","Somerville","Massachusetts","Somerville School District","Somerville has a unique and strong focus on supporting Career and Technical Education/Vocational Education and career ready skills for all students - both those enrolled in CTE and those who are in traditional/comprehensive courses. They are doing this in a variety of ways including embedding academics in their CTE programs and collaborating with other CTE schools across the state. They are currently piloting a UDL-based e-portfolio tool designed to increase students' access to learning and supporting students' ability to demonstrate hands-on learning in more flexible and personalized ways. This innovative approach carriers promises for CTE schools across the nation and will be highlighted in the Nov/Dec. issue of Principal Leadership Magazine, 2020.",2021
"Aurora Institute",353,"South Bronx Community Charter High School","New York City","New York","South Bronx Community Charter High School","Strong implementation of competency-based education in an urban school with 98% Black or Latinx learners and 85% â€œfacing economic hardshipâ€ by the city's measures. Wrote about them in two CompetencyWorks blog posts starting with this one: https://aurora-institute.org/cw_post/competency-frameworks-and-judicious-content-selection-at-south-bronx-community-charter/",2021
"School Leadership Center of Greater New Orleans",354,"Southside Elementary School","Denham Springs","Louisiana","Livingston Parish Public Schools","Southside Elementary has shown exemplary progress despite many challenges.  Their school building suffered water damage from floods a couple years ago, and they are double housed on another elementary school's campus in temporary buildings on their back lawn.  In an effort to improve student achievement, they used School Leadership Center of Greater New Orleans to support them in implementing data inquiry cycles to identify learner-centered needs and develop plans to address learner-centered needs in a collaborative and reflective process.  Throughout the cycles, they were open to growth and reflection, and learned how to work as a team, learning to trust each other in order to promote the maximum amount of growth for students.",2021
