Variable Name,Variable Description,Corresponding Survey Question,Response Types,Source,Data Subset,Clean Labels,Confidential
practices_mental_health,Indicates whether the learning environment selected the tag mental health: The learning environment offers (or partners to offer) comprehensive counseling and mental health services for students.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,mental health services,Public-facing
practices_mentoring,Indicates whether the learning environment selected the tag 1:1 mentoring: Students connect with adults in and/or outside of the learning environment for 1:1 mentoring and regular check-in meetings.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,1:1 mentoring,Public-facing
practices_mtss_academics,"Indicates whether the learning environment selected the tag multi-tiered systems of support (MTSS) in academics: The learning environment has an explicit multi-tiered system of support wherein students progress is monitored for all students, and students who are progressing at a slower pace are provided with structured academic interventions aligned to their academic needs with varying tiers of intensity. Progress is tracked in an ongoing manner for all students to inform fluid intervention decisions.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,multi-tiered system of support (MTSS) in academics,Public-facing
practices_multi_age,"Indicates whether the learning environment selected the tag multi-age classrooms: Classrooms include students of many ages, rather than grouping them by age or grade band.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,multi-age classrooms,Public-facing
practices_no_tracking,"Indicates whether the learning environment selected the tag no tracked classes: Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,no tracked classes,Public-facing
practices_opportunities_mastery,Indicates whether the learning environment selected the tag multiple opportunities to demonstrate mastery: Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,multiple opportunities to demonstrate mastery,Public-facing
practices_pbl,"Indicates whether the learning environment selected the tag project-based learning: Students learn through answering complex questions or solving for real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company). Also called problem-based learning, inquiry-based learning, or learning-by-doing.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,project-based learning,Public-facing
practices_peer_to_peer,"Indicates whether the learning environment selected the tag peer to peer support: The learning environment creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, peer assessment, accountability partners, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,peer to peer support,Public-facing
practices_performance_assessment,"Indicates whether the learning environment selected the tag performance based assessment: Students apply knowledge or demonstrate a skill in place of traditional assessment, for example, through portfolios, projects, and other displays of progress toward goals.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,performance based assessment,Public-facing
practices_physical_well_being,"Indicates whether the learning environment selected the tag physical well-being services: The learning environment offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,physical well being services,Public-facing
practices_place_based,"Indicates whether the learning environment selected the tag place-based learning: The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,place-based learning,Public-facing
practices_reallocation_resources,"Indicates whether the learning environment selected the tag reallocation of resources for those most in need: Distributing school resources equitably, so students receive support and resources according to their need rather than every student receiving the same supports. (Example: assigning most experienced and highest skilled teachers to students needing the most help.)",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,reallocation of resources for those most in need,Public-facing
practices_restorative,"Indicates whether the learning environment selected the tag restorative practices: Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities in ways that are intentionally restorative, developmentally appropriate, and equitably applied. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.)",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,restorative practices,Public-facing
practices_sel_curriculum,Indicates whether the learning environment selected the tag SEL curriculum: The learning environment has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,SEL curriculum,Public-facing
practices_sel_integrated,Indicates whether the learning environment selected the tag SEL integration school-wide: The learning environment integrates social and emotional learning throughout the academic curriculum and other activities (in contrast to a stand-alone SEL curriculum).,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,SEL integration school-wide,Public-facing
practices_service_learning,"Indicates whether the learning environment selected the tag service learning: Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,service learning,Public-facing
practices_social_justice,"Indicates whether the learning environment selected the tag social justice focus: The learning environment uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,social justice focus,Public-facing
practices_station_rotation,"Indicates whether the learning environment selected the tag station rotation: A blended learning model in which students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station. In some cases the online learning station may be a computer lab (also known as ""lab rotation"").",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,station rotation,Public-facing
practices_student_conferences,"Indicates whether the learning environment selected the tag student-led conferences: Students plan and lead a meeting including parents and teachers to discuss the student's learning, growth, Individual Education Program (IEP) and/or reclassification from English Learner services if applicable. (As opposed to parent-teacher conferences without students present.)",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,student-led conferences,Public-facing
practices_student_data,Indicates whether the learning environment selected the tag students access their own data: Students (and families) can access their own learning and assessment data in real time.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,students access their own data,Public-facing
practices_student_goals,"Indicates whether the learning environment selected the tag student-led goal setting: Students set and pursue their own learning goals, as well as self-assess their progress.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,student-led goal setting,Public-facing
practices_student_pace,Indicates whether the learning environment selected the tag self-paced learning: Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,self-paced learning,Public-facing
practices_student_projects,"Indicates whether the learning environment selected the tag students develop projects: Students are partners and leaders in designing, implementing, and assessing projects.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,students develop projects,Public-facing
practices_translanguaging,"Indicates whether the learning environment selected the tag translanguaging: All students are encouraged to use all languages or dialects they know to make meaning, communicate, and participate in schooling without separation of languages (e.g., ""English time"" vs. ""Spanish time""; enforcing English use in shared spaces; or discouraging AAVE and other ""nonstandard"" English forms).",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,translanguaging,Public-facing
practices_trauma_informed,"Indicates whether the learning environment selected the tag trauma-informed practices: Adults are trained to recognize and respond to those who have been impacted by traumatic stress, and students are provided with clear expectations and communication strategies to guide them through stressful situations.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,trauma-informed practices,Public-facing
practices_tutoring,"Indicates whether the learning environment selected the tag tutoring: Students regularly experience 1:1 or small-group teaching toward a specific learning goal. Note: In high-impact tutoring, students work with a consistent tutor, multiple times per week, in sessions that are integrated with the learning environment's curriculum and schedule (as opposed to a supplemental or out-of-school program).",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,tutoring,Public-facing
practices_udl,"Indicates whether the learning environment selected the tag universal design for learning: The learning environment is designed to proactively meet the needs of all learners by identifying barriers to learning in the design of the environment, not in the student. This helps educators differentiate to effectively instruct a diverse group of students, regardless of whether students have an Individualized Education Program (IEP).",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,universal design for learning,Public-facing
core_a_la_carte,Indicates whether the learning environment selected the tag à la carte as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,à la carte model,Public-facing
core_accommodations,Indicates whether the learning environment selected the tag accommodations provided to all students as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,accommodations provided to all students,Public-facing
core_adult_wellness,Indicates whether the learning environment selected the tag adult wellness/SEL as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,adult wellness/SEL,Public-facing
core_advancement_mastery,Indicates whether the learning environment selected the tag advancement on mastery as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,advancement on mastery,Public-facing
core_advisories,Indicates whether the learning environment selected the tag student advisories as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,student advisories,Public-facing
core_anti_racist,Indicates whether the learning environment selected the tag anti-racist practices as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,anti-racist practices,Public-facing
core_assessments_agency,Indicates whether the learning environment selected the tag assessments for agency and self-directed learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,assessments for agency and self-directed learning,Public-facing
core_assessments_bilingual,Indicates whether the learning environment selected the tag bilingual assessments as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,bilingual assessments,Public-facing
core_assessments_career,Indicates whether the learning environment selected the tag assessments for career readiness as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,assessments for career readiness,Public-facing
core_assessments_deeper,Indicates whether the learning environment selected the tag assessments for deeper learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,assessments for deeper learning,Public-facing
core_assessments_sel,Indicates whether the learning environment selected the tag assessments for social-emotional learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,assessments for social-emotional skills,Public-facing
core_blended_learning,Indicates whether the learning environment selected the tag blended learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,blended learning,Public-facing
core_career_prep,Indicates whether the learning environment selected the tag career prep and work-based learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,career prep and work-based learning,Public-facing
core_colead_cbo,Indicates whether the learning environment selected the tag community-based organizations as co-leaders as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,community-based organizations as co-leaders,Public-facing
core_colead_family,Indicates whether the learning environment selected the tag families as co-leaders as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,families as co-leaders,Public-facing
core_colead_industry,Indicates whether the learning environment selected the tag industry-based partners as co-leaders as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,industry-based partners as co-leaders,Public-facing
core_colead_students,Indicates whether the learning environment selected the tag students as co-leaders as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,students as co-leaders,Public-facing
core_colead_teachers,Indicates whether the learning environment selected the tag teachers as co-leaders as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,teachers as co-leaders,Public-facing
core_coleadership,Indicates whether the learning environment selected the tag co-leadership as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,co-leadership,Public-facing
core_community_partnerships,Indicates whether the learning environment selected the tag community and business partnerships as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,community and business partnerships,Public-facing
core_community_supports,Indicates whether the learning environment selected the tag family and community support services as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,family and community support services,Public-facing
core_competency_education,Indicates whether the learning environment selected the tag competency/mastery-based education as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,competency/mastery-based education,Public-facing
core_competency_framework,Indicates whether the learning environment selected the tag competency framework as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,competency framework,Public-facing
core_culturally_responsive,Indicates whether the learning environment selected the tag culturally responsive practices as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,culturally responsive practices,Public-facing
core_design_marginalized,Indicates whether the learning environment selected the tag design to meet needs of students who have been marginalized as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,design to meet needs of students who have been marginalized,Public-facing
core_design_thinking,Indicates whether the learning environment selected the tag design thinking process as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,design thinking process,Public-facing
core_disaggregated_participation_data,Indicates whether the learning environment selected the tag disaggregated data on student participation as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,disaggregated data on student participation,Public-facing
core_dual_language,Indicates whether the learning environment selected the tag dual language programming as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,dual language programming,Public-facing
core_early_college,Indicates whether the learning environment selected the tag early college high school as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,early college high school,Public-facing
core_enriched_virtual,Indicates whether the learning environment selected the tag enriched virtual model as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,enriched virtual model,Public-facing
core_expanded_open_hours,Indicates whether the learning environment selected the tag expanded open hours as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,expanded open hours,Public-facing
core_extended_learning,Indicates whether the learning environment selected the tag extended learning opportunities as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,extended learning opportunities,Public-facing
core_flex,Indicates whether the learning environment selected the tag flex model as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,flex model,Public-facing
core_flexible_facilities,Indicates whether the learning environment selected the tag flexible facilities & classroom design as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,flexible facilities & classroom design,Public-facing
core_flexible_staffing,Indicates whether the learning environment selected the tag flexible staffing & alternative teaching roles as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,flexible staffing & alternative teaching roles,Public-facing
core_flipped_classroom,Indicates whether the learning environment selected the tag flipped classroom as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,flipped classroom,Public-facing
core_grading_mastery,Indicates whether the learning environment selected the tag grading policies focus on mastery as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,grading policies focus on mastery,Public-facing
core_heritage,Indicates whether the learning environment selected the tag heritage language courses as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,heritage language course(s),Public-facing
core_hiring_equity,Indicates whether the learning environment selected the tag hiring for equity and inclusion values as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,hiring for equity and inclusion values,Public-facing
core_inclusion,Indicates whether the learning environment selected the tag all courses designed for inclusion as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,all courses designed for inclusion,Public-facing
core_industry_credentials,Indicates whether the learning environment selected the tag students earn industry credentials as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,students earn industry credentials,Public-facing
core_interdisciplinary,Indicates whether the learning environment selected the tag interdisciplinary as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,interdisciplinary,Public-facing
core_interoperability,Indicates whether the learning environment selected the tag hiring for interoperable data from multiple technologies as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,interoperable data from multiple technologies,Public-facing
core_learner_profiles,Indicates whether the learning environment selected the tag individual learning paths as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,individual learning paths,Public-facing
core_learning_paths,Indicates whether the learning environment selected the tag individual learning profiles as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,individual learner profiles,Public-facing
core_makerspace,Indicates whether the learning environment selected the tag makerspace as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,makerspace,Public-facing
core_mental_health,Indicates whether the learning environment selected the tag mental health as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,mental health services,Public-facing
core_mentoring,Indicates whether the learning environment selected the tag 1:1 mentoring as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,1:1 mentoring,Public-facing
core_mtss_academics,Indicates whether the learning environment selected the tag multi-tiered systems of support (MTSS) in academics as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,multi-tiered system of support (MTSS) in academics,Public-facing
core_multi_age,Indicates whether the learning environment selected the tag multi-age classrooms as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,multi-age classrooms,Public-facing
core_no_tracking,Indicates whether the learning environment selected the tag no tracked classes as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,no tracked classes,Public-facing
core_opportunities_mastery,Indicates whether the learning environment selected the tag multiple opportunities to demonstrate mastery as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,multiple opportunities to demonstrate mastery,Public-facing
core_pbl,Indicates whether the learning environment selected the tag project-based learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,project-based learning,Public-facing
core_peer_to_peer,Indicates whether the learning environment selected the tag peer to peer support as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,peer to peer support,Public-facing
core_performance_assessment,Indicates whether the learning environment selected the tag performance based assessment as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,performance based assessment,Public-facing
core_physical_well_being,Indicates whether the learning environment selected the tag physical well-being services as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,physical well being services,Public-facing
core_place_based,Indicates whether the learning environment selected the tag place-based learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,place-based learning,Public-facing
core_reallocation_resources,Indicates whether the learning environment selected the tag reallocation of resources for those most in need as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,reallocation of resources for those most in need,Public-facing
core_restorative,Indicates whether the learning environment selected the tag restorative practices as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,restorative practices,Public-facing
core_sel_curriculum,Indicates whether the learning environment selected the tag SEL curriculum as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,SEL curriculum,Public-facing
core_sel_integrated,Indicates whether the learning environment selected the tag SEL integration school-wide as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,SEL integration school-wide,Public-facing
core_service_learning,Indicates whether the learning environment selected the tag service learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,service learning,Public-facing
core_social_justice,Indicates whether the learning environment selected the tag social justice focus as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,social justice focus,Public-facing
core_station_rotation,Indicates whether the learning environment selected the tag station rotation as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,station rotation,Public-facing
core_student_conferences,Indicates whether the learning environment selected the tag student-led conferences as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,student-led conferences,Public-facing
core_student_data,Indicates whether the learning environment selected the tag students access their own data as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,students access their own data,Public-facing
core_student_goals,Indicates whether the learning environment selected the tag student-led goal setting as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,student-led goal setting,Public-facing
core_student_pace,Indicates whether the learning environment selected the tag self-paced learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,self-paced learning,Public-facing
core_student_projects,Indicates whether the learning environment selected the tag students develop projects as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,students develop projects,Public-facing
core_translanguaging,Indicates whether the learning environment selected the tag translanguaging as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,translanguaging,Public-facing
core_trauma_informed,Indicates whether the learning environment selected the tag trauma-informed practices as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,trauma-informed practices,Public-facing
core_tutoring,Indicates whether the learning environment selected the tag tutoring as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,tutoring,Public-facing
core_udl,Indicates whether the learning environment selected the tag universal design for learning as a core practice.,"Of all the practices you just selected, which five do you believe to be most central to your learning environment’s design?",1 if Yes; else 0,School survey,Tags,universal design for learning,Public-facing
time_a_la_carte,Indicates the length of time the learning environment has been implementing the core practice à la carte.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,à la carte model,Public-facing
time_accommodations,Indicates the length of time the learning environment has been implementing the core practice accommodations provided to all students.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,accommodations provided to all students,Public-facing
time_adult_wellness,Indicates the length of time the learning environment has been implementing the core practice adult wellness/SEL.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,adult wellness/SEL,Public-facing
time_advancement_mastery,Indicates the length of time the learning environment has been implementing the core practice advancement on mastery.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,advancement on mastery,Public-facing
time_advisories,Indicates the length of time the learning environment has been implementing the core practice student advisories.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,student advisories,Public-facing
time_anti_racist,Indicates the length of time the learning environment has been implementing the core practice anti-racist practices.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,anti-racist practices,Public-facing
time_assessments_agency,Indicates the length of time the learning environment has been implementing the core practice assessments for agency and self-directed learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,assessments for agency and self-directed learning,Public-facing
time_assessments_bilingual,Indicates the length of time the learning environment has been implementing the core practice bilingual assessments.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,bilingual assessments,Public-facing
time_assessments_career,Indicates the length of time the learning environment has been implementing the core practice assessments for career readiness.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,assessments for career readiness,Public-facing
time_assessments_deeper,Indicates the length of time the learning environment has been implementing the core practice assessments for deeper learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,assessments for deeper learning,Public-facing
time_assessments_sel,Indicates the length of time the learning environment has been implementing the core practice assessments for social-emotional learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,assessments for social-emotional skills,Public-facing
time_blended_learning,Indicates the length of time the learning environment has been implementing the core practice blended learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,blended learning,Public-facing
time_career_prep,Indicates the length of time the learning environment has been implementing the core practice career prep and work-based learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,career prep and work-based learning,Public-facing
time_colead_cbo,Indicates the length of time the learning environment has been implementing the core practice community-based organizations as co-leaders.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,community-based organizations as co-leaders,Public-facing
time_colead_family,Indicates the length of time the learning environment has been implementing the core practice families as co-leaders.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,families as co-leaders,Public-facing
time_colead_industry,Indicates the length of time the learning environment has been implementing the core practice industry-based partners as co-leaders.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,industry-based partners as co-leaders,Public-facing
time_colead_students,Indicates the length of time the learning environment has been implementing the core practice students as co-leaders.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,students as co-leaders,Public-facing
time_colead_teachers,Indicates the length of time the learning environment has been implementing the core practice teachers as co-leaders.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,teachers as co-leaders,Public-facing
time_coleadership,Indicates the length of time the learning environment has been implementing the core practice co-leadership.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,co-leadership,Public-facing
